"Student Counts by School and English Learner Status"
"All Districts, All Schools"
"Trend"

"",,,,"English Learner Status",,
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""",3773,0,3773
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",2295,8,2303
"North Stonington School District","=""1020011""","Wheeler Middle School","=""1025111""","*","*",1604
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",15295,1350,16645
"Norwalk School District","=""1030011""","Brookside Elementary School","=""1030211""",3840,1046,4886
"Norwalk School District","=""1030011""","Center for Global Studies","=""1030511""","*","*",290
"Norwalk School District","=""1030011""","Columbus Magnet School","=""1030311""",3135,217,3352
"Norwalk School District","=""1030011""","Cranbury Elementary School","=""1030411""",4337,461,4798
"Norwalk School District","=""1030011""","Fox Run Elementary School","=""1032011""",4187,369,4556
"Norwalk School District","=""1030011""","Jefferson Magnet School","=""1030711""",4338,1311,5649
"Norwalk School District","=""1030011""","Kendall Elementary School","=""1030811""",4032,1194,5226
"Norwalk School District","=""1030011""","Marvin Elementary School","=""1032211""",3812,962,4774
"Norwalk School District","=""1030011""","Naramake Elementary School","=""1032111""",3887,521,4408
"Norwalk School District","=""1030011""","Nathan Hale Middle School","=""1035211""",5579,436,6015
"Norwalk School District","=""1030011""","Norwalk Early Childhood Center","=""1030111""",171,0,171
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",14300,1142,15442
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",722,42,764
"Norwalk School District","=""1030011""","Ponus Ridge Middle School","=""1035311""",5858,677,6535
"Norwalk School District","=""1030011""","Roton Middle School","=""1035511""",3939,441,4380
"Norwalk School District","=""1030011""","Rowayton School","=""1031311""",4078,409,4487
"Norwalk School District","=""1030011""","Silvermine Elementary School","=""1032311""",2971,1283,4254
"Norwalk School District","=""1030011""","Tracey School","=""1031411""",3020,959,3979
"Norwalk School District","=""1030011""","West Rocks Middle School","=""1035411""",6002,692,6694
"Norwalk School District","=""1030011""","Wolfpit School","=""1032411""",2766,418,3184
"Norwich Free Academy District","=""9010022""","Alternative Pathways to Success","=""9010322""",19,0,19
"Norwich Free Academy District","=""9010022""","LEAD (Life Skills, Education and Adult Development)","=""9010122""","*","*",12
"Norwich Free Academy District","=""9010022""","Night School","=""9010222""","*","*",19
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",22367,1162,23529
"Norwich School District","=""1040011""","Transition Academy","=""1041011""",18,0,18
"Norwich School District","=""1040011""","Virtual Learning Academy","=""1049211""","*","*",55
"Norwich School District","=""1040011""","ABA Autism Program","=""1040411""",21,15,36
"Norwich School District","=""1040011""","ABA Program @ Kelly","=""1041111""",6,0,6
"Norwich School District","=""1040011""","Bishop School Early Learning Center","=""1040111""",1395,43,1438
"Norwich School District","=""1040011""","Case Street Early Learning Center at DTZ","=""1040211""",177,0,177
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","=""1049111""",272,15,287
"Norwich School District","=""1040011""","Greeneville School","=""1040611""",817,179,996
"Norwich School District","=""1040011""","Hickory Street School","=""1049011""",121,12,133
"Norwich School District","=""1040011""","IRS Program at Moriarty","=""1040911""","*","*",6
"Norwich School District","=""1040011""","IRS Program at Uncas","=""1040711""","*",0,"*"
"Norwich School District","=""1040011""","John B. Stanton Network School","=""1041411""",2913,778,3691
"Norwich School District","=""1040011""","Kelly Middle School","=""1045111""",6144,636,6780
"Norwich School District","=""1040011""","Moriarty Magnet School","=""1042011""",3497,661,4158
"Norwich School District","=""1040011""","Samuel Huntington School","=""1040811""",3630,353,3983
"Norwich School District","=""1040011""","Special Needs Program","=""1040511""","*","*",36
"Norwich School District","=""1040011""","Teachers' Memorial Middle School","=""1045211""",4079,564,4643
"Norwich School District","=""1040011""","Thames River Academy","=""1046111""","*","*",418
"Norwich School District","=""1040011""","Thomas W. Mahan School","=""1041711""",2565,401,2966
"Norwich School District","=""1040011""","Uncas Network School","=""1041911""",2083,366,2449
"Norwich School District","=""1040011""","Veterans' Memorial School","=""1041811""",2661,319,2980
"Norwich School District","=""1040011""","Wequonnoc Magnet School","=""1041511""",2315,194,2509
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""",2629,34,2663
"Old Saybrook School District","=""1060011""","Kathleen E. Goodwin School","=""1060211""",4063,208,4271
"Old Saybrook School District","=""1060011""","Old Saybrook Middle School","=""1065211""",5583,104,5687
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",4919,69,4988
"Orange School District","=""1070011""","Mary L. Tracy School","=""1070211""",1686,63,1749
"Orange School District","=""1070011""","Peck Place School","=""1070511""",3813,67,3880
"Orange School District","=""1070011""","Race Brook School","=""1070311""",3746,93,3839
"Orange School District","=""1070011""","Turkey Hill School","=""1070411""",2969,57,3026
"Oxford School District","=""1080011""","Alternative Education","=""1080411""",26,0,26
"Oxford School District","=""1080011""","Great Oak School","=""1085111""",5041,53,5094
"Oxford School District","=""1080011""","Oxford Center School","=""1080111""",4917,92,5009
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",5362,55,5417
"Oxford School District","=""1080011""","Quaker Farms School","=""1080311""",4668,146,4814
"Park City Prep Charter School District","=""2830013""","Park City Prep Charter School","=""2835113""",2728,42,2770
"Path Academy District","=""2930013""","Path Academy","=""2930113""",325,107,432
"Plainfield School District","=""1090011""","Early Childhood Center","=""1090511""","*","*",471
"Plainfield School District","=""1090011""","Early Childhood Center","=""1098011""","*","*",471
"Plainfield School District","=""1090011""","Moosup Elementary School","=""1090111""",3258,43,3301
"Plainfield School District","=""1090011""","Plainfield Central School","=""1095111""",5627,43,5670
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",7621,57,7678
"Plainfield School District","=""1090011""","Plainfield Memorial School","=""1090311""",3757,25,3782
"Plainfield School District","=""1090011""","Shepard Hill Elementary School","=""1090411""",3802,69,3871
"Plainville School District","=""1100011""","Frank T. Wheeler School","=""1100411""",2641,281,2922
"Plainville School District","=""1100011""","Linden Street School","=""1100211""",3772,371,4143
"Plainville School District","=""1100011""","Louis Toffolon School","=""1100511""",3447,142,3589
"Plainville School District","=""1100011""","Middle School of Plainville","=""1105211""",5492,106,5598
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",7718,57,7775
"Plainville School District","=""1100011""","Prekindergarten Program","=""1108011""","*","*",302
"Plymouth School District","=""1110011""","Eli Terry Jr. Middle School","=""1115111""",4085,30,4115
"Plymouth School District","=""1110011""","Harry S. Fisher Elementary School","=""1110411""",3237,32,3269
"Plymouth School District","=""1110011""","Main Street School","=""1110111""",181,0,181
"Plymouth School District","=""1110011""","Plymouth Alternative High School","=""1117111""",34,0,34
"Plymouth School District","=""1110011""","Plymouth Center School","=""1110211""",3746,33,3779
"Plymouth School District","=""1110011""","Prospect Street School","=""1110311""","*","*",173
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",5033,24,5057
"Pomfret School District","=""1120011""","Pomfret Community School","=""1120111""",4637,38,4675
"Portland School District","=""1130011""","Brownstone Intermediate School","=""1130511""",2282,13,2295
"Portland School District","=""1130011""","Gildersleeve School","=""1130411""",2266,20,2286
"Portland School District","=""1130011""","Portland High School","=""1136111""",3683,19,3702
"Portland School District","=""1130011""","Portland Middle School","=""1135111""",2304,7,2311
"Portland School District","=""1130011""","Valley View School","=""1130211""",3172,61,3233
"Preston School District","=""1140011""","Preston Plains School","=""1145111""",1488,20,1508
"Preston School District","=""1140011""","Preston Veterans' Memorial School","=""1140411""",2788,63,2851
"Putnam School District","=""1160011""","Helping Hands","=""1169011""","*","*",42
"Putnam School District","=""1160011""","PALS - Putnam Alternative Learning System","=""1160111""",14,0,14
"Putnam School District","=""1160011""","Putnam Elementary School","=""1160311""",6315,216,6531
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",3013,46,3059
"Putnam School District","=""1160011""","Putnam Middle School","=""1165111""",2735,59,2794
"Redding School District","=""1170011""","John Read Middle School","=""1175111""",5402,23,5425
"Redding School District","=""1170011""","Redding Elementary School","=""1170111""",5920,61,5981
"Regional School District 01","=""2010012""","LEAPSS","=""2010412""",7,0,7
"Regional School District 01","=""2010012""","ALPSS","=""2010512""","*",0,"*"
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",4671,16,4687
"Regional School District 01","=""2010012""","SELC","=""2010312""",6,0,6
"Regional School District 01","=""2010012""","TOTAL","=""2010212""",7,0,7
"Regional School District 04","=""2040012""","John Winthrop Middle School","=""2045112""",3409,20,3429
"Regional School District 04","=""2040012""","Region 4 Transition Academy","=""2040112""",11,0,11
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",6124,41,6165
"Regional School District 05","=""2050012""","Amity Middle School: Bethany","=""2055112""",3893,9,3902
"Regional School District 05","=""2050012""","Amity Middle School: Orange","=""2055212""",3975,27,4002
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",15830,72,15902
"Regional School District 06","=""2060012""","Early Childhood Learning Center","=""2068112""","*","*",213
"Regional School District 06","=""2060012""","Goshen Center School","=""2060112""",1908,25,1933
"Regional School District 06","=""2060012""","James Morris School","=""2060212""",1653,37,1690
"Regional School District 06","=""2060012""","Stepping Stones Preschool Program","=""2068012""",38,0,38
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",5531,42,5573
"Regional School District 06","=""2060012""","Warren Elementary School","=""2060312""",853,7,860
"Regional School District 07","=""2070012""","AIM","=""2079112""",111,0,111
"Regional School District 07","=""2070012""","FLEX","=""2079012""",65,0,65
"Regional School District 07","=""2070012""","Highlander Transition Academy","=""2070112""",19,0,19
"Regional School District 07","=""2070012""","Intensive Learning Program","=""2079412""",39,0,39
"Regional School District 07","=""2070012""","LINKS","=""2079212""",167,0,167
"Regional School District 07","=""2070012""","Links","=""2079212""",167,0,167
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""","*","*",7282
"Regional School District 07","=""2070012""","Northwestern Regional Middle School","=""2075112""","*","*",3443
"Regional School District 07","=""2070012""","STEP","=""2079312""",193,0,193
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",10898,14,10912
"Regional School District 08","=""2080012""","RHAM Middle School","=""2085112""","*","*",6037
"Regional School District 08","=""2080012""","Region Alternative High School","=""2086212""",17,0,17
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",9917,20,9937
"Regional School District 10","=""2100012""","Har-Bur Middle School","=""2105112""",8503,42,8545
"Regional School District 10","=""2100012""","Harwinton Consolidated School","=""2100312""",4494,40,4534
"Regional School District 10","=""2100012""","Lake Garda Elementary School","=""2100212""",5143,151,5294
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",7966,13,7979
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",2774,10,2784
"Regional School District 12","=""2120012""","Booth Free School","=""2120212""","*","*",1002
"Regional School District 12","=""2120012""","Early Childhood Education Center","=""2128012""",128,0,128
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",2008,7,2015
"Regional School District 12","=""2120012""","Shepaug Valley Middle School","=""2125112""",1350,12,1362
"Regional School District 12","=""2120012""","Shepaug Valley School","=""2120312""",1784,17,1801
"Regional School District 12","=""2120012""","The Burnham School","=""2120112""",742,0,742
"Regional School District 12","=""2120012""","Washington Primary School","=""2120412""",1600,22,1622
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",5685,11,5696
"Regional School District 13","=""2130012""","Francis E. Korn School","=""2130212""",1594,7,1601
"Regional School District 13","=""2130012""","Frank Ward Strong School","=""2135112""",3378,7,3385
"Regional School District 13","=""2130012""","Frederick Brewster School","=""2130112""",2530,28,2558
"Regional School District 13","=""2130012""","John Lyman School","=""2130512""",2877,19,2896
"Regional School District 13","=""2130012""","Middlefield Memorial School","=""2130412""",3292,11,3303
"Regional School District 13","=""2130012""","Middlesex Transition Academy","=""2130312""",70,0,70
"Regional School District 14","=""2140012""","Bethlehem Elementary School","=""2140112""",3061,53,3114
"Regional School District 14","=""2140012""","Integrated Star Preschool Program","=""2148012""","*","*",377
"Regional School District 14","=""2140012""","Mitchell Elementary School","=""2140212""",3841,64,3905
"Regional School District 14","=""2140012""","Nonnewaug Chiefs Alternative Program","=""2140312""","*",0,"*"
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",8008,44,8052
"Regional School District 14","=""2140012""","Region 14 Transition Academy","=""2140412""",6,0,6
"Regional School District 14","=""2140012""","Woodbury Middle School","=""2145112""",4145,34,4179
"Regional School District 15","=""2150012""","Gainfield Elementary School","=""2150412""",3967,67,4034
"Regional School District 15","=""2150012""","Long Meadow Elementary School","=""2150712""",5643,59,5702
"Regional School District 15","=""2150012""","MIJ Program","=""2150112""",31,0,31
"Regional School District 15","=""2150012""","Memorial Middle School","=""2155212""",4884,17,4901
"Regional School District 15","=""2150012""","Middlebury Elementary School","=""2150612""",3980,76,4056
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",12993,34,13027
"Regional School District 15","=""2150012""","Pomperaug School","=""2150512""",4511,40,4551
"Regional School District 15","=""2150012""","Rochambeau Middle School","=""2155112""",5364,10,5374
"Regional School District 16","=""2160012""","Algonquin School","=""2160312""",3642,66,3708
"Regional School District 16","=""2160012""","Community School","=""2160212""",1776,21,1797
"Regional School District 16","=""2160012""","Laurel Ledge School","=""2160112""",4339,83,4422
"Regional School District 16","=""2160012""","Long River Middle School","=""2165112""",5814,37,5851
"Regional School District 16","=""2160012""","Prospect Elementary School","=""2160512""",1206,13,1219
"Regional School District 16","=""2160012""","WRHS Alternative Education Program","=""2160412""",35,0,35
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",7348,42,7390
"Regional School District 17","=""2170012""","Burr District Elementary School","=""2170212""","*","*",2958
"Regional School District 17","=""2170012""","Haddam Elementary School","=""2170112""",2453,17,2470
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",6575,12,6587
"Regional School District 17","=""2170012""","Haddam-Killingworth Middle School","=""2175112""",7807,17,7824
"Regional School District 17","=""2170012""","Killingworth Elementary School","=""2170312""","*","*",3594
"Regional School District 17","=""2170012""","RSD17 Transition Program","=""2170412""","*",0,"*"
"Regional School District 18","=""2180012""","Center School","=""2180312""",1896,6,1902
"Regional School District 18","=""2180012""","Alternative Program","=""2180412""",8,0,8
"Regional School District 18","=""2180012""","Lyme Consolidated School","=""2180112""",1759,10,1769
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""","*","*",4451
"Regional School District 18","=""2180012""","Lyme-Old Lyme Middle School","=""2185112""","*","*",3462
"Regional School District 18","=""2180012""","Mile Creek School","=""2180212""",2608,54,2662
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",11678,140,11818
"Regional School District 19","=""2190012""","E.O. Smith High School at the Depot Campus","=""2190112""",71,0,71
"Regional School District 19","=""2190012""","PM Panthers","=""2190212""",62,0,62
"Regional School District 19","=""2190012""","STAAR Program","=""2190312""","*","*",19
"Ridgefield School District","=""1180011""","Alternative High School","=""1188011""",42,0,42
"Ridgefield School District","=""1180011""","Barlow Mountain Elementary School","=""1180811""",3770,50,3820
"Ridgefield School District","=""1180011""","Branchville Elementary School","=""1180611""",4032,53,4085
"Ridgefield School District","=""1180011""","District Program BMES","=""1180111""","*",0,"*"
"Ridgefield School District","=""1180011""","District Program ERMS","=""1181011""","*",0,"*"
"Ridgefield School District","=""1180011""","District Program RES","=""1180711""",17,0,17
"Ridgefield School District","=""1180011""","District Program SES","=""1180911""",6,0,6
"Ridgefield School District","=""1180011""","District Program SRMS","=""1181111""","*",0,"*"
"Ridgefield School District","=""1180011""","East Ridge Middle School","=""1185111""",7541,47,7588
"Ridgefield School District","=""1180011""","Farmingville Elementary School","=""1180411""",3495,41,3536
"Ridgefield School District","=""1180011""","Ridgebury Elementary School","=""1180311""",3923,33,3956
"Ridgefield School District","=""1180011""","Ridgefield 18-21 Transition Program","=""1189011""",24,0,24
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",17389,65,17454
"Ridgefield School District","=""1180011""","Ridgefield Transition Program","=""1189011""",24,0,24
"Ridgefield School District","=""1180011""","Scotland Elementary School","=""1180511""",3739,77,3816
"Ridgefield School District","=""1180011""","Scotts Ridge Middle School","=""1185211""",5322,32,5354
"Ridgefield School District","=""1180011""","Veterans Park Elementary School","=""1180211""",3226,68,3294
"Rocky Hill School District","=""1190011""","Pathways","=""1190311""",18,0,18
"Rocky Hill School District","=""1190011""","Albert D. Griswold Middle School","=""1195111""",6015,122,6137
"Rocky Hill School District","=""1190011""","Alternative Learning Program","=""1190111""",17,0,17
"Rocky Hill School District","=""1190011""","Dr. Oran A. Moser School","=""1190211""",269,64,333
"Rocky Hill School District","=""1190011""","Myrtle H. Stevens School","=""1190411""",4789,332,5121
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",7299,114,7413
"Rocky Hill School District","=""1190011""","West Hill School","=""1190511""",6020,490,6510
"Salem School District","=""1210011""","Salem Elementary School","=""1210111""",4434,8,4442
"Salisbury School District","=""1220011""","SELC","=""1220211""","*",0,"*"
"Salisbury School District","=""1220011""","Salisbury Central School","=""1220111""",2939,29,2968
"Scotland School District","=""1230011""","Scotland Elementary School","=""1230111""",1440,0,1440
"Seymour School District","=""1240011""","Anna L. Lopresti School","=""1240311""",1489,71,1560
"Seymour School District","=""1240011""","Bungay School","=""1240111""",4954,275,5229
"Seymour School District","=""1240011""","Chatfield-LoPresti School","=""1240211""",2616,103,2719
"Seymour School District","=""1240011""","Paul Chatfield School","=""1240411""",1433,21,1454
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",6728,70,6798
"Seymour School District","=""1240011""","Seymour Middle School","=""1245111""",5672,87,5759
"Sharon School District","=""1250011""","TOTAL","=""1250211""",14,0,14
"Sharon School District","=""1250011""","Sharon Center School","=""1250111""",1840,6,1846
"Shelton School District","=""1260011""","Mohegan School","=""1260911""",4010,191,4201
"Shelton School District","=""1260011""","Alternative Learning Center 1","=""1260211""","*","*",16
"Shelton School District","=""1260011""","Alternative Learning Center 2","=""1261311""","*",0,"*"
"Shelton School District","=""1260011""","Booth Hill School","=""1261011""",3589,223,3812
"Shelton School District","=""1260011""","Elizabeth Shelton School","=""1260511""",4795,161,4956
"Shelton School District","=""1260011""","Intermediate School","=""1265111""",8621,134,8755
"Shelton School District","=""1260011""","Lafayette School","=""1260411""",991,79,1070
"Shelton School District","=""1260011""","Life Skills","=""1260311""",9,0,9
"Shelton School District","=""1260011""","Long Hill School","=""1260811""",4425,416,4841
"Shelton School District","=""1260011""","Perry Hill Elementary School","=""1261111""",5488,131,5619
"Shelton School District","=""1260011""","Pre-Kindergarten","=""1260111""","*","*",113
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",15570,188,15758
"Shelton School District","=""1260011""","Sunnyside School","=""1260611""",2478,182,2660
"Shelton School District","=""1260011""","Therapeutic Learning Center","=""1261211""","*","*","*"
"Shelton School District","=""1260011""","Transition Program","=""1260711""",35,0,35
"Shelton School District","=""1260011""","Work Experience","=""1260711""",35,0,35
"Sherman School District","=""1270011""","Sherman School","=""1270111""",3892,18,3910
"Side By Side Charter School District","=""2700013""","Side By Side Charter School","=""2700113""",2187,144,2331
"Simsbury School District","=""1280011""","Central School","=""1280111""",3934,88,4022
"Simsbury School District","=""1280011""","Farmington Valley Transition Academy","=""1280211""",31,0,31
"Simsbury School District","=""1280011""","Henry James Memorial School","=""1285111""",7638,49,7687
"Simsbury School District","=""1280011""","Latimer Lane School","=""1280611""",4452,83,4535
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",15157,77,15234
"Simsbury School District","=""1280011""","Squadron Line School","=""1280711""",6898,106,7004
"Simsbury School District","=""1280011""","Tariffville School","=""1280311""",2656,74,2730
"Simsbury School District","=""1280011""","Tootin' Hills School","=""1280411""",4323,59,4382
"Somers School District","=""1290011""","Aspire","=""1290511""",15,0,15
"Somers School District","=""1290011""","Mabelle B. Avery Middle School","=""1295111""",3839,11,3850
"Somers School District","=""1290011""","Somers Elementary School","=""1290411""",6556,43,6599
"Somers School District","=""1290011""","Somers High School","=""1296111""",5264,13,5277
"South Windsor School District","=""1320011""","Pleasant Valley School","=""1320211""",3757,161,3918
"South Windsor School District","=""1320011""","Eli Terry School","=""1320711""",4175,178,4353
"South Windsor School District","=""1320011""","Orchard Hill School","=""1320611""",3967,243,4210
"South Windsor School District","=""1320011""","Philip R. Smith School","=""1320111""",3390,167,3557
"South Windsor School District","=""1320011""","Project Worth Young Adult Academy","=""1329011""",42,0,42
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",14496,120,14616
"South Windsor School District","=""1320011""","Timothy Edwards School","=""1325111""",10411,122,10533
"South Windsor School District","=""1320011""","Wapping Elementary School","=""1320411""",2856,193,3049
"Southington School District","=""1310011""","John F. Kennedy Middle School","=""1315311""",8191,50,8241
"Southington School District","=""1310011""","Achieve","=""1311711""",16,0,16
"Southington School District","=""1310011""","Alta","=""1310111""",114,0,114
"Southington School District","=""1310011""","Derynoski Elementary School","=""1311511""",6347,149,6496
"Southington School District","=""1310011""","EASE","=""1310511""",32,0,32
"Southington School District","=""1310011""","Flanders Elementary School","=""1311311""",2839,136,2975
"Southington School District","=""1310011""","Hatton Elementary School","=""1310211""",4085,83,4168
"Southington School District","=""1310011""","Hatton Preschool Program","=""1312011""",153,0,153
"Southington School District","=""1310011""","Joseph A. Depaolo Middle School","=""1315111""",7481,73,7554
"Southington School District","=""1310011""","Language Based Classroom","=""1310411""",25,0,25
"Southington School District","=""1310011""","Language Based Classroom II","=""1312311""",9,0,9
"Southington School District","=""1310011""","Language Based Classroom at Hatton School","=""1310411""",25,0,25
"Southington School District","=""1310011""","Language Based Classroom, Multihandicapped","=""1311811""",27,0,27
"Southington School District","=""1310011""","Plantsville Elementary School","=""1310611""",2565,47,2612
"Southington School District","=""1310011""","Preschool/ABA ~ Hatton School","=""1310311""",33,0,33
"Southington School District","=""1310011""","Preschool/ABA ~ South End School","=""1311911""",10,0,10
"Southington School District","=""1310011""","STELLAR","=""1312211""",8,0,8
"Southington School District","=""1310011""","South End Elementary School","=""1310711""",2258,58,2316
"Southington School District","=""1310011""","South End Preschool Program","=""1312111""",46,0,46
"Southington School District","=""1310011""","Southington High School","=""1316211""",20308,121,20429
"Southington School District","=""1310011""","Southington Public Schools Preschool Program","=""1312111""",46,0,46
"Southington School District","=""1310011""","Southington Public Schools Preschool Program at Hatton School","=""1312011""",153,0,153
"Southington School District","=""1310011""","Strong Elementary School","=""1310811""",3634,92,3726
"Southington School District","=""1310011""","Thalberg Elementary School","=""1310911""",4082,210,4292
"Southington School District","=""1310011""","Therapeutic Educational Alternative Model (TEAM)","=""1311611""",21,0,21
"Southington School District","=""1310011""","Therapeutic Educational Setting (TEP)","=""1311211""",26,0,26
"Southington School District","=""1310011""","Urbin T. Kelley School","=""1311411""",3671,66,3737
"Sprague School District","=""1330011""","Sayles School","=""1330111""",3564,26,3590
"Stafford School District","=""1340011""","Stafford Elementary School","=""1340611""",4932,46,4978
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",4846,10,4856
"Stafford School District","=""1340011""","Stafford Middle School","=""1345211""",3853,16,3869
"Stafford School District","=""1340011""","Stafford Tutoring Program","=""1340211""",17,0,17
"Stafford School District","=""1340011""","Staffordville School","=""1340311""",1753,6,1759
"Stafford School District","=""1340011""","West Stafford School","=""1340411""",1791,25,1816
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",1392,0,1392
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""",381,0,381
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""",232,11,243
"Stamford School District","=""1350011""","Apples PreK","=""1350111""",422,0,422
"Stamford School District","=""1350011""","Cloonan School","=""1355611""",5383,453,5836
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""",4657,1002,5659
"Stamford School District","=""1350011""","Dolan School","=""1355311""",5052,516,5568
"Stamford School District","=""1350011""","Hart School","=""1352211""",4721,780,5501
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""",60,6,66
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""",4938,959,5897
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""",4110,1289,5399
"Stamford School District","=""1350011""","New School at 200 Strawberry Hill Avenue","=""1350711""",217,12,229
"Stamford School District","=""1350011""","Newfield School","=""1350611""",5374,1146,6520
"Stamford School District","=""1350011""","Northeast School","=""1351811""",5551,1533,7084
"Stamford School District","=""1350011""","Preschool Team","=""1358011""",600,0,600
"Stamford School District","=""1350011""","Rippowam Middle School","=""1355811""",6324,804,7128
"Stamford School District","=""1350011""","Rogers International School","=""1350811""",6288,1019,7307
"Stamford School District","=""1350011""","Roxbury School","=""1350911""",5413,1024,6437
"Stamford School District","=""1350011""","Scofield Middle School","=""1355711""",5941,464,6405
"Stamford School District","=""1350011""","Springdale School","=""1351111""",4937,1301,6238
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",16141,1877,18018
"Stamford School District","=""1350011""","Stillmeadow School","=""1352111""",5802,941,6743
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",6465,93,6558
"Stamford School District","=""1350011""","Toquam Magnet School","=""1351911""",5291,956,6247
"Stamford School District","=""1350011""","Turn of River School","=""1355511""",4762,1052,5814
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",19373,2761,22134
"Stamford School District","=""1350011""","Westover School","=""1351411""",6376,614,6990
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""",4803,0,4803
"Stonington School District","=""1370011""","Community Classroom","=""1370811""","*",0,"*"
"Stonington School District","=""1370011""","Deans Mill School","=""1370511""",4631,23,4654
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""","*","*",4141
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""",3241,18,3259
"Stonington School District","=""1370011""","SAILS","=""1370711""","*",0,"*"
"Stonington School District","=""1370011""","Special Needs Preschool Program","=""1378011""",79,0,79
"Stonington School District","=""1370011""","Stonington BOE Pre-School","=""1370111""",84,0,84
"Stonington School District","=""1370011""","Stonington HS PreK","=""1370211""",78,0,78
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",7613,30,7643
"Stonington School District","=""1370011""","West Broad Street School","=""1370411""",1509,18,1527
"Stonington School District","=""1370011""","West Vine Street School","=""1370611""",2078,33,2111
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""",4927,239,5166
"Stratford School District","=""1380011""","ABA Nichols","=""1382511""",8,0,8
"Stratford School District","=""1380011""","ABA Second Hill Lane","=""1380611""",12,0,12
"Stratford School District","=""1380011""","ABA Whitney","=""1382411""",9,0,9
"Stratford School District","=""1380011""","ALPHA","=""1380511""",118,0,118
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",11736,92,11828
"Stratford School District","=""1380011""","Chapel School","=""1380311""",5195,194,5389
"Stratford School District","=""1380011""","DLC Whitney","=""1382311""",11,0,11
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""",5403,70,5473
"Stratford School District","=""1380011""","Franklin STEPS K-2","=""1382111""",14,0,14
"Stratford School District","=""1380011""","Franklin School","=""1380411""",2961,200,3161
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""",5595,231,5826
"Stratford School District","=""1380011""","High School STEPS 9-12","=""1382011""",18,0,18
"Stratford School District","=""1380011""","High School Sails","=""1380711""",22,6,28
"Stratford School District","=""1380011""","Honeyspot School","=""1381611""",1309,72,1381
"Stratford School District","=""1380011""","IPP Class Room - Second Hill Lane","=""1382711""","*","*",6
