"Student Counts by School and Gender"
"All Districts, All Schools"
"Trend"

"",,,,"Gender",,
"North Branford School District","=""0990011""","School to Work Program","=""0999011""",6,11,17
"North Branford School District","=""0990011""","Stanley T. Williams School","=""0990511""",409,360,769
"North Branford School District","=""0990011""","Totoket Valley Elementary School","=""0990611""",2303,2333,4636
"North Canaan School District","=""1000011""","North Canaan Elementary School","=""1000111""",1591,1488,3079
"North Haven School District","=""1010011""","Clintonville Elementary School","=""1010811""",1578,2006,3584
"North Haven School District","=""1010011""","Green Acres Elementary School","=""1010711""",1902,2015,3917
"North Haven School District","=""1010011""","Montowese Elementary School","=""1010211""",1895,1789,3684
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",5763,5603,11366
"North Haven School District","=""1010011""","North Haven Middle School","=""1015211""",3989,4207,8196
"North Haven School District","=""1010011""","North Haven Transition Partnership","=""1010111""",6,14,20
"North Haven School District","=""1010011""","Ridge Road Elementary School","=""1010311""",2021,2141,4162
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""",1778,1995,3773
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",1077,1226,2303
"North Stonington School District","=""1020011""","Wheeler Middle School","=""1025111""",731,873,1604
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",8446,8199,16645
"Norwalk School District","=""1030011""","Brookside Elementary School","=""1030211""",2250,2636,4886
"Norwalk School District","=""1030011""","Center for Global Studies","=""1030511""",193,97,290
"Norwalk School District","=""1030011""","Columbus Magnet School","=""1030311""",1776,1576,3352
"Norwalk School District","=""1030011""","Cranbury Elementary School","=""1030411""",2239,2559,4798
"Norwalk School District","=""1030011""","Fox Run Elementary School","=""1032011""",2080,2476,4556
"Norwalk School District","=""1030011""","Jefferson Magnet School","=""1030711""",2729,2920,5649
"Norwalk School District","=""1030011""","Kendall Elementary School","=""1030811""",2483,2743,5226
"Norwalk School District","=""1030011""","Marvin Elementary School","=""1032211""",2246,2528,4774
"Norwalk School District","=""1030011""","Naramake Elementary School","=""1032111""",2198,2210,4408
"Norwalk School District","=""1030011""","Nathan Hale Middle School","=""1035211""",2895,3120,6015
"Norwalk School District","=""1030011""","Norwalk Early Childhood Center","=""1030111""",64,107,171
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",7565,7877,15442
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",337,427,764
"Norwalk School District","=""1030011""","Ponus Ridge Middle School","=""1035311""",3087,3448,6535
"Norwalk School District","=""1030011""","Roton Middle School","=""1035511""",2185,2195,4380
"Norwalk School District","=""1030011""","Rowayton School","=""1031311""",2191,2296,4487
"Norwalk School District","=""1030011""","Silvermine Elementary School","=""1032311""",2052,2202,4254
"Norwalk School District","=""1030011""","Tracey School","=""1031411""",1884,2095,3979
"Norwalk School District","=""1030011""","West Rocks Middle School","=""1035411""",3227,3467,6694
"Norwalk School District","=""1030011""","Wolfpit School","=""1032411""",1457,1727,3184
"Norwich Free Academy District","=""9010022""","Alternative Pathways to Success","=""9010322""",10,9,19
"Norwich Free Academy District","=""9010022""","LEAD (Life Skills, Education and Adult Development)","=""9010122""","*","*",12
"Norwich Free Academy District","=""9010022""","Night School","=""9010222""","*","*",19
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",12322,11207,23529
"Norwich School District","=""1040011""","Transition Academy","=""1041011""","*","*",18
"Norwich School District","=""1040011""","Virtual Learning Academy","=""1049211""",12,43,55
"Norwich School District","=""1040011""","ABA Autism Program","=""1040411""",7,29,36
"Norwich School District","=""1040011""","ABA Program @ Kelly","=""1041111""","*","*",6
"Norwich School District","=""1040011""","Bishop School Early Learning Center","=""1040111""",679,759,1438
"Norwich School District","=""1040011""","Case Street Early Learning Center at DTZ","=""1040211""",86,91,177
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","=""1049111""",68,219,287
"Norwich School District","=""1040011""","Greeneville School","=""1040611""",479,517,996
"Norwich School District","=""1040011""","Hickory Street School","=""1049011""",10,123,133
"Norwich School District","=""1040011""","IRS Program at Moriarty","=""1040911""","*","*",6
"Norwich School District","=""1040011""","IRS Program at Uncas","=""1040711""","*","*","*"
"Norwich School District","=""1040011""","John B. Stanton Network School","=""1041411""",1777,1914,3691
"Norwich School District","=""1040011""","Kelly Middle School","=""1045111""",3337,3443,6780
"Norwich School District","=""1040011""","Moriarty Magnet School","=""1042011""",2031,2127,4158
"Norwich School District","=""1040011""","Samuel Huntington School","=""1040811""",1849,2134,3983
"Norwich School District","=""1040011""","Special Needs Program","=""1040511""",22,14,36
"Norwich School District","=""1040011""","Teachers' Memorial Middle School","=""1045211""",2363,2280,4643
"Norwich School District","=""1040011""","Thames River Academy","=""1046111""",184,234,418
"Norwich School District","=""1040011""","Thomas W. Mahan School","=""1041711""",1597,1369,2966
"Norwich School District","=""1040011""","Uncas Network School","=""1041911""",1171,1278,2449
"Norwich School District","=""1040011""","Veterans' Memorial School","=""1041811""",1429,1551,2980
"Norwich School District","=""1040011""","Wequonnoc Magnet School","=""1041511""",1207,1302,2509
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""",1316,1347,2663
"Old Saybrook School District","=""1060011""","Kathleen E. Goodwin School","=""1060211""",2149,2122,4271
"Old Saybrook School District","=""1060011""","Old Saybrook Middle School","=""1065211""",2850,2837,5687
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",2542,2446,4988
"Orange School District","=""1070011""","Mary L. Tracy School","=""1070211""",833,916,1749
"Orange School District","=""1070011""","Peck Place School","=""1070511""",2011,1869,3880
"Orange School District","=""1070011""","Race Brook School","=""1070311""",1901,1938,3839
"Orange School District","=""1070011""","Turkey Hill School","=""1070411""",1422,1604,3026
"Oxford School District","=""1080011""","Alternative Education","=""1080411""",10,16,26
"Oxford School District","=""1080011""","Great Oak School","=""1085111""",2559,2535,5094
"Oxford School District","=""1080011""","Oxford Center School","=""1080111""",2553,2456,5009
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",2660,2757,5417
"Oxford School District","=""1080011""","Quaker Farms School","=""1080311""",2358,2456,4814
"Park City Prep Charter School District","=""2830013""","Park City Prep Charter School","=""2835113""",1362,1408,2770
"Path Academy District","=""2930013""","Path Academy","=""2930113""",194,238,432
"Plainfield School District","=""1090011""","Early Childhood Center","=""1090511""",230,241,471
"Plainfield School District","=""1090011""","Early Childhood Center","=""1098011""",230,241,471
"Plainfield School District","=""1090011""","Moosup Elementary School","=""1090111""",1671,1630,3301
"Plainfield School District","=""1090011""","Plainfield Central School","=""1095111""",2763,2907,5670
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",3855,3823,7678
"Plainfield School District","=""1090011""","Plainfield Memorial School","=""1090311""",1838,1944,3782
"Plainfield School District","=""1090011""","Shepard Hill Elementary School","=""1090411""",1869,2002,3871
"Plainville School District","=""1100011""","Frank T. Wheeler School","=""1100411""",1367,1555,2922
"Plainville School District","=""1100011""","Linden Street School","=""1100211""",2008,2135,4143
"Plainville School District","=""1100011""","Louis Toffolon School","=""1100511""",1782,1807,3589
"Plainville School District","=""1100011""","Middle School of Plainville","=""1105211""",2681,2917,5598
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",3843,3932,7775
"Plainville School District","=""1100011""","Prekindergarten Program","=""1108011""",122,180,302
"Plymouth School District","=""1110011""","Eli Terry Jr. Middle School","=""1115111""",1899,2216,4115
"Plymouth School District","=""1110011""","Harry S. Fisher Elementary School","=""1110411""",1627,1642,3269
"Plymouth School District","=""1110011""","Main Street School","=""1110111""",80,101,181
"Plymouth School District","=""1110011""","Plymouth Alternative High School","=""1117111""",18,16,34
"Plymouth School District","=""1110011""","Plymouth Center School","=""1110211""",1722,2057,3779
"Plymouth School District","=""1110011""","Prospect Street School","=""1110311""",85,88,173
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",2344,2713,5057
"Pomfret School District","=""1120011""","Pomfret Community School","=""1120111""",2341,2334,4675
"Portland School District","=""1130011""","Brownstone Intermediate School","=""1130511""",1133,1162,2295
"Portland School District","=""1130011""","Gildersleeve School","=""1130411""",1161,1125,2286
"Portland School District","=""1130011""","Portland High School","=""1136111""",1850,1852,3702
"Portland School District","=""1130011""","Portland Middle School","=""1135111""",1115,1196,2311
"Portland School District","=""1130011""","Valley View School","=""1130211""",1606,1627,3233
"Preston School District","=""1140011""","Preston Plains School","=""1145111""",779,729,1508
"Preston School District","=""1140011""","Preston Veterans' Memorial School","=""1140411""",1428,1423,2851
"Putnam School District","=""1160011""","Helping Hands","=""1169011""",10,32,42
"Putnam School District","=""1160011""","PALS - Putnam Alternative Learning System","=""1160111""","*","*",14
"Putnam School District","=""1160011""","Putnam Elementary School","=""1160311""",3126,3405,6531
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",1482,1577,3059
"Putnam School District","=""1160011""","Putnam Middle School","=""1165111""",1339,1455,2794
"Redding School District","=""1170011""","John Read Middle School","=""1175111""",2726,2699,5425
"Redding School District","=""1170011""","Redding Elementary School","=""1170111""",2887,3094,5981
"Regional School District 01","=""2010012""","LEAPSS","=""2010412""","*","*",7
"Regional School District 01","=""2010012""","ALPSS","=""2010512""",0,"*","*"
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",2385,2302,4687
"Regional School District 01","=""2010012""","SELC","=""2010312""","*","*",6
"Regional School District 01","=""2010012""","TOTAL","=""2010212""","*","*",7
"Regional School District 04","=""2040012""","John Winthrop Middle School","=""2045112""",1749,1680,3429
"Regional School District 04","=""2040012""","Region 4 Transition Academy","=""2040112""","*","*",11
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",3133,3032,6165
"Regional School District 05","=""2050012""","Amity Middle School: Bethany","=""2055112""",1878,2024,3902
"Regional School District 05","=""2050012""","Amity Middle School: Orange","=""2055212""",1975,2027,4002
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",7737,8165,15902
"Regional School District 06","=""2060012""","Early Childhood Learning Center","=""2068112""",99,114,213
"Regional School District 06","=""2060012""","Goshen Center School","=""2060112""",1038,895,1933
"Regional School District 06","=""2060012""","James Morris School","=""2060212""",796,894,1690
"Regional School District 06","=""2060012""","Stepping Stones Preschool Program","=""2068012""",12,26,38
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",2941,2632,5573
"Regional School District 06","=""2060012""","Warren Elementary School","=""2060312""",420,440,860
"Regional School District 07","=""2070012""","AIM","=""2079112""",35,76,111
"Regional School District 07","=""2070012""","FLEX","=""2079012""",9,56,65
"Regional School District 07","=""2070012""","Highlander Transition Academy","=""2070112""",10,9,19
"Regional School District 07","=""2070012""","Intensive Learning Program","=""2079412""","*","*",39
"Regional School District 07","=""2070012""","LINKS","=""2079212""",68,99,167
"Regional School District 07","=""2070012""","Links","=""2079212""",68,99,167
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",3911,3371,7282
"Regional School District 07","=""2070012""","Northwestern Regional Middle School","=""2075112""",1715,1728,3443
"Regional School District 07","=""2070012""","STEP","=""2079312""",61,132,193
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",5150,5762,10912
"Regional School District 08","=""2080012""","RHAM Middle School","=""2085112""",2882,3155,6037
"Regional School District 08","=""2080012""","Region Alternative High School","=""2086212""",7,10,17
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",4999,4938,9937
"Regional School District 10","=""2100012""","Har-Bur Middle School","=""2105112""",4068,4477,8545
"Regional School District 10","=""2100012""","Harwinton Consolidated School","=""2100312""",2209,2325,4534
"Regional School District 10","=""2100012""","Lake Garda Elementary School","=""2100212""",2485,2809,5294
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",3857,4122,7979
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",1339,1445,2784
"Regional School District 12","=""2120012""","Booth Free School","=""2120212""",495,507,1002
"Regional School District 12","=""2120012""","Early Childhood Education Center","=""2128012""",71,57,128
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",936,1079,2015
"Regional School District 12","=""2120012""","Shepaug Valley Middle School","=""2125112""",630,732,1362
"Regional School District 12","=""2120012""","Shepaug Valley School","=""2120312""",888,913,1801
"Regional School District 12","=""2120012""","The Burnham School","=""2120112""",345,397,742
"Regional School District 12","=""2120012""","Washington Primary School","=""2120412""",823,799,1622
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",2873,2823,5696
"Regional School District 13","=""2130012""","Francis E. Korn School","=""2130212""",723,878,1601
"Regional School District 13","=""2130012""","Frank Ward Strong School","=""2135112""",1626,1759,3385
"Regional School District 13","=""2130012""","Frederick Brewster School","=""2130112""",1139,1419,2558
"Regional School District 13","=""2130012""","John Lyman School","=""2130512""",1534,1362,2896
"Regional School District 13","=""2130012""","Middlefield Memorial School","=""2130412""",1585,1718,3303
"Regional School District 13","=""2130012""","Middlesex Transition Academy","=""2130312""",27,43,70
"Regional School District 14","=""2140012""","Bethlehem Elementary School","=""2140112""",1615,1499,3114
"Regional School District 14","=""2140012""","Integrated Star Preschool Program","=""2148012""",173,204,377
"Regional School District 14","=""2140012""","Mitchell Elementary School","=""2140212""",1883,2022,3905
"Regional School District 14","=""2140012""","Nonnewaug Chiefs Alternative Program","=""2140312""","*","*","*"
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",4520,3532,8052
"Regional School District 14","=""2140012""","Region 14 Transition Academy","=""2140412""",0,6,6
"Regional School District 14","=""2140012""","Woodbury Middle School","=""2145112""",2097,2082,4179
"Regional School District 15","=""2150012""","Gainfield Elementary School","=""2150412""",1960,2074,4034
"Regional School District 15","=""2150012""","Long Meadow Elementary School","=""2150712""",2643,3059,5702
"Regional School District 15","=""2150012""","MIJ Program","=""2150112""",15,16,31
"Regional School District 15","=""2150012""","Memorial Middle School","=""2155212""",2388,2513,4901
"Regional School District 15","=""2150012""","Middlebury Elementary School","=""2150612""",1933,2123,4056
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",6250,6777,13027
"Regional School District 15","=""2150012""","Pomperaug School","=""2150512""",2121,2430,4551
"Regional School District 15","=""2150012""","Rochambeau Middle School","=""2155112""",2604,2770,5374
"Regional School District 16","=""2160012""","Algonquin School","=""2160312""",1938,1770,3708
"Regional School District 16","=""2160012""","Community School","=""2160212""",940,857,1797
"Regional School District 16","=""2160012""","Laurel Ledge School","=""2160112""",2040,2382,4422
"Regional School District 16","=""2160012""","Long River Middle School","=""2165112""",2939,2912,5851
"Regional School District 16","=""2160012""","Prospect Elementary School","=""2160512""",638,581,1219
"Regional School District 16","=""2160012""","WRHS Alternative Education Program","=""2160412""",23,12,35
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",3717,3673,7390
"Regional School District 17","=""2170012""","Burr District Elementary School","=""2170212""",1376,1582,2958
"Regional School District 17","=""2170012""","Haddam Elementary School","=""2170112""",1134,1336,2470
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",3292,3295,6587
"Regional School District 17","=""2170012""","Haddam-Killingworth Middle School","=""2175112""",3786,4038,7824
"Regional School District 17","=""2170012""","Killingworth Elementary School","=""2170312""",1761,1833,3594
"Regional School District 17","=""2170012""","RSD17 Transition Program","=""2170412""","*","*","*"
"Regional School District 18","=""2180012""","Center School","=""2180312""",959,943,1902
"Regional School District 18","=""2180012""","Alternative Program","=""2180412""","*","*",8
"Regional School District 18","=""2180012""","Lyme Consolidated School","=""2180112""",861,908,1769
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",2175,2276,4451
"Regional School District 18","=""2180012""","Lyme-Old Lyme Middle School","=""2185112""",1712,1750,3462
"Regional School District 18","=""2180012""","Mile Creek School","=""2180212""",1327,1335,2662
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",6072,5746,11818
"Regional School District 19","=""2190012""","E.O. Smith High School at the Depot Campus","=""2190112""",43,28,71
"Regional School District 19","=""2190012""","PM Panthers","=""2190212""",27,35,62
"Regional School District 19","=""2190012""","STAAR Program","=""2190312""",8,11,19
"Ridgefield School District","=""1180011""","Alternative High School","=""1188011""",18,24,42
"Ridgefield School District","=""1180011""","Barlow Mountain Elementary School","=""1180811""",1742,2078,3820
"Ridgefield School District","=""1180011""","Branchville Elementary School","=""1180611""",2037,2048,4085
"Ridgefield School District","=""1180011""","District Program BMES","=""1180111""",0,"*","*"
"Ridgefield School District","=""1180011""","District Program ERMS","=""1181011""",0,"*","*"
"Ridgefield School District","=""1180011""","District Program RES","=""1180711""","*","*",17
"Ridgefield School District","=""1180011""","District Program SES","=""1180911""","*","*",6
"Ridgefield School District","=""1180011""","District Program SRMS","=""1181111""",0,"*","*"
"Ridgefield School District","=""1180011""","East Ridge Middle School","=""1185111""",3642,3946,7588
"Ridgefield School District","=""1180011""","Farmingville Elementary School","=""1180411""",1713,1823,3536
"Ridgefield School District","=""1180011""","Ridgebury Elementary School","=""1180311""",1943,2013,3956
"Ridgefield School District","=""1180011""","Ridgefield 18-21 Transition Program","=""1189011""",8,16,24
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",8682,8772,17454
"Ridgefield School District","=""1180011""","Ridgefield Transition Program","=""1189011""",8,16,24
"Ridgefield School District","=""1180011""","Scotland Elementary School","=""1180511""",1842,1974,3816
"Ridgefield School District","=""1180011""","Scotts Ridge Middle School","=""1185211""",2609,2745,5354
"Ridgefield School District","=""1180011""","Veterans Park Elementary School","=""1180211""",1551,1743,3294
"Rocky Hill School District","=""1190011""","Pathways","=""1190311""",8,10,18
"Rocky Hill School District","=""1190011""","Albert D. Griswold Middle School","=""1195111""",3075,3062,6137
"Rocky Hill School District","=""1190011""","Alternative Learning Program","=""1190111""","*","*",17
"Rocky Hill School District","=""1190011""","Dr. Oran A. Moser School","=""1190211""",165,168,333
"Rocky Hill School District","=""1190011""","Myrtle H. Stevens School","=""1190411""",2439,2682,5121
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",3718,3695,7413
"Rocky Hill School District","=""1190011""","West Hill School","=""1190511""",3265,3245,6510
"Salem School District","=""1210011""","Salem Elementary School","=""1210111""",2149,2293,4442
"Salisbury School District","=""1220011""","SELC","=""1220211""","*","*","*"
"Salisbury School District","=""1220011""","Salisbury Central School","=""1220111""",1469,1499,2968
"Scotland School District","=""1230011""","Scotland Elementary School","=""1230111""",772,668,1440
"Seymour School District","=""1240011""","Anna L. Lopresti School","=""1240311""",769,791,1560
"Seymour School District","=""1240011""","Bungay School","=""1240111""",2578,2651,5229
"Seymour School District","=""1240011""","Chatfield-LoPresti School","=""1240211""",1316,1403,2719
"Seymour School District","=""1240011""","Paul Chatfield School","=""1240411""",716,738,1454
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",3392,3406,6798
"Seymour School District","=""1240011""","Seymour Middle School","=""1245111""",2813,2946,5759
"Sharon School District","=""1250011""","TOTAL","=""1250211""","*","*",14
"Sharon School District","=""1250011""","Sharon Center School","=""1250111""",921,925,1846
"Shelton School District","=""1260011""","Mohegan School","=""1260911""",2109,2092,4201
"Shelton School District","=""1260011""","Alternative Learning Center 1","=""1260211""","*","*",16
"Shelton School District","=""1260011""","Alternative Learning Center 2","=""1261311""","*","*","*"
"Shelton School District","=""1260011""","Booth Hill School","=""1261011""",1797,2015,3812
"Shelton School District","=""1260011""","Elizabeth Shelton School","=""1260511""",2365,2591,4956
"Shelton School District","=""1260011""","Intermediate School","=""1265111""",4311,4444,8755
"Shelton School District","=""1260011""","Lafayette School","=""1260411""",510,560,1070
"Shelton School District","=""1260011""","Life Skills","=""1260311""","*","*",9
"Shelton School District","=""1260011""","Long Hill School","=""1260811""",2342,2499,4841
"Shelton School District","=""1260011""","Perry Hill Elementary School","=""1261111""",2714,2905,5619
"Shelton School District","=""1260011""","Pre-Kindergarten","=""1260111""",38,75,113
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",7830,7928,15758
"Shelton School District","=""1260011""","Sunnyside School","=""1260611""",1211,1449,2660
"Shelton School District","=""1260011""","Therapeutic Learning Center","=""1261211""",0,"*","*"
"Shelton School District","=""1260011""","Transition Program","=""1260711""",11,24,35
"Shelton School District","=""1260011""","Work Experience","=""1260711""",11,24,35
"Sherman School District","=""1270011""","Sherman School","=""1270111""",1910,2000,3910
"Side By Side Charter School District","=""2700013""","Side By Side Charter School","=""2700113""",1148,1183,2331
"Simsbury School District","=""1280011""","Central School","=""1280111""",1899,2123,4022
"Simsbury School District","=""1280011""","Farmington Valley Transition Academy","=""1280211""",14,17,31
"Simsbury School District","=""1280011""","Henry James Memorial School","=""1285111""",3658,4029,7687
"Simsbury School District","=""1280011""","Latimer Lane School","=""1280611""",2255,2280,4535
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",7175,8059,15234
"Simsbury School District","=""1280011""","Squadron Line School","=""1280711""",3341,3663,7004
"Simsbury School District","=""1280011""","Tariffville School","=""1280311""",1327,1403,2730
"Simsbury School District","=""1280011""","Tootin' Hills School","=""1280411""",2072,2310,4382
"Somers School District","=""1290011""","Aspire","=""1290511""","*","*",15
"Somers School District","=""1290011""","Mabelle B. Avery Middle School","=""1295111""",1874,1976,3850
"Somers School District","=""1290011""","Somers Elementary School","=""1290411""",3159,3440,6599
"Somers School District","=""1290011""","Somers High School","=""1296111""",2628,2649,5277
"South Windsor School District","=""1320011""","Pleasant Valley School","=""1320211""",1913,2005,3918
"South Windsor School District","=""1320011""","Eli Terry School","=""1320711""",2085,2268,4353
"South Windsor School District","=""1320011""","Orchard Hill School","=""1320611""",2003,2207,4210
"South Windsor School District","=""1320011""","Philip R. Smith School","=""1320111""",1708,1849,3557
"South Windsor School District","=""1320011""","Project Worth Young Adult Academy","=""1329011""",13,29,42
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",7049,7567,14616
"South Windsor School District","=""1320011""","Timothy Edwards School","=""1325111""",5104,5429,10533
"South Windsor School District","=""1320011""","Wapping Elementary School","=""1320411""",1434,1615,3049
"Southington School District","=""1310011""","John F. Kennedy Middle School","=""1315311""",4038,4203,8241
"Southington School District","=""1310011""","Achieve","=""1311711""","*","*",16
"Southington School District","=""1310011""","Alta","=""1310111""",37,77,114
"Southington School District","=""1310011""","Derynoski Elementary School","=""1311511""",3350,3146,6496
"Southington School District","=""1310011""","EASE","=""1310511""","*","*",32
"Southington School District","=""1310011""","Flanders Elementary School","=""1311311""",1417,1558,2975
"Southington School District","=""1310011""","Hatton Elementary School","=""1310211""",1866,2302,4168
"Southington School District","=""1310011""","Hatton Preschool Program","=""1312011""",53,100,153
"Southington School District","=""1310011""","Joseph A. Depaolo Middle School","=""1315111""",3709,3845,7554
"Southington School District","=""1310011""","Language Based Classroom","=""1310411""","*","*",25
"Southington School District","=""1310011""","Language Based Classroom II","=""1312311""",0,9,9
"Southington School District","=""1310011""","Language Based Classroom at Hatton School","=""1310411""","*","*",25
"Southington School District","=""1310011""","Language Based Classroom, Multihandicapped","=""1311811""",8,19,27
"Southington School District","=""1310011""","Plantsville Elementary School","=""1310611""",1316,1296,2612
"Southington School District","=""1310011""","Preschool/ABA ~ Hatton School","=""1310311""",8,25,33
"Southington School District","=""1310011""","Preschool/ABA ~ South End School","=""1311911""","*","*",10
"Southington School District","=""1310011""","STELLAR","=""1312211""","*","*",8
"Southington School District","=""1310011""","South End Elementary School","=""1310711""",1137,1179,2316
"Southington School District","=""1310011""","South End Preschool Program","=""1312111""",15,31,46
"Southington School District","=""1310011""","Southington High School","=""1316211""",10277,10152,20429
"Southington School District","=""1310011""","Southington Public Schools Preschool Program","=""1312111""",15,31,46
"Southington School District","=""1310011""","Southington Public Schools Preschool Program at Hatton School","=""1312011""",53,100,153
"Southington School District","=""1310011""","Strong Elementary School","=""1310811""",1825,1901,3726
"Southington School District","=""1310011""","Thalberg Elementary School","=""1310911""",2084,2208,4292
"Southington School District","=""1310011""","Therapeutic Educational Alternative Model (TEAM)","=""1311611""","*","*",21
"Southington School District","=""1310011""","Therapeutic Educational Setting (TEP)","=""1311211""",10,16,26
"Southington School District","=""1310011""","Urbin T. Kelley School","=""1311411""",1797,1940,3737
"Sprague School District","=""1330011""","Sayles School","=""1330111""",1678,1912,3590
"Stafford School District","=""1340011""","Stafford Elementary School","=""1340611""",2435,2543,4978
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",2552,2304,4856
"Stafford School District","=""1340011""","Stafford Middle School","=""1345211""",1905,1964,3869
"Stafford School District","=""1340011""","Stafford Tutoring Program","=""1340211""",7,10,17
"Stafford School District","=""1340011""","Staffordville School","=""1340311""",828,931,1759
"Stafford School District","=""1340011""","West Stafford School","=""1340411""",884,932,1816
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",578,814,1392
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""",184,197,381
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""",107,136,243
"Stamford School District","=""1350011""","Apples PreK","=""1350111""",128,294,422
"Stamford School District","=""1350011""","Cloonan School","=""1355611""",2820,3016,5836
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""",2929,2730,5659
"Stamford School District","=""1350011""","Dolan School","=""1355311""",2607,2961,5568
"Stamford School District","=""1350011""","Hart School","=""1352211""",2564,2937,5501
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""",28,38,66
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""",2793,3104,5897
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""",2711,2688,5399
"Stamford School District","=""1350011""","New School at 200 Strawberry Hill Avenue","=""1350711""",117,112,229
"Stamford School District","=""1350011""","Newfield School","=""1350611""",3200,3320,6520
"Stamford School District","=""1350011""","Northeast School","=""1351811""",3533,3551,7084
"Stamford School District","=""1350011""","Preschool Team","=""1358011""",170,430,600
"Stamford School District","=""1350011""","Rippowam Middle School","=""1355811""",3608,3520,7128
"Stamford School District","=""1350011""","Rogers International School","=""1350811""",3727,3580,7307
"Stamford School District","=""1350011""","Roxbury School","=""1350911""",2975,3462,6437
"Stamford School District","=""1350011""","Scofield Middle School","=""1355711""",3239,3166,6405
"Stamford School District","=""1350011""","Springdale School","=""1351111""",3095,3143,6238
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",8716,9302,18018
"Stamford School District","=""1350011""","Stillmeadow School","=""1352111""",3136,3607,6743
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",2657,3901,6558
"Stamford School District","=""1350011""","Toquam Magnet School","=""1351911""",2975,3272,6247
"Stamford School District","=""1350011""","Turn of River School","=""1355511""",2865,2949,5814
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",11140,10994,22134
"Stamford School District","=""1350011""","Westover School","=""1351411""",3379,3611,6990
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""",2193,2610,4803
"Stonington School District","=""1370011""","Community Classroom","=""1370811""","*","*","*"
"Stonington School District","=""1370011""","Deans Mill School","=""1370511""",2239,2415,4654
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""",1987,2154,4141
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""",1613,1646,3259
"Stonington School District","=""1370011""","SAILS","=""1370711""","*","*","*"
"Stonington School District","=""1370011""","Special Needs Preschool Program","=""1378011""",38,41,79
"Stonington School District","=""1370011""","Stonington BOE Pre-School","=""1370111""",35,49,84
"Stonington School District","=""1370011""","Stonington HS PreK","=""1370211""",46,32,78
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",3765,3878,7643
"Stonington School District","=""1370011""","West Broad Street School","=""1370411""",722,805,1527
"Stonington School District","=""1370011""","West Vine Street School","=""1370611""",993,1118,2111
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""",2548,2618,5166
