"FTE Staffing Report for Trend"

"",,,"Year",,,,
,="Counselors  Social Workers  and School Psychologists",="Certified",95.0,91.4,91.2,97.2,100.6
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",107.0,96.0,85.0,97.0,133.0
,="General Education - Teachers and Instructors",="Certified",1041.0,1048.8,1046.4,1080.3,1115.2
,="Library/Media - Support Staff",="Non-Certified",26.0,23.0,20.0,21.0,22.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",437.0,413.0,332.0,352.0,358.0
,="School Nurses",="Non-Certified",22.0,23.0,21.0,22.0,23.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",209.0,210.0,195.0,200.0,198.0
,="Special Education - Teachers and Instructors",="Certified",145.5,141.8,135.4,134.6,137.5
,="Instructional Specialists Who Support Teachers",="Certified",69.0,68.5,67.0,48.5,43.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",19.0,19.0,18.0,20.0,15.0
,="Library/Media - Specialists (Certified)",="Certified",21.0,21.0,21.0,22.0,22.0
="Sterling School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,1.0,1.0,1.0,1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.0,1.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.1,6.6,19.5,7.0,4.0
,="General Education - Teachers and Instructors",="Certified",32.0,33.5,32.1,31.6,29.8
,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",30.8,12.3,54.0,18.0,48.8
,="School Nurses",="Non-Certified",1.0,1.0,3.0,1.0,2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",21.4,21.4,57.5,16.0,43.0
,="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,5.0,6.0
,="Instructional Specialists Who Support Teachers",="Certified",1.0,2.2,2.6,2.6,1.8
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.4,0.4,0.4,1.4,1.8
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Stonington School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.7,10.2,10.3,11.1,10.3
,="Counselors  Social Workers  and School Psychologists",="Certified",14.4,14.4,15.2,14.2,16.6
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.5,12.6,68.5,68.1,69.9
,="General Education - Teachers and Instructors",="Certified",153.0,153.2,151.5,154.1,149.9
,="Library/Media - Support Staff",="Non-Certified",8.2,8.7,9.6,10.6,9.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",105.3,105.5,106.2,105.1,107.9
,="School Nurses",="Non-Certified",8.6,8.9,8.9,8.9,8.9
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",62.3,58.7,64.0,65.5,67.1
,="Special Education - Teachers and Instructors",="Certified",36.5,33.5,36.4,35.4,31.8
,="Instructional Specialists Who Support Teachers",="Certified",4.6,4.6,4.6,4.6,5.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.4,5.4,6.4,4.2,4.0
,="Library/Media - Specialists (Certified)",="Certified",3.8,3.4,3.4,3.4,4.0
="Stratford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",31.5,31.0,33.7,33.7,31.5
,="Counselors  Social Workers  and School Psychologists",="Certified",39.0,37.7,38.0,37.0,41.3
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,7.0,8.0,27.0,13.7
,="General Education - Teachers and Instructors",="Certified",424.3,412.7,436.1,432.6,437.5
,="Library/Media - Support Staff",="Non-Certified",2.5,2.5,2.5,2.5,2.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",222.5,226.5,222.0,242.7,263.4
,="School Nurses",="Non-Certified",15.0,15.0,15.0,13.0,13.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",73.9,73.5,69.0,78.4,69.2
,="Special Education - Teachers and Instructors",="Certified",57.5,55.6,57.6,58.6,60.0
,="Instructional Specialists Who Support Teachers",="Certified",21.0,18.0,18.0,15.6,13.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",11.4,11.4,9.4,11.0,13.6
,="Library/Media - Specialists (Certified)",="Certified",13.0,13.0,13.0,12.0,12.0
="Suffield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.1,8.0,9.1,8.0,11.0
,="Counselors  Social Workers  and School Psychologists",="Certified",11.0,11.0,11.0,11.0,11.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",26.5,30.5,32.6,28.7,32.3
,="General Education - Teachers and Instructors",="Certified",160.2,156.6,157.2,157.3,159.0
,="Library/Media - Support Staff",="Non-Certified",3.4,3.4,3.4,3.4,4.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",84.0,84.2,81.5,78.9,79.8
,="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,4.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",29.7,35.9,39.4,38.1,53.3
,="Special Education - Teachers and Instructors",="Certified",21.5,21.0,21.5,22.0,20.5
,="Instructional Specialists Who Support Teachers",="Certified",6.1,8.3,5.0,5.0,8.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.0,5.0,7.0,7.0,4.0
,="Library/Media - Specialists (Certified)",="Certified",4.0,4.0,4.0,4.0,4.0
="The Bridge Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.3,0.8
,="Counselors  Social Workers  and School Psychologists",="Certified",0.9,0.9,1.8,1.8,1.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,3.0,3.0,6.6,6.6
,="General Education - Teachers and Instructors",="Certified",17.2,16.0,16.5,17.3,15.7
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.4,5.4,6.4,6.2,6.2
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,2.0,2.0,2.0
,="Instructional Specialists Who Support Teachers",="Certified",.,.,.,.,1.5
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",.,.,.,.,0.5
="The Gilbert School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.9,4.8,4.4,4.6,4.4
,="Counselors  Social Workers  and School Psychologists",="Certified",3.5,4.0,4.0,3.0,3.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,1.0,2.0,2.0
,="General Education - Teachers and Instructors",="Certified",29.8,38.6,40.0,41.6,46.8
,="Library/Media - Support Staff",="Non-Certified",0.0,1.0,1.0,2.0,1.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",22.0,22.0,22.5,45.0,22.0
,="School Nurses",="Non-Certified",1.0,1.0,2.0,4.0,2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,0.0,0.0,0.0,0.0
,="Special Education - Teachers and Instructors",="Certified",3.0,.,.,.,.
,"Administrators  Coordinators and Department Chairs - District Central Office","Certified",.,.,1.0,1.0,1.0
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Thomaston School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",4.2,4.4,4.4,4.4,4.0
,="Counselors  Social Workers  and School Psychologists",="Certified",6.0,6.0,6.0,4.0,7.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.5,2.5,1.9,3.0
,="General Education - Teachers and Instructors",="Certified",75.4,76.2,71.0,66.2,61.8
,="Library/Media - Support Staff",="Non-Certified",1.9,1.6,1.6,2.3,0.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",48.1,48.9,48.9,44.8,43.1
,="School Nurses",="Non-Certified",3.0,3.0,3.0,3.0,3.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",15.6,15.4,14.9,17.4,12.2
,="Special Education - Teachers and Instructors",="Certified",12.6,13.6,12.2,12.0,11.0
,="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,1.6,1.6,1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,3.0,3.0,3.4
,="Library/Media - Specialists (Certified)",="Certified",1.0,2.0,2.0,2.0,2.0
="Thompson School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.2,5.1,5.1,5.5,4.6
,="Counselors  Social Workers  and School Psychologists",="Certified",6.0,6.0,7.0,6.0,6.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.1,6.1,7.5,11.8,9.0
,="General Education - Teachers and Instructors",="Certified",85.1,84.2,81.9,79.4,76.6
,="Library/Media - Support Staff",="Non-Certified",2.2,2.2,3.0,3.0,2.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",56.2,57.5,54.9,36.5,22.6
,="School Nurses",="Non-Certified",3.5,3.5,4.0,4.0,3.3
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.8,15.8,12.0,13.0,13.0
,="Special Education - Teachers and Instructors",="Certified",7.0,8.8,8.1,8.4,8.2
,="Instructional Specialists Who Support Teachers",="Certified",2.0,3.0,3.0,2.0,2.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.4,3.4,3.4,3.5,3.0
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,.,0.9,0.9
="Tolland School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.4,9.3,9.9,9.3,9.9
,="Counselors  Social Workers  and School Psychologists",="Certified",11.0,12.0,12.0,12.0,11.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",15.0,17.5,17.5,15.5,9.0
,="General Education - Teachers and Instructors",="Certified",172.9,175.5,175.5,168.0,169.5
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,1.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",118.3,115.7,117.0,116.9,77.9
,="School Nurses",="Non-Certified",7.3,7.3,7.3,7.3,7.3
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",68.9,71.3,74.1,73.3,70.0
,="Special Education - Teachers and Instructors",="Certified",27.1,25.4,27.3,25.8,26.3
,="Instructional Specialists Who Support Teachers",="Certified",7.0,7.0,7.0,5.0,5.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",7.0,6.0,7.0,8.0,5.0
,="Library/Media - Specialists (Certified)",="Certified",3.7,3.7,4.0,3.0,4.0
="Torrington School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.2,12.2,13.2,14.2,17.4
,="Counselors  Social Workers  and School Psychologists",="Certified",22.0,23.0,22.0,23.0,26.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,12.0,14.0,15.0,15.0
,="General Education - Teachers and Instructors",="Certified",289.4,284.7,280.1,282.6,285.4
,="Library/Media - Support Staff",="Non-Certified",7.0,7.0,7.0,7.0,6.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",183.1,183.4,178.6,177.5,180.0
,="School Nurses",="Non-Certified",10.2,10.0,10.0,10.4,10.3
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",105.0,104.5,99.5,125.5,101.5
,="Special Education - Teachers and Instructors",="Certified",42.2,45.4,49.0,49.4,48.4
,="Instructional Specialists Who Support Teachers",="Certified",14.8,15.8,15.7,15.5,15.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",7.0,5.0,5.0,7.0,5.0
,="Library/Media - Specialists (Certified)",="Certified",4.0,4.4,4.4,4.6,5.0
="Trailblazers Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,3.0,3.0,3.0,1.5
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,1.0,2.0,1.0
,="General Education - Teachers and Instructors",="Certified",18.0,18.0,18.0,16.5,13.0
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",2.0,3.0,3.0,0.0,8.0
,="School Nurses",="Non-Certified",1.0,1.0,1.0,0.8,0.8
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.5,2.5,1.0
,="Instructional Specialists Who Support Teachers",="Certified",.,.,.,.,1.5
="Trumbull School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",27.3,27.9,27.1,27.5,24.7
,="Counselors  Social Workers  and School Psychologists",="Certified",44.9,44.4,44.4,46.7,47.7
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",26.8,24.4,34.0,36.6,35.3
,="General Education - Teachers and Instructors",="Certified",413.0,407.5,418.0,412.9,406.3
,="Library/Media - Support Staff",="Non-Certified",2.0,0.0,0.0,0.0,2.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",322.5,331.1,342.6,323.6,322.5
,="School Nurses",="Non-Certified",11.5,11.5,11.4,11.4,11.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",91.3,96.9,100.6,118.2,123.7
,="Special Education - Teachers and Instructors",="Certified",63.6,65.5,66.4,68.1,69.3
,="Instructional Specialists Who Support Teachers",="Certified",24.8,20.9,27.5,28.1,31.5
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.0,6.0,6.0,6.0,9.0
,="Library/Media - Specialists (Certified)",="Certified",10.0,10.0,10.0,9.0,10.0
="Unified School District #1",="Administrators  Coordinators and Department Chairs - School Level",="Certified",15.0,13.0,13.8,11.6,12.0
,="Counselors  Social Workers  and School Psychologists",="Certified",18.4,18.0,18.0,17.1,18.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,1.5,4.5,4.5,4.0
,="General Education - Teachers and Instructors",="Certified",120.5,106.3,100.5,99.5,106.0
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",26.2,26.7,22.0,23.0,12.5
,="School Nurses",="Non-Certified",0.2,0.2,0.2,0.2,0.1
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Special Education - Teachers and Instructors",="Certified",31.2,27.5,27.0,26.0,25.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,4.2,3.2,3.4,4.0
,="Library/Media - Specialists (Certified)",="Certified",5.0,4.0,4.0,4.0,4.0
="Unified School District #2",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.0,7.0,6.0,6.0,7.0
,="Counselors  Social Workers  and School Psychologists",="Certified",19.0,19.0,20.0,20.0,17.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,="General Education - Teachers and Instructors",="Certified",23.0,24.5,24.0,29.0,31.0
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.0,10.0,9.0,13.0,14.0
,="School Nurses",="Non-Certified",3.0,3.0,3.0,3.0,3.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.0,14.0,14.0,10.0,8.0
,="Special Education - Teachers and Instructors",="Certified",35.8,33.8,34.8,37.8,35.0
,="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,2.0,2.0,2.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0,1.0,.,.,1.0
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Union School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,.
,"General Education - Paraprofessional Instructional Assistants","Non-Certified",2.0,2.0,.,2.0,2.0
,="General Education - Teachers and Instructors",="Certified",5.9,5.3,6.5,6.7,7.3
,="Library/Media - Support Staff",="Non-Certified",0.1,0.0,.,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",2.0,2.0,.,2.0,2.2
,="School Nurses",="Non-Certified",1.0,1.0,.,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,.,0.0,1.5
,="Special Education - Teachers and Instructors",="Certified",0.8,0.8,0.8,0.8,1.4
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.4,0.2,0.2,0.2,1.2
="Vernon School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.6,12.6,14.1,13.4,18.9
,="Counselors  Social Workers  and School Psychologists",="Certified",21.8,23.0,26.6,26.0,24.6
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",37.3,44.0,37.7,74.4,22.9
,="General Education - Teachers and Instructors",="Certified",243.9,246.2,240.3,248.3,242.6
,="Library/Media - Support Staff",="Non-Certified",9.0,8.0,7.0,8.0,9.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",142.3,148.4,141.0,141.2,135.2
,="School Nurses",="Non-Certified",7.9,7.9,7.9,7.9,7.9
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",61.7,68.3,75.6,76.5,89.4
,="Special Education - Teachers and Instructors",="Certified",44.8,47.8,47.1,45.1,47.5
,="Instructional Specialists Who Support Teachers",="Certified",12.5,16.5,16.0,13.0,15.1
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",11.1,10.1,9.2,10.0,7.5
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,0.8
="Voluntown School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,2.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.6,1.6,1.6,1.6,1.6
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,5.0,3.0,3.0,1.0
,="General Education - Teachers and Instructors",="Certified",26.0,26.0,26.0,24.0,25.0
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",18.5,18.8,18.8,20.2,20.3
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.0,11.0,12.0,13.0,13.0
,="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,4.0
,="Instructional Specialists Who Support Teachers",="Certified",1.8,1.6,1.6,1.8,1.8
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.4,0.4,0.4,0.4,0.4
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,.
"Wallingford School District","Administrators  Coordinators and Department Chairs - School Level","Certified",24.3,24.2,23.7,23.5,23.2
,="Counselors  Social Workers  and School Psychologists",="Certified",43.1,43.9,42.2,42.2,44.2
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",50.1,42.1,41.2,41.0,46.0
,="General Education - Teachers and Instructors",="Certified",434.6,421.8,416.1,400.8,424.6
,="Library/Media - Support Staff",="Non-Certified",8.9,8.4,8.4,8.4,8.4
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",268.8,566.5,275.1,300.2,292.0
,="School Nurses",="Non-Certified",15.7,15.1,15.0,15.3,15.1
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",104.5,113.2,112.2,108.5,110.5
,="Special Education - Teachers and Instructors",="Certified",54.0,53.0,50.0,52.0,52.3
,="Instructional Specialists Who Support Teachers",="Certified",18.2,19.0,23.7,24.7,23.7
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.0,6.0,7.0,7.0,10.0
,="Library/Media - Specialists (Certified)",="Certified",12.0,12.0,11.0,12.0,12.0
="Waterbury School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",92.1,83.7,85.1,89.7,80.8
,="Counselors  Social Workers  and School Psychologists",="Certified",88.6,89.1,89.7,90.9,104.6
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",172.3,71.6,74.9,94.9,83.2
,="General Education - Teachers and Instructors",="Certified",1101.4,1121.7,1145.0,1168.4,1163.2
,="Library/Media - Support Staff",="Non-Certified",18.1,19.8,20.8,16.3,17.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",460.7,737.7,740.7,721.4,811.3
,="School Nurses",="Non-Certified",27.3,26.8,27.8,26.8,27.2
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",294.0,337.5,335.0,329.1,340.0
,="Special Education - Teachers and Instructors",="Certified",201.2,198.8,208.2,212.1,218.8
,="Instructional Specialists Who Support Teachers",="Certified",73.2,69.2,69.1,74.5,71.9
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",21.3,23.3,23.3,25.1,25.0
,="Library/Media - Specialists (Certified)",="Certified",23.0,23.0,21.0,23.0,22.0
="Waterford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.6,10.8,11.0,11.0,11.0
,="Counselors  Social Workers  and School Psychologists",="Certified",14.9,13.8,14.8,15.8,17.4
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,4.0,4.0,4.0,7.0
,="General Education - Teachers and Instructors",="Certified",192.6,182.2,179.9,174.3,178.3
,="Library/Media - Support Staff",="Non-Certified",6.0,6.0,5.0,5.0,5.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",150.5,146.3,146.1,150.1,150.5
,="School Nurses",="Non-Certified",5.0,5.0,5.0,5.0,5.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",52.6,51.6,48.6,50.0,50.0
,="Special Education - Teachers and Instructors",="Certified",26.0,26.8,26.8,28.8,28.8
,="Instructional Specialists Who Support Teachers",="Certified",9.5,7.5,9.4,10.9,13.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.8,4.0,4.0,4.0,4.5
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Watertown School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.0,10.3,12.3,12.0,8.0
,="Counselors  Social Workers  and School Psychologists",="Certified",15.0,14.8,14.8,15.8,14.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",19.5,18.5,18.5,21.0,20.0
,="General Education - Teachers and Instructors",="Certified",181.1,178.4,170.6,168.9,161.6
,="Library/Media - Support Staff",="Non-Certified",4.5,4.5,5.0,5.0,4.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",146.2,154.2,79.0,143.7,138.7
,="School Nurses",="Non-Certified",7.5,7.5,5.5,8.0,5.6
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",59.0,55.0,65.0,58.5,66.5
,="Special Education - Teachers and Instructors",="Certified",32.4,31.4,31.4,29.4,27.3
,="Instructional Specialists Who Support Teachers",="Certified",6.4,6.4,7.4,6.4,5.5
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,1.0,3.0,5.0
,="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,2.0,2.0
="West Hartford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",40.4,39.5,38.4,38.6,40.6
,="Counselors  Social Workers  and School Psychologists",="Certified",58.5,59.7,59.6,58.7,60.5
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",62.8,66.1,66.0,76.1,70.7
,="General Education - Teachers and Instructors",="Certified",647.2,657.1,660.6,656.2,669.5
,="Library/Media - Support Staff",="Non-Certified",11.4,12.4,12.3,10.9,10.8
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",425.4,450.0,436.5,426.8,414.6
,="School Nurses",="Non-Certified",21.4,21.9,22.4,22.4,21.4
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",153.0,155.0,183.5,176.5,172.5
,="Special Education - Teachers and Instructors",="Certified",97.8,96.7,100.7,99.5,90.0
,="Instructional Specialists Who Support Teachers",="Certified",37.2,37.9,36.6,37.8,39.4
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",15.5,16.6,15.6,18.0,16.8
,="Library/Media - Specialists (Certified)",="Certified",18.0,17.0,18.0,18.0,17.0
="West Haven School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",19.8,22.8,22.3,21.8,24.3
,="Counselors  Social Workers  and School Psychologists",="Certified",36.3,35.8,36.3,36.5,34.5
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",43.6,39.4,47.2,51.5,50.0
,="General Education - Teachers and Instructors",="Certified",374.6,372.1,373.7,382.7,382.2
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",253.1,244.3,243.6,246.0,254.7
,="School Nurses",="Non-Certified",16.0,16.0,16.0,16.0,17.2
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",102.0,100.0,99.0,108.5,114.0
,="Special Education - Teachers and Instructors",="Certified",76.0,76.0,75.0,77.0,75.0
,="Instructional Specialists Who Support Teachers",="Certified",30.9,34.3,37.0,29.5,32.4
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",10.5,10.5,10.5,11.0,10.5
,="Library/Media - Specialists (Certified)",="Certified",7.0,6.0,6.0,6.0,6.0
="Westbrook School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0,3.0,3.0,3.0,3.6
,="Counselors  Social Workers  and School Psychologists",="Certified",4.8,4.8,4.8,6.8,6.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,10.8,11.4,11.5,6.5
,="General Education - Teachers and Instructors",="Certified",82.4,83.8,81.5,83.4,81.8
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",46.3,43.5,42.6,43.6,42.6
,="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.0,15.4,17.0,15.9,22.1
,="Special Education - Teachers and Instructors",="Certified",11.0,10.8,12.3,12.6,13.9
,="Instructional Specialists Who Support Teachers",="Certified",2.6,2.0,2.0,2.0,2.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0,2.0,2.0,2.0,3.0
,="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,3.0,3.0,2.8
="Weston School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",10.4,10.3,9.0,10.6,10.2
,="Counselors  Social Workers  and School Psychologists",="Certified",17.0,17.0,17.0,17.0,17.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",21.4,14.0,16.3,14.5,12.8
,="General Education - Teachers and Instructors",="Certified",162.5,164.7,158.4,155.1,159.7
,="Library/Media - Support Staff",="Non-Certified",3.0,4.1,4.1,4.1,4.1
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",119.4,116.3,77.1,63.8,122.0
,="School Nurses",="Non-Certified",5.0,5.0,5.0,5.0,5.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",36.6,44.8,44.2,43.1,44.7
,="Special Education - Teachers and Instructors",="Certified",25.0,25.0,25.0,24.0,23.4
,="Instructional Specialists Who Support Teachers",="Certified",9.4,10.6,11.6,12.0,13.2
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.0,5.6,4.8,5.0,5.0
,="Library/Media - Specialists (Certified)",="Certified",4.0,4.0,4.0,4.0,4.0
