"Total Expenditures Used for Special Education, Trend"
"All Districts"

"",,"Year",,,,
,="Tuition to Other Schools",2709313,2359496,2888514,2650538,2441188
,="Instructional Supplies",51105,66707,60258,30564,40063
,="Property Services",0,0,0,50988,27065
,="Transportation",1331382,1431750,1426882,1403902,1614209
,="Equipment",26839,17340,34892,5200,12361
,="Other Expenditures",615,984,3212,3483,2764
,="Total Expenditures",11805317,11451207,12355522,12731115,13279319
="Voluntown School District",="Certified Personnel",431121,366628,425962,489561,507529
,="Noncertified Personnel",257230,262995,252618,270063,249201
,="Employee Benefits",100360,84085,87739,104510,130364
,="Purchased Services",72131,88694,114812,90594,124696
,="Tuition to Other Schools",638260,571499,535257,568082,683372
,="Instructional Supplies",14997,9613,11839,10040,13858
,="Property Services",17343,11603,14696,10614,5091
,="Transportation",14973,0,0,5905,7280
,="Equipment",877,5742,20265,3577,1065
,="Other Expenditures",780,745,1108,1390,828
,="Total Expenditures",1553951,1410582,1473854,1564180,1730850
="Wallingford School District",="Certified Personnel",8356623,10055136,9265250,9147058,9289236
,="Noncertified Personnel",2598351,2857607,2948475,3219909,3321357
,="Employee Benefits",1612758,1641278,1887073,1942868,1820690
,="Purchased Services",1473955,1344654,1230927,1256273,1259799
,="Tuition to Other Schools",5170505,5103464,4643076,4974629,5097421
,="Instructional Supplies",89917,115798,131580,131458,168703
,="Property Services",4186,6005,11477,21195,10966
,="Transportation",2541511,2926995,2940043,2972749,3025786
,="Equipment",30836,29976,14981,27170,36255
,="Other Expenditures",0,754,537,873,834
,="Total Expenditures",21878642,24081667,23073419,23696263,24031047
="Waterbury School District",="Certified Personnel",20495354,20351427,20539067,20437722,20013158
,="Noncertified Personnel",10641240,10532855,11326878,11274223,12552992
,="Employee Benefits",17239599,14968393,16050931,16390374,16572499
,="Purchased Services",4170238,3486484,3765545,4019615,4004411
,="Tuition to Other Schools",6134032,6382181,5856362,6016327,6156782
,="Instructional Supplies",270301,213651,241958,156728,221305
,="Property Services",51026,12839,38061,22401,19235
,="Transportation",5100747,5317805,5185928,4933266,5608543
,="Equipment",249984,116640,0,0,0
,="Other Expenditures",1478,0,0,0,0
,="Total Expenditures",65458322,61951980,63140817,63319707,65321640
="Waterford School District",="Certified Personnel",3564143,3681014,3897768,4044529,4402438
,="Noncertified Personnel",1547043,1523766,1498546,1547363,1502121
,="Employee Benefits",1601583,1907601,2040115,1936162,1780659
,="Purchased Services",570742,607441,743913,829871,674731
,="Tuition to Other Schools",2202788,1986685,1837461,2162073,2470298
,="Instructional Supplies",104360,62868,60818,64449,80865
,="Property Services",0,0,0,0,0
,="Transportation",1030114,956141,918834,762171,729774
,="Equipment",43505,47424,51673,17451,33686
,="Other Expenditures",31230,19755,26364,46524,1578
,="Total Expenditures",10736386,10821159,11089811,11440517,11693550
="Watertown School District",="Certified Personnel",3263536,3304772,3150146,3717848,3315328
,="Noncertified Personnel",1161872,1188704,1234582,1327191,1427793
,="Employee Benefits",1310321,893825,817210,1583871,1567022
,="Purchased Services",445299,438393,332361,539354,590533
,="Tuition to Other Schools",1274862,788711,1025468,739590,1373077
,="Instructional Supplies",36839,77914,29969,59787,31279
,="Property Services",0,1592,1592,6991,4970
,="Transportation",901027,938063,859638,1041820,812345
,="Equipment",4611,17060,4006,2791,161
,="Other Expenditures",0,185,89,499,490
,="Total Expenditures",8398411,7649892,7455061,9020100,9123057
="West Hartford School District",="Certified Personnel",12719785,12582218,13018793,13607918,14009359
,="Noncertified Personnel",3637088,3926467,3997843,4435009,4516756
,="Employee Benefits",5900017,6141443,6510703,7512497,7955242
,="Purchased Services",332633,252541,140521,328636,406737
,="Tuition to Other Schools",4909784,5563358,6090033,5727557,6432152
,="Instructional Supplies",187786,166045,146518,128554,216337
,="Property Services",68499,34671,48155,37049,36729
,="Transportation",2514890,2716817,2730888,2791271,3126706
,="Equipment",0,0,0,0,0
,="Other Expenditures",74854,23257,1174,2905,1561
,="Total Expenditures",30345336,31406817,32684628,34571396,36701579
="West Haven School District",="Certified Personnel",7209218,7635935,8996641,8369939,8610527
,="Noncertified Personnel",3312020,3183963,3214465,3425710,3653914
,="Employee Benefits",2755317,2999423,3311518,3500218,3500748
,="Purchased Services",549723,560543,426405,481619,609950
,="Tuition to Other Schools",6068704,6821892,6989691,7579307,8955117
,="Instructional Supplies",46402,71417,41762,43879,52695
,="Property Services",0,0,0,0,7590
,="Transportation",1035724,938794,1079066,1421702,1456315
,="Equipment",0,0,0,0,0
,="Other Expenditures",5703,3757,7277,1800,1800
,="Total Expenditures",20982811,22215724,24066825,24824174,26854926
="Westbrook School District",="Certified Personnel",945992,1167742,1415140,1467036,1597402
,="Noncertified Personnel",272442,323160,385952,402362,412105
,="Employee Benefits",368678,402889,561987,484883,564837
,="Purchased Services",222963,200373,313121,434144,515948
,="Tuition to Other Schools",258746,397185,498573,692155,477737
,="Instructional Supplies",37422,15902,17107,22846,22182
,="Property Services",0,0,0,0,0
,="Transportation",123566,223544,267543,326728,214619
,="Equipment",13949,0,9414,11970,6696
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",2244742,2730795,3469974,3843543,3811526
="Weston School District",="Certified Personnel",3466341,3715011,3723443,3691562,3826445
,="Noncertified Personnel",1598033,1797490,1839811,1866894,1770720
,="Employee Benefits",1698947,1591946,1663501,1743633,1659133
,="Purchased Services",1130477,958599,1159413,988182,949724
,="Tuition to Other Schools",1567725,1290835,1279746,1913969,2198357
,="Instructional Supplies",37658,40473,30692,32291,25779
,="Property Services",0,0,0,0,0
,="Transportation",545369,374177,371194,354915,379784
,="Equipment",6912,12734,12124,5692,11635
,="Other Expenditures",7048,20206,18703,17874,6572
,="Total Expenditures",10059010,9802091,10098825,10615271,10828149
="Westport School District",="Certified Personnel",8159885,8415311,8412415,8698502,8839280
,="Noncertified Personnel",3440005,3393796,3461247,3742369,3972770
,="Employee Benefits",2700943,3375484,3689127,3727996,3085399
,="Purchased Services",631813,507594,534934,578047,637677
,="Tuition to Other Schools",3266366,3208016,2764437,2775425,2707351
,="Instructional Supplies",202988,123102,139988,153465,192219
,="Property Services",19219,15884,20636,17051,7456
,="Transportation",1003481,993215,1035145,1113697,1234765
,="Equipment",78060,33715,27750,71314,36821
,="Other Expenditures",1221,1840,2067,2113,2849
,="Total Expenditures",19519719,20081148,20100795,20895950,20735100
="Wethersfield School District",="Certified Personnel",2734300,2369398,2908590,2841481,2791478
,="Noncertified Personnel",2364229,2280456,2375638,2302602,2147329
,="Employee Benefits",1563511,1518579,1523182,986052,1248284
,="Purchased Services",307862,274744,236391,222638,360467
,="Tuition to Other Schools",3254816,3259892,3714184,4131558,4731405
,="Instructional Supplies",30335,49529,8719,46182,31587
,="Property Services",0,0,0,0,0
,="Transportation",1044166,1374994,1328061,1679478,1816018
,="Equipment",19667,11636,9743,4143,4208
,="Other Expenditures",0,0,0,0,370
,="Total Expenditures",11362439,11143126,12105476,12214739,13134383
="Willington School District",="Certified Personnel",935759,916497,925237,925462,831923
,="Noncertified Personnel",175310,203843,241240,242131,260236
,="Employee Benefits",256223,262964,260547,273346,236143
,="Purchased Services",520701,463837,547606,556152,544513
,="Tuition to Other Schools",301278,228466,67276,123044,178341
,="Instructional Supplies",9312,9679,13028,10073,13532
,="Property Services",8090,9510,11446,7961,15784
,="Transportation",87619,80821,64326,97248,126064
,="Equipment",250,1273,1903,2274,4824
,="Other Expenditures",7823,6380,2570,755,674
,="Total Expenditures",2302786,2183553,2135491,2238855,2212519
="Wilton School District",="Certified Personnel",5595466,5747192,5941068,6341423,6840382
,="Noncertified Personnel",3357804,3367357,3456075,3630805,3676291
,="Employee Benefits",2076451,2385542,2538402,2330681,2578155
,="Purchased Services",1916388,1950052,1830659,2922058,2942614
,="Tuition to Other Schools",2200688,2201604,2482078,3616982,3989650
,="Instructional Supplies",62980,90190,92358,82987,86224
,="Property Services",11053,22340,17902,18166,12290
,="Transportation",478786,476419,539004,559589,756345
,="Equipment",30886,18747,10457,7999,22234
,="Other Expenditures",147,0,0,2127,1774
,="Total Expenditures",15734455,16294782,16908944,19513167,20906150
="Winchester School District",="Certified Personnel",847683,1636923,1674306,N/A,N/A
,"Noncertified Personnel",832522,889747,839106,N/A,N/A
,"Employee Benefits",385036,264553,293177,N/A,N/A
,"Purchased Services",4120,364397,306237,N/A,N/A
,"Tuition to Other Schools",3300946,1478538,1648598,N/A,N/A
,"Instructional Supplies",95,3863,11138,N/A,N/A
,"Property Services",0,0,0,N/A,N/A
,"Transportation",442475,641414,738691,N/A,N/A
,"Equipment",0,12098,0,N/A,N/A
,"Other Expenditures",0,0,0,N/A,N/A
,"Total Expenditures",5816761,5299262,5523936,N/A,N/A
"Windham School District","Certified Personnel",4127205,4041238,3804089,3532544,3661659
,="Noncertified Personnel",1534773,1547025,1176450,2007489,2117273
,="Employee Benefits",1697604,1561330,1386480,1578836,1505974
,="Purchased Services",525733,433171,141508,413713,539209
,="Tuition to Other Schools",3860016,4071161,4024010,3371530,3902458
,="Instructional Supplies",24005,41061,0,7687,6990
,="Property Services",1955,2491,0,803,1519
,="Transportation",958196,875717,1039735,981009,1174878
,="Equipment",4423,703,0,0,0
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",12751572,12591720,11587764,11904683,12946203
="Windsor Locks School District",="Certified Personnel",2241109,2424207,2445125,2601071,2759706
,="Noncertified Personnel",1207492,1033741,1093329,1134182,1130435
,="Employee Benefits",477631,478926,490076,517333,538785
,="Purchased Services",60856,65174,77268,89116,113708
,="Tuition to Other Schools",1054924,1519385,1452742,1268633,888546
,="Instructional Supplies",23954,46788,42778,81655,72174
,="Property Services",0,0,0,0,0
,="Transportation",415185,500511,566974,581193,431306
,="Equipment",21758,0,0,0,0
,="Other Expenditures",1594,1489,1380,1450,2146
,="Total Expenditures",5504503,6070221,6169672,6274633,5936806
="Windsor School District",="Certified Personnel",5342635,5522919,5088602,5114642,5494166
,="Noncertified Personnel",2462857,2397152,2606983,3122950,3453367
,="Employee Benefits",1913693,1879872,1775366,2136628,2124639
,="Purchased Services",267884,330655,394003,380078,217619
,="Tuition to Other Schools",3526513,3691733,4373070,4648888,4891984
,="Instructional Supplies",26375,74182,42839,50104,38664
,="Property Services",0,0,0,0,0
,="Transportation",1522442,1422974,1427822,1425433,1826898
,="Equipment",11444,27055,29061,7489,5919
,="Other Expenditures",635,381,1437,0,0
,="Total Expenditures",15082904,15346923,15739183,16886212,18053256
="Wolcott School District",="Certified Personnel",2272687,2445078,2434679,2440085,2557862
,="Noncertified Personnel",778219,785105,695792,729177,757516
,="Employee Benefits",445040,443889,439006,443376,436129
,="Purchased Services",920010,1144772,1073630,1208857,1289299
,="Tuition to Other Schools",826318,732149,826697,768903,953510
,="Instructional Supplies",31261,24990,33270,29726,51271
,="Property Services",0,0,0,0,0
,="Transportation",477939,551282,551156,516600,564207
,="Equipment",4620,1161,6080,5413,8569
,="Other Expenditures",9219,11453,7354,7241,8954
,="Total Expenditures",5768276,6149509,6072313,6152683,6631062
="Woodbridge School District",="Certified Personnel",1118921,1022314,1105196,1097201,1074130
,="Noncertified Personnel",353995,373734,323195,325160,337492
,="Employee Benefits",438996,388559,423376,370748,397485
,="Purchased Services",123945,122916,116422,121264,149895
,="Tuition to Other Schools",215498,287712,268383,215148,275617
,="Instructional Supplies",9640,4057,28433,7715,8440
,="Property Services",3157,4175,0,0,0
,="Transportation",133579,129225,107520,144206,157977
,="Equipment",0,0,0,3424,4148
,="Other Expenditures",15240,15387,16314,16209,15769
,="Total Expenditures",2421024,2356039,2397535,2310056,2430238
="Woodstock School District",="Certified Personnel",854339,894506,897780,901211,825858
,="Noncertified Personnel",725145,774888,799543,797853,938549
,="Employee Benefits",279667,286730,281219,298640,426019
,="Purchased Services",198607,171224,170869,150339,191966
,="Tuition to Other Schools",811294,645644,595904,990989,805543
,="Instructional Supplies",10179,5573,16652,10758,14387
,="Property Services",11745,13111,16602,20419,13988
,="Transportation",85406,45585,64788,119785,80504
,="Equipment",3023,3150,12960,23495,25369
,="Other Expenditures",2954,3114,4587,351,4239
,="Total Expenditures",2983798,2845027,2862279,3314316,3326954

