"Chronic Absenteeism, 2015-16"
", All Schools, All Students"

"District","District Code","School","School Code","% Chronically Absent"
"Unified School District #1","=""3360015""","MacDougall/Walker Correctional Institution","=""3362215""","*"
"Unified School District #1","=""3360015""","Manson Youth Institution","=""3361115""",39.9
"Unified School District #1","=""3360015""","New Haven Correctional Center","=""3360915""","*"
"Unified School District #1","=""3360015""","Northern Correctional Institution","=""3362615""","*"
"Unified School District #1","=""3360015""","Osborn Correctional Institution","=""3361215""","*"
"Unified School District #1","=""3360015""","Robinson Correctional Institution","=""3361315""","*"
"Unified School District #1","=""3360015""","Willard/Cybulski Correctional Institution","=""3361515""","*"
"Unified School District #1","=""3360015""","York Correctional Institution","=""3362515""","*"
"Unified School District #2","=""3470015""","Children's Place School","=""3470115""","*"
"Unified School District #2","=""3470015""","Riverview School","=""3470315""","*"
"Unified School District #2","=""3470015""","Virtual Academy","=""3470215""","*"
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""","*"
"Union School District","=""1450011""","Union Elementary School","=""1450111""","*"
"Vernon School District","=""1460011""","Northeast School","=""1460311""",5.8
"Vernon School District","=""1460011""","Center Road School","=""1461411""",3.5
"Vernon School District","=""1460011""","Lake Street School","=""1460111""",3.0
"Vernon School District","=""1460011""","Loveland Hill School","=""1460511""","*"
"Vernon School District","=""1460011""","Maple Street School","=""1460211""",8.2
"Vernon School District","=""1460011""","Next Step Program (AACBP)","=""1469011""","*"
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",18.4
"Vernon School District","=""1460011""","Skinner Road School","=""1461011""",10.4
"Vernon School District","=""1460011""","Vernon Center Middle School","=""1465111""",7.9
"Voluntown School District","=""1470011""","Voluntown Elementary School","=""1470111""","*"
"Wallingford School District","=""1480011""","Highland School","=""1480211""",4.0
"Wallingford School District","=""1480011""","A.R.T.S. Academy","=""1489011""","*"
"Wallingford School District","=""1480011""","Cook Hill School","=""1481011""",4.5
"Wallingford School District","=""1480011""","Dag Hammarskjold Middle School","=""1485211""",5.6
"Wallingford School District","=""1480011""","Education Enhancement Program","=""1480511""",35.0
"Wallingford School District","=""1480011""","Evarts C. Stevens School","=""1480911""",1.9
"Wallingford School District","=""1480011""","Harvest Park","=""1489211""","*"
"Wallingford School District","=""1480011""","James H. Moran Middle School","=""1485311""",4.2
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",6.9
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",6.7
"Wallingford School District","=""1480011""","Moses Y. Beach School","=""1480111""",3.0
"Wallingford School District","=""1480011""","Multi-Vocational Life Skills Program","=""1489111""","*"
"Wallingford School District","=""1480011""","Parker Farms School","=""1480311""",2.2
"Wallingford School District","=""1480011""","Pond Hill School","=""1481211""",2.4
"Wallingford School District","=""1480011""","Rock Hill School","=""1480411""",4.5
"Wallingford School District","=""1480011""","Yalesville School","=""1480811""","*"
"Waterbury School District","=""1510011""","SAGE","=""3480415""","*"
"Waterbury School District","=""1510011""","Bridgeport Detention Center","=""3480115""","*"
"Waterbury School District","=""1510011""","West Side Middle School","=""1515211""",19.8
"Waterbury School District","=""1510011""","Washington School","=""1512311""",13.0
"Waterbury School District","=""1510011""","B. W. Tinker School","=""1512111""",7.4
"Waterbury School District","=""1510011""","B.W. Tinker BDLC","=""1510411""",27.3
"Waterbury School District","=""1510011""","Bucks Hill Bilingual","=""1514311""",12.0
"Waterbury School District","=""1510011""","Bucks Hill School","=""1510511""",11.9
"Waterbury School District","=""1510011""","Bunker Hill BDLC","=""1510111""",25.0
"Waterbury School District","=""1510011""","Bunker Hill School","=""1510611""",10.7
"Waterbury School District","=""1510011""","Carrington ESC","=""1511911""","*"
"Waterbury School District","=""1510011""","Carrington School","=""1512711""",6.4
"Waterbury School District","=""1510011""","Chase Bilingual","=""1514111""",9.5
"Waterbury School District","=""1510011""","Crosby Autism","=""1514511""","*"
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",32.0
"Waterbury School District","=""1510011""","Crosby NVCC (Waterbury Transition Learning Center)","=""1514011""","*"
"Waterbury School District","=""1510011""","Driggs School","=""1510911""",20.6
"Waterbury School District","=""1510011""","Duggan CBL","=""1513611""","*"
"Waterbury School District","=""1510011""","Duggan School","=""1511611""",9.6
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""",95.1
"Waterbury School District","=""1510011""","Excel III","=""1513911""","*"
"Waterbury School District","=""1510011""","F. J. Kingsbury School","=""1511411""",7.1
"Waterbury School District","=""1510011""","Gilmartin School","=""1512611""",9.3
"Waterbury School District","=""1510011""","H. S. Chase School","=""1510711""",4.9
"Waterbury School District","=""1510011""","Hopeville Bilingual","=""1514211""",11.8
"Waterbury School District","=""1510011""","Hopeville School","=""1511311""",13.7
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",30.9
"Waterbury School District","=""1510011""","Maloney Interdistrict Magnet School","=""1513111""",3.1
"Waterbury School District","=""1510011""","Margaret M. Generali Autism","=""1513511""","*"
"Waterbury School District","=""1510011""","Margaret M. Generali Elementary School","=""1511111""",5.3
"Waterbury School District","=""1510011""","Michael F. Wallace Autism","=""1512911""","*"
"Waterbury School District","=""1510011""","Michael F. Wallace Middle School","=""1515111""",15.4
"Waterbury School District","=""1510011""","North End ESC","=""1511811""","*"
"Waterbury School District","=""1510011""","North End Middle School","=""1515311""",19.5
"Waterbury School District","=""1510011""","Reed ESC","=""1512411""",50.0
"Waterbury School District","=""1510011""","Reed School","=""1513411""",10.0
"Waterbury School District","=""1510011""","Regan School","=""1512811""",4.5
"Waterbury School District","=""1510011""","Rotella Interdistrict Magnet School","=""1513311""",2.2
"Waterbury School District","=""1510011""","Sprague School","=""1512011""",6.2
"Waterbury School District","=""1510011""","State Street School","=""1519011""",81.0
"Waterbury School District","=""1510011""","Walsh School","=""1512211""",12.9
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",10.5
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (Middle)","=""1515011""",6.5
"Waterbury School District","=""1510011""","Waterbury Career Academy","=""1516711""",5.2
"Waterbury School District","=""1510011""","Wendell L. Cross School","=""1510811""",4.1
"Waterbury School District","=""1510011""","Wilby ESC","=""1511711""","*"
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",34.2
"Waterbury School District","=""1510011""","Woodrow Wilson BDLC","=""1511211""",42.9
"Waterbury School District","=""1510011""","Woodrow Wilson School","=""1513211""",10.3
"Waterford School District","=""1520011""","Autism Class","=""1521111""","*"
"Waterford School District","=""1520011""","Avery Point Transition Program","=""1520311""","*"
"Waterford School District","=""1520011""","Clark Lane Middle School","=""1525111""",5.8
"Waterford School District","=""1520011""","Great Neck Elementary School","=""1520211""","*"
"Waterford School District","=""1520011""","Oswegatchie Elementary School","=""1520611""",1.6
"Waterford School District","=""1520011""","Quaker Hill Elementary School","=""1520711""",5.2
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",8.7
"Waterford School District","=""1520011""","Waterford High School Tutor Center","=""1521211""","*"
"Watertown School District","=""1530011""","Fletcher W. Judson School","=""1530311""",3.4
"Watertown School District","=""1530011""","John Trumbull Primary School","=""1530211""",5.7
"Watertown School District","=""1530011""","Polk School","=""1530411""",5.2
"Watertown School District","=""1530011""","Swift Middle School","=""1535111""",5.5
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",13.5
"West Hartford School District","=""1550011""","Smith School","=""1551711""",8.5
"West Hartford School District","=""1550011""","Achieve","=""1559111""","*"
"West Hartford School District","=""1550011""","REACH","=""1557311""",42.9
"West Hartford School District","=""1550011""","Aiken School","=""1551611""",2.3
"West Hartford School District","=""1550011""","Braeburn Learning Center","=""1559311""","*"
"West Hartford School District","=""1550011""","Braeburn School","=""1550211""",1.7
"West Hartford School District","=""1550011""","Bristow Middle School","=""1555311""",1.9
"West Hartford School District","=""1550011""","Bugbee School","=""1550411""","*"
"West Hartford School District","=""1550011""","Charter Oak International Academy","=""1550511""",4.3
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",5.8
"West Hartford School District","=""1550011""","Duffy School","=""1550611""",1.8
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",6.1
"West Hartford School District","=""1550011""","King Philip Middle School","=""1555111""",4.1
"West Hartford School District","=""1550011""","Morley School","=""1550911""",4.1
"West Hartford School District","=""1550011""","Norfeldt Learning Center","=""1559411""","*"
"West Hartford School District","=""1550011""","Norfeldt School","=""1551011""",2.0
"West Hartford School District","=""1550011""","Sedgwick Middle School","=""1555211""",6.1
"West Hartford School District","=""1550011""","Strive-West Hartford","=""1559211""",68.8
"West Hartford School District","=""1550011""","WAAVE (W Hartford Applied Academic/Voc'l Experience)","=""1559011""","*"
"West Hartford School District","=""1550011""","Webster Hill School","=""1551211""",8.1
"West Hartford School District","=""1550011""","Whiting Lane Learning Center","=""1559511""","*"
"West Hartford School District","=""1550011""","Whiting Lane School","=""1551311""",7.9
"West Hartford School District","=""1550011""","Wolcott Learning Center","=""1559611""","*"
"West Hartford School District","=""1550011""","Wolcott School","=""1551511""",3.8
"West Haven School District","=""1560011""","Washington School","=""1561211""",11.2
"West Haven School District","=""1560011""","Life Skills","=""1560111""","*"
"West Haven School District","=""1560011""","ASD Lab","=""1561111""","*"
"West Haven School District","=""1560011""","Alma E. Pagels School","=""1560811""",10.9
"West Haven School District","=""1560011""","Blended","=""1560711""",14.9
"West Haven School District","=""1560011""","Blended (Molloy)","=""1560511""",64.0
"West Haven School District","=""1560011""","Carrigan 5/6 Intermediate School","=""1565311""",11.0
"West Haven School District","=""1560011""","Edith E. Mackrille School","=""1560611""",2.5
"West Haven School District","=""1560011""","Forest School","=""1560311""",7.8
"West Haven School District","=""1560011""","Harry M. Bailey Middle School","=""1565111""",14.3
"West Haven School District","=""1560011""","PACE","=""1560211""",64.3
"West Haven School District","=""1560011""","Savin Rock Community School","=""1561411""",8.5
"West Haven School District","=""1560011""","Seth G. Haley School","=""1560411""",8.4
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",11.1
"Westbrook School District","=""1540011""","Daisy Ingraham School","=""1540211""",3.1
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",7.7
"Westbrook School District","=""1540011""","Westbrook Middle School","=""1545111""","*"
"Weston School District","=""1570011""","Hurlbutt Elementary School","=""1570111""",3.7
"Weston School District","=""1570011""","Weston High School","=""1576111""",5.3
"Weston School District","=""1570011""","Weston Intermediate School","=""1570211""",3.0
"Weston School District","=""1570011""","Weston Middle School","=""1575111""",3.6
"Westport School District","=""1580011""","Bedford Middle School","=""1585111""",4.2
"Westport School District","=""1580011""","CES Segregated","=""1580111""","*"
"Westport School District","=""1580011""","Coleytown Elementary School","=""1580311""","*"
"Westport School District","=""1580011""","Coleytown Middle School","=""1585311""",3.5
"Westport School District","=""1580011""","Green's Farms School","=""1580411""",4.1
"Westport School District","=""1580011""","Green's Farms Segregated","=""1580211""","*"
"Westport School District","=""1580011""","King's Highway Elementary School","=""1580511""",2.0
"Westport School District","=""1580011""","King's Highway Segregated","=""1580611""","*"
"Westport School District","=""1580011""","Long Lots School","=""1580711""","*"
"Westport School District","=""1580011""","Saugatuck Elementary School","=""1580811""",1.5
"Westport School District","=""1580011""","Staples High School","=""1586111""",2.0
"Wethersfield School District","=""1590011""","Alfred W. Hanmer School","=""1590811""",2.5
"Wethersfield School District","=""1590011""","Charles Wright School","=""1591011""",1.8
"Wethersfield School District","=""1590011""","Emerson-Williams School","=""1590211""",2.1
"Wethersfield School District","=""1590011""","Highcrest School","=""1591111""",2.3
"Wethersfield School District","=""1590011""","Samuel B. Webb Elementary School","=""1591211""","*"
"Wethersfield School District","=""1590011""","Silas Deane Middle School","=""1595211""",3.3
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",5.7
"Willington School District","=""1600011""","Center School","=""1600111""","*"
"Willington School District","=""1600011""","Hall Memorial School","=""1605111""",7.4
"Wilton School District","=""1610011""","Middlebrook School","=""1615211""",2.2
"Wilton School District","=""1610011""","Cider Mill School","=""1610711""",1.3
"Wilton School District","=""1610011""","Miller-Driscoll School","=""1610511""",1.8
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",9.1
"Wilton School District","=""1610011""","Wilton-Westport Evening School","=""1610111""","*"
"Winchester School District","=""1620011""","Batcheller Early Education Center","=""1620411""",12.2
"Winchester School District","=""1620011""","Mary P. Hinsdale School","=""1620211""",3.9
"Winchester School District","=""1620011""","Pearson Middle School","=""1625111""",4.1
"Windham School District","=""1630011""","Charles H. Barrows STEM Academy","=""1630411""",4.8
"Windham School District","=""1630011""","Natchaug School","=""1630111""",13.8
"Windham School District","=""1630011""","North Windham ASD Program","=""1630811""","*"
"Windham School District","=""1630011""","North Windham School","=""1630311""",10.2
"Windham School District","=""1630011""","Sweeney Medically Fragile Program","=""1630911""","*"
"Windham School District","=""1630011""","W. B. Sweeney School","=""1630611""",14.5
"Windham School District","=""1630011""","Windham Center School","=""1630511""",17.7
"Windham School District","=""1630011""","Windham High School","=""1636111""",31.8
"Windham School District","=""1630011""","Windham Middle School","=""1635111""",16.4
"Windsor Locks School District","=""1650011""","North Street School","=""1650111""",8.4
"Windsor Locks School District","=""1650011""","Pine Meadow Academy","=""1650611""",71.8
"Windsor Locks School District","=""1650011""","RISE Transition Academy","=""1650211""","*"
"Windsor Locks School District","=""1650011""","South Elementary School","=""1650411""",6.1
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",15.6
"Windsor Locks School District","=""1650011""","Windsor Locks Middle School","=""1655111""",10.7
"Windsor School District","=""1640011""","Clover Street School","=""1640111""",3.4
"Windsor School District","=""1640011""","Community Based Transition Academy","=""1640211""","*"
"Windsor School District","=""1640011""","Expulsion","=""1640411""","*"
"Windsor School District","=""1640011""","John F. Kennedy School","=""1640811""",4.0
"Windsor School District","=""1640011""","Oliver Ellsworth School","=""1640911""",4.4
"Windsor School District","=""1640011""","Plato Credit Recovery","=""1640611""","*"
"Windsor School District","=""1640011""","Poquonock Elementary School","=""1640511""",10.0
"Windsor School District","=""1640011""","Sage Park Middle School","=""1645311""",8.2
"Windsor School District","=""1640011""","Spark","=""1640311""","*"
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",12.2
"Wolcott School District","=""1660011""","ABC Classroom","=""1660311""","*"
"Wolcott School District","=""1660011""","Alcott School","=""1660611""","*"
"Wolcott School District","=""1660011""","Frisbie School","=""1660211""","*"
"Wolcott School District","=""1660011""","Phoenix Program","=""1660411""","*"
"Wolcott School District","=""1660011""","Tyrrell Middle School","=""1665111""",1.3
"Wolcott School District","=""1660011""","Wakelee School","=""1660511""",1.8
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",6.2
"Woodbridge School District","=""1670011""","Beecher Road School","=""1670311""",4.7
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",6.3
"Woodstock School District","=""1690011""","Woodstock Elementary School","=""1690211""",2.7
"Woodstock School District","=""1690011""","Woodstock Middle School","=""1695111""",1.6

