"Student Counts by School and Race"
"All Districts, All Schools"
"Trend"

"",,,,"Race",,,,,,,,,,,,
"Shelton School District","=""1260011""","Therapeutic Learning Center","=""1261211""",0,0,0,"*",0,0,"*",0,0,0,"*",0,"*"
"Shelton School District","=""1260011""","Transition Program","=""1260711""",0,0,"*","*",0,0,"*",0,0,0,26,0,35
"Shelton School District","=""1260011""","Work Experience","=""1260711""",0,0,"*","*",0,0,"*",0,0,0,26,0,35
"Sherman School District","=""1270011""","Sherman School","=""1270111""",8,12,69,6,20,12,47,0,0,69,2376,1291,3910
"Side By Side Charter School District","=""2700013""","Side By Side Charter School","=""2700113""","*",0,190,468,230,213,648,"*",0,92,308,173,2331
"Simsbury School District","=""1280011""","Central School","=""1280111""","*","*",298,87,63,61,218,0,0,84,2136,1066,4022
"Simsbury School District","=""1280011""","Farmington Valley Transition Academy","=""1280211""",0,0,"*","*",0,0,"*",0,0,"*",25,0,31
"Simsbury School District","=""1280011""","Henry James Memorial School","=""1285111""",8,0,385,246,100,82,247,0,0,44,4380,2195,7687
"Simsbury School District","=""1280011""","Latimer Lane School","=""1280611""","*",0,292,135,53,"*",198,0,0,56,2409,1354,4535
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""","*",0,710,499,164,143,469,"*",0,68,9015,4161,15234
"Simsbury School District","=""1280011""","Squadron Line School","=""1280711""","*",0,449,218,78,61,241,"*",0,72,3801,2078,7004
"Simsbury School District","=""1280011""","Tariffville School","=""1280311""","*",0,170,218,76,"*",115,0,0,38,1439,638,2730
"Simsbury School District","=""1280011""","Tootin' Hills School","=""1280411""","*",0,223,124,"*",56,216,0,0,42,2228,1455,4382
"Somers School District","=""1290011""","Aspire","=""1290511""",0,0,0,"*",0,0,0,0,0,"*",12,0,15
"Somers School District","=""1290011""","Mabelle B. Avery Middle School","=""1295111""",0,0,54,56,37,"*",100,"*",0,45,2342,1189,3850
"Somers School District","=""1290011""","Somers Elementary School","=""1290411""",0,"*",86,77,50,35,139,"*",0,60,4154,1990,6599
"Somers School District","=""1290011""","Somers High School","=""1296111""",0,9,96,82,34,35,112,0,0,50,3236,1623,5277
"South Windsor School District","=""1320011""","Pleasant Valley School","=""1320211""",7,0,590,197,109,95,240,0,0,122,1574,984,3918
"South Windsor School District","=""1320011""","Eli Terry School","=""1320711""","*","*",306,173,79,79,249,0,0,240,2183,1039,4353
"South Windsor School District","=""1320011""","Orchard Hill School","=""1320611""","*","*",779,177,64,71,190,26,0,75,1695,1125,4210
"South Windsor School District","=""1320011""","Philip R. Smith School","=""1320111""",0,0,626,104,76,58,125,"*",0,"*",1590,950,3557
"South Windsor School District","=""1320011""","Project Worth Young Adult Academy","=""1329011""",0,0,"*","*",0,0,"*",0,0,"*",31,0,42
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",11,16,1265,501,271,225,687,25,0,219,7382,4014,14616
"South Windsor School District","=""1320011""","Timothy Edwards School","=""1325111""",13,6,1170,410,178,153,543,25,0,230,5059,2746,10533
"South Windsor School District","=""1320011""","Wapping Elementary School","=""1320411""",0,"*",412,142,65,67,193,"*",0,88,1363,714,3049
"Southington School District","=""1310011""","John F. Kennedy Middle School","=""1315311""",9,12,260,108,45,70,270,8,0,161,5085,2213,8241
"Southington School District","=""1310011""","Achieve","=""1311711""",0,0,"*",0,0,0,"*",0,0,0,11,0,16
"Southington School District","=""1310011""","Alta","=""1310111""",0,0,0,"*",0,0,26,0,0,"*",85,0,114
"Southington School District","=""1310011""","Derynoski Elementary School","=""1311511""",10,10,159,61,20,84,259,0,0,109,3874,1910,6496
"Southington School District","=""1310011""","EASE","=""1310511""",0,0,0,0,0,0,"*",0,0,0,"*",0,32
"Southington School District","=""1310011""","Flanders Elementary School","=""1311311""","*",0,139,36,20,103,217,"*",0,76,1575,799,2975
"Southington School District","=""1310011""","Hatton Elementary School","=""1310211""","*","*",61,35,37,80,179,0,0,110,2498,1157,4168
"Southington School District","=""1310011""","Hatton Preschool Program","=""1312011""",0,0,8,"*",0,0,14,0,0,"*",122,0,153
"Southington School District","=""1310011""","Joseph A. Depaolo Middle School","=""1315111""","*","*",256,69,68,130,381,"*",0,132,4509,2001,7554
"Southington School District","=""1310011""","Language Based Classroom","=""1310411""",0,0,0,0,0,0,"*",0,0,"*",16,0,25
"Southington School District","=""1310011""","Language Based Classroom II","=""1312311""",0,0,0,0,0,0,"*",0,0,0,"*",0,9
"Southington School District","=""1310011""","Language Based Classroom at Hatton School","=""1310411""",0,0,0,0,0,0,"*",0,0,"*",16,0,25
"Southington School District","=""1310011""","Language Based Classroom, Multihandicapped","=""1311811""",0,0,0,"*",0,0,"*",0,0,0,25,0,27
"Southington School District","=""1310011""","Plantsville Elementary School","=""1310611""","*","*",45,74,17,18,137,0,0,53,1661,599,2612
"Southington School District","=""1310011""","Preschool/ABA ~ Hatton School","=""1310311""",0,0,0,"*",0,0,"*",0,0,"*",25,0,33
"Southington School District","=""1310011""","Preschool/ABA ~ South End School","=""1311911""",0,0,"*",0,0,0,0,0,0,"*",8,0,10
"Southington School District","=""1310011""","STELLAR","=""1312211""",0,0,"*",0,0,0,0,0,0,0,"*",0,8
"Southington School District","=""1310011""","South End Elementary School","=""1310711""",0,6,60,70,17,24,173,0,0,55,1331,580,2316
"Southington School District","=""1310011""","South End Preschool Program","=""1312111""",0,0,0,"*",0,0,"*",0,0,"*",37,0,46
"Southington School District","=""1310011""","Southington High School","=""1316211""",8,8,641,306,145,250,818,0,0,289,12259,5705,20429
"Southington School District","=""1310011""","Southington Public Schools Preschool Program","=""1312111""",0,0,0,"*",0,0,"*",0,0,"*",37,0,46
"Southington School District","=""1310011""","Southington Public Schools Preschool Program at Hatton School","=""1312011""",0,0,8,"*",0,0,14,0,0,"*",122,0,153
"Southington School District","=""1310011""","Strong Elementary School","=""1310811""","*",0,108,54,44,31,128,"*",0,80,1992,1279,3726
"Southington School District","=""1310011""","Thalberg Elementary School","=""1310911""","*",13,293,41,"*",40,168,0,0,78,2516,1126,4292
"Southington School District","=""1310011""","Therapeutic Educational Alternative Model (TEAM)","=""1311611""",0,0,0,0,0,0,"*",0,0,0,"*",0,21
"Southington School District","=""1310011""","Therapeutic Educational Setting (TEP)","=""1311211""",0,0,0,"*",0,0,"*",0,0,0,22,0,26
"Southington School District","=""1310011""","Urbin T. Kelley School","=""1311411""",0,0,153,23,"*",37,106,"*",0,69,2216,1108,3737
"Sprague School District","=""1330011""","Sayles School","=""1330111""",23,23,"*",39,83,78,311,"*",0,248,1901,860,3590
"Stafford School District","=""1340011""","Stafford Elementary School","=""1340611""","*",36,75,46,16,54,175,"*",0,64,3008,1500,4978
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",0,0,76,35,"*",41,114,"*",0,58,3001,1500,4856
"Stafford School District","=""1340011""","Stafford Middle School","=""1345211""",0,11,66,15,24,33,147,7,0,38,2293,1235,3869
"Stafford School District","=""1340011""","Stafford Tutoring Program","=""1340211""",0,0,0,0,0,0,"*",0,0,"*",14,0,17
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","*",0,16,16,"*",36,73,0,0,39,1075,491,1759
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","*",12,22,"*",10,19,77,0,0,67,1060,539,1816
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",0,"*","*",601,265,102,341,0,0,10,41,24,1392
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""",0,0,56,234,0,0,85,0,0,"*","*",0,381
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""",0,"*","*",70,0,0,104,0,0,"*",65,0,243
"Stamford School District","=""1350011""","Apples PreK","=""1350111""",0,0,53,69,0,0,139,"*",0,"*",152,0,422
"Stamford School District","=""1350011""","Cloonan School","=""1355611""",0,"*",410,1028,370,509,1429,0,0,"*",1318,741,5836
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""",0,0,551,760,437,382,1239,"*",0,"*",1571,650,5659
"Stamford School District","=""1350011""","Dolan School","=""1355311""",0,0,262,724,472,652,1547,"*",0,"*",1193,687,5568
"Stamford School District","=""1350011""","Hart School","=""1352211""",0,"*",952,813,386,529,1598,0,0,"*",847,301,5501
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""",0,0,"*","*",0,0,22,0,0,0,23,0,66
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""",0,"*",410,694,473,713,1851,"*",0,53,1246,449,5897
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""",0,0,841,456,245,825,1818,"*",0,"*",742,406,5399
"Stamford School District","=""1350011""","New School at 200 Strawberry Hill Avenue","=""1350711""",0,0,57,23,0,0,72,0,0,13,64,0,229
"Stamford School District","=""1350011""","Newfield School","=""1350611""",0,0,678,831,272,441,1722,0,0,66,1514,996,6520
"Stamford School District","=""1350011""","Northeast School","=""1351811""","*","*",469,696,283,737,1670,0,0,59,2027,1135,7084
"Stamford School District","=""1350011""","Preschool Team","=""1358011""","*",0,26,53,18,76,173,"*","*","*",164,80,600
"Stamford School District","=""1350011""","Rippowam Middle School","=""1355811""",0,0,485,1103,518,651,1711,6,0,43,1675,936,7128
"Stamford School District","=""1350011""","Rogers International School","=""1350811""","*","*",384,640,299,701,2097,0,0,115,2444,619,7307
"Stamford School District","=""1350011""","Roxbury School","=""1350911""",0,0,438,1007,456,519,1766,0,0,38,1326,887,6437
"Stamford School District","=""1350011""","Scofield Middle School","=""1355711""","*","*",632,695,340,497,1574,0,0,44,1803,812,6405
"Stamford School District","=""1350011""","Springdale School","=""1351111""",8,7,332,567,237,668,2114,0,0,74,1548,683,6238
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",0,0,851,3547,1385,1334,4260,0,0,71,4386,2184,18018
"Stamford School District","=""1350011""","Stillmeadow School","=""1352111""",9,"*",561,621,319,664,2249,"*",0,136,1502,673,6743
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",0,0,577,866,382,434,1287,0,0,73,2104,835,6558
"Stamford School District","=""1350011""","Toquam Magnet School","=""1351911""","*","*",700,788,343,447,2240,7,0,49,1090,577,6247
"Stamford School District","=""1350011""","Turn of River School","=""1355511""","*",0,387,625,287,610,1637,"*",0,53,1475,738,5814
"Stamford School District","=""1350011""","Westhill High School","=""1356311""","*","*",1380,2857,1593,2214,5748,0,0,50,5489,2794,22134
"Stamford School District","=""1350011""","Westover School","=""1351411""",0,0,1030,1353,449,442,1516,0,0,123,1264,813,6990
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""",19,25,41,19,7,27,119,0,0,121,2977,1448,4803
"Stonington School District","=""1370011""","Community Classroom","=""1370811""",0,0,0,"*",0,0,0,0,0,0,"*",0,"*"
"Stonington School District","=""1370011""","Deans Mill School","=""1370511""","*","*",161,52,31,43,111,"*",0,58,2782,1406,4654
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""","*","*",144,42,24,29,67,0,0,47,2631,1145,4141
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""",28,6,102,42,68,17,108,0,0,23,1952,913,3259
"Stonington School District","=""1370011""","SAILS","=""1370711""",0,"*",0,0,0,0,0,0,0,0,"*",0,"*"
"Stonington School District","=""1370011""","Special Needs Preschool Program","=""1378011""",0,0,"*",0,"*","*","*",0,0,0,22,49,79
"Stonington School District","=""1370011""","Stonington BOE Pre-School","=""1370111""",0,0,9,0,0,0,"*","*",0,"*",71,0,84
"Stonington School District","=""1370011""","Stonington HS PreK","=""1370211""",0,"*",0,0,0,0,"*",0,0,"*",71,0,78
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",41,17,246,126,53,83,124,0,0,61,4752,2140,7643
"Stonington School District","=""1370011""","West Broad Street School","=""1370411""","*","*",35,16,15,12,61,0,0,21,873,487,1527
"Stonington School District","=""1370011""","West Vine Street School","=""1370611""",17,6,41,25,17,22,74,0,0,45,1240,624,2111
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""",8,"*",169,551,308,266,839,"*",0,68,2014,940,5166
"Stratford School District","=""1380011""","ABA Nichols","=""1382511""",0,0,"*","*",0,0,0,0,0,0,6,0,8
"Stratford School District","=""1380011""","ABA Second Hill Lane","=""1380611""",0,0,"*","*",0,0,0,0,0,0,6,0,12
"Stratford School District","=""1380011""","ABA Whitney","=""1382411""",0,0,0,"*",0,0,"*",0,0,0,"*",0,9
"Stratford School District","=""1380011""","ALPHA","=""1380511""",0,0,0,35,0,0,48,0,0,"*","*",0,118
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",19,24,312,1625,782,662,1948,6,0,168,3903,2379,11828
"Stratford School District","=""1380011""","Chapel School","=""1380311""",6,"*",196,902,378,207,987,"*",0,92,1671,940,5389
"Stratford School District","=""1380011""","DLC Whitney","=""1382311""",0,0,0,"*",0,0,0,0,0,0,"*",0,11
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""","*",8,159,854,453,326,966,"*",0,100,1724,876,5473
"Stratford School District","=""1380011""","Franklin STEPS K-2","=""1382111""",0,0,0,"*",0,0,"*",0,0,"*","*",0,14
"Stratford School District","=""1380011""","Franklin School","=""1380411""",13,0,85,498,288,287,831,0,0,75,605,479,3161
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""",12,6,162,904,376,390,1119,0,0,70,1818,969,5826
"Stratford School District","=""1380011""","High School STEPS 9-12","=""1382011""",0,0,0,10,0,0,"*",0,0,0,"*",0,18
"Stratford School District","=""1380011""","High School Sails","=""1380711""",0,0,0,"*",0,0,"*",0,0,"*",19,0,28
"Stratford School District","=""1380011""","Honeyspot School","=""1381611""","*",0,69,246,59,34,271,"*",0,56,508,133,1381
"Stratford School District","=""1380011""","IPP Class Room - Second Hill Lane","=""1382711""",0,"*",0,"*",0,0,"*",0,0,0,"*",0,6
"Stratford School District","=""1380011""","IPP Classroom - Johnson","=""1381111""",0,0,0,"*",0,0,8,0,0,"*",6,0,19
"Stratford School District","=""1380011""","Intensive Need Classroom","=""1381711""",0,0,0,"*",0,0,"*",0,0,0,"*",0,"*"
"Stratford School District","=""1380011""","Johnson House STEPS 3-6","=""1381211""",0,0,0,15,0,0,"*",0,0,0,"*",0,27
"Stratford School District","=""1380011""","Lordship School","=""1380811""",7,0,41,436,168,129,486,0,0,58,685,342,2352
"Stratford School District","=""1380011""","Middle School STEPS 7-8","=""1381911""",0,0,0,"*",0,0,"*",0,0,0,"*",0,10
"Stratford School District","=""1380011""","Middle School Sails","=""1381811""",0,0,0,"*",0,0,"*",0,0,"*","*",0,16
"Stratford School District","=""1380011""","Nichols School","=""1380911""","*","*",152,581,249,329,1010,0,0,74,1216,641,4268
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""",24,21,276,898,344,510,1401,0,0,143,2078,1135,6830
"Stratford School District","=""1380011""","Secondary STEPS Program","=""1389111""",0,0,0,32,0,0,8,0,0,0,7,0,47
"Stratford School District","=""1380011""","Steps K-2 Nichols","=""1382611""",0,0,0,"*",0,0,0,0,0,0,"*",0,7
"Stratford School District","=""1380011""","Straford Academy - Victoria Soto School","=""1382211""",0,0,"*",132,0,0,156,"*",0,24,218,0,553
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""","*",0,186,723,491,231,688,"*",0,107,1447,1086,4963
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",8,13,245,1814,889,567,1913,0,0,145,3043,1382,10019
"Stratford School District","=""1380011""","Strive-Stratford","=""1389011""",0,"*","*",41,"*","*",23,0,0,"*",48,25,153
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""",0,0,150,399,230,269,601,0,0,89,1395,659,3792
"Suffield School District","=""1390011""","A. Ward Spaulding School","=""1390411""","*","*",124,144,29,38,182,0,0,62,2868,1507,4960
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""","*","*",143,134,33,46,184,0,0,26,3137,1576,5285
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",0,"*",175,188,67,56,248,"*",0,34,5256,2377,8408
"Suffield School District","=""1390011""","Suffield Middle School","=""1395111""","*","*",163,130,41,47,177,0,0,26,3580,1753,5928
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",0,10,22,1064,537,233,715,16,0,90,21,12,2720
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""","*","*",260,86,36,106,410,0,0,134,2691,1033,4765
"Thomaston School District","=""1400011""","Black Rock School","=""1400111""","*",0,24,14,8,"*",41,7,0,38,1951,1093,3185
"Thomaston School District","=""1400011""","Thomaston Center School","=""1400211""",0,"*",28,19,"*",11,44,0,0,28,1543,815,2495
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",0,7,42,28,10,30,86,0,0,30,2899,1647,4779
"Thompson School District","=""1410011""","District Autism Program","=""1410211""",0,0,0,0,0,0,0,0,0,0,"*",0,"*"
"Thompson School District","=""1410011""","Mary R. Fisher Elementary School","=""1410111""",25,8,35,10,31,53,144,0,0,101,2777,1486,4670
"Thompson School District","=""1410011""","Thompson Middle School","=""1415111""",28,9,25,20,18,34,91,0,0,73,2367,1304,3969
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""","*",11,"*",10,12,27,68,0,0,43,1918,1120,3220
"Tolland School District","=""1420011""","Birch Grove Primary School","=""1420111""","*","*",223,78,44,49,122,"*",0,27,3627,2009,6189
"Tolland School District","=""1420011""","TALC","=""1420311""",0,0,0,0,0,0,"*",0,0,"*",30,0,33
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",8,13,267,99,43,40,99,"*",0,"*",5657,2533,8762
"Tolland School District","=""1420011""","Tolland Intermediate School","=""1420211""",11,11,223,70,53,31,151,"*",0,"*",3940,1837,6336
"Tolland School District","=""1420011""","Tolland Middle School","=""1425111""","*",18,261,65,51,28,142,"*","*",6,4411,2364,7353
"Torrington School District","=""1430011""","East School","=""1430111""","*",14,149,75,61,77,177,"*",0,66,2252,1239,4119
"Torrington School District","=""1430011""","ABC / Forbes School","=""1431511""",0,0,0,"*",0,0,0,0,0,0,"*",0,6
"Torrington School District","=""1430011""","ABC / Torringford","=""1432411""",0,0,0,0,0,0,"*",0,0,0,"*",0,"*"
"Torrington School District","=""1430011""","East TPS - PreK - Reg Ed","=""1432211""",0,0,"*","*",0,0,46,0,0,"*",35,0,90
"Torrington School District","=""1430011""","Forbes School","=""1430211""","*",0,112,"*",84,256,871,0,0,147,1513,782,3835
"Torrington School District","=""1430011""","Hilltop Outreach","=""1432311""",0,0,0,0,0,0,"*","*",0,0,9,0,11
"Torrington School District","=""1430011""","Migeon Academy","=""1431411""",0,0,0,0,0,0,"*",0,0,"*",16,0,20
"Torrington School District","=""1430011""","Pre-K SpEd","=""1431611""",0,"*",0,"*",0,0,16,0,0,"*",37,0,56
"Torrington School District","=""1430011""","PreK","=""1432211""",0,0,"*","*",0,0,46,0,0,"*",35,0,90
"Torrington School District","=""1430011""","Southwest School","=""1430811""","*",0,99,103,"*",140,515,0,0,87,1488,713,3192
"Torrington School District","=""1430011""","Torringford / ABC","=""1432411""",0,0,0,0,0,0,"*",0,0,0,"*",0,"*"
"Torrington School District","=""1430011""","Torringford Community Outreach","=""1432311""",0,0,0,0,0,0,"*","*",0,0,9,0,11
"Torrington School District","=""1430011""","Torringford School","=""1430911""",0,"*",292,120,105,153,586,"*",0,117,3312,1675,6380
"Torrington School District","=""1430011""","Torrington Expulsion Program","=""1431411""",0,0,0,0,0,0,"*",0,0,"*",16,0,20
"Torrington School District","=""1430011""","Torrington High School","=""1436111""","*",21,399,404,249,453,1361,"*",0,179,4970,2879,10932
"Torrington School District","=""1430011""","Torrington Middle School","=""1435111""",13,24,339,325,206,461,1371,14,0,203,5247,2622,10825
"Torrington School District","=""1430011""","Vogel-Wetmore School","=""1431311""","*","*",108,164,130,365,1179,9,0,144,1659,837,4600
"Torrington School District","=""1430011""","Vogel-Wetmore/Outreach PreK","=""1431911""",0,0,0,0,0,0,"*",0,0,0,"*",0,7
"Trailblazers Academy District","=""2780013""","Trailblazers Academy","=""2785113""",0,0,"*",543,296,153,442,0,0,"*",34,16,1500
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""","*",31,315,118,63,50,292,"*",0,19,2794,1345,5045
"Trumbull School District","=""1440011""","Daniels Farm School","=""1440811""","*","*",369,110,25,51,176,0,0,34,2685,1368,4823
"Trumbull School District","=""1440011""","Educating Learners in Transitional Environments (ELITE)","=""1440611""",0,0,"*",0,0,0,"*",0,0,0,7,0,9
"Trumbull School District","=""1440011""","Frenchtown Elementary School","=""1441011""","*","*",645,286,79,167,470,0,0,17,3039,1417,6128
"Trumbull School District","=""1440011""","Hillcrest Middle School","=""1445211""","*",25,482,217,84,103,359,0,0,"*",4365,1911,7557
"Trumbull School District","=""1440011""","Jane Ryan School","=""1440411""",0,"*",204,74,28,67,207,0,0,"*",2340,1101,4033
"Trumbull School District","=""1440011""","Madison Middle School","=""1445111""","*",8,601,240,124,159,461,"*",0,9,4607,2196,8409
"Trumbull School District","=""1440011""","Middlebrook School","=""1440311""","*","*",335,208,79,138,392,9,0,25,2443,1118,4759
"Trumbull School District","=""1440011""","REACH","=""1440511""",0,0,0,"*",0,0,"*",0,0,0,22,0,26
"Trumbull School District","=""1440011""","Tashua School","=""1440911""","*","*",387,74,27,48,158,0,0,17,2202,1183,4099
"Trumbull School District","=""1440011""","Trumbull Alternative School","=""1440211""",0,0,"*","*",0,0,"*",0,0,0,9,0,15
"Trumbull School District","=""1440011""","Trumbull Early Childhood Education Center","=""1448011""",0,0,199,82,31,86,192,"*",0,"*",1141,497,2246
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""","*","*",1187,744,334,373,1213,0,0,18,12105,5388,21377
"Unified School District #1","=""3360015""","Bergin Correctional Institution","=""3361715""",0,0,0,8,57,38,"*",0,0,0,"*",14,128
"Unified School District #1","=""3360015""","Bridgeport Correctional Center","=""3360115""",0,0,0,46,31,17,24,0,0,"*",10,"*",139
"Unified School District #1","=""3360015""","Brooklyn Correctional Institution","=""3360215""",0,0,0,"*",8,16,8,0,0,0,0,"*",41
"Unified School District #1","=""3360015""","Cheshire Correctional Institution","=""3360315""",0,0,"*",93,57,21,47,0,0,"*",7,7,234
"Unified School District #1","=""3360015""","Corrigan/Radgowski Correctional Institution","=""3362415""","*",0,0,90,72,52,60,0,0,"*",25,37,339
"Unified School District #1","=""3360015""","Enfield Correctional Institution","=""3360415""",0,0,0,35,38,17,14,0,0,"*",8,"*",118
"Unified School District #1","=""3360015""","Garner Correctional Institution","=""3361915""",0,0,"*",67,28,26,42,0,0,"*",9,9,184
"Unified School District #1","=""3360015""","Gates Correctional Institution","=""3360515""",0,0,"*","*",50,26,7,0,0,0,"*",8,96
"Unified School District #1","=""3360015""","Hartford Correctional Center","=""3360615""",0,0,0,70,94,81,81,0,0,"*","*",26,374
"Unified School District #1","=""3360015""","MacDougall/Walker Correctional Institution","=""3362215""",0,0,"*",137,131,71,46,0,0,"*",16,22,429
"Unified School District #1","=""3360015""","Manson Youth Institution","=""3361115""","*","*",6,1265,818,486,753,0,0,29,259,204,3823
"Unified School District #1","=""3360015""","New Haven Correctional Center","=""3360915""",0,0,0,40,29,25,26,0,0,"*","*",9,136
"Unified School District #1","=""3360015""","Northern Correctional Institution","=""3362615""",0,0,0,61,29,21,30,0,0,"*","*",10,159
"Unified School District #1","=""3360015""","Osborn Correctional Institution","=""3361215""",0,0,0,34,42,39,31,0,0,"*","*",23,189
"Unified School District #1","=""3360015""","Robinson Correctional Institution","=""3361315""","*",0,0,45,55,39,30,0,0,"*",11,6,189
"Unified School District #1","=""3360015""","Webster Correctional Institution","=""3361415""",0,0,"*",0,20,13,0,0,0,0,0,"*",35
"Unified School District #1","=""3360015""","Willard/Cybulski Correctional Institution","=""3361515""",0,0,"*",33,24,33,21,0,0,0,"*",15,137
"Unified School District #1","=""3360015""","York Correctional Institution","=""3362515""",0,0,"*",77,66,59,"*",0,0,0,62,52,356
"Unified School District #2","=""3470015""","Children''s Place School","=""3470115""",0,"*","*",43,48,33,53,"*",0,8,66,33,290
"Unified School District #2","=""3470015""","Children's Place School","=""3470115""",0,"*","*",43,48,33,53,"*",0,8,66,33,290
"Unified School District #2","=""3470015""","High Meadows","=""3476515""",0,0,0,0,19,28,0,0,0,0,0,20,67
"Unified School District #2","=""3470015""","Riverview School","=""3470315""",0,"*",12,101,60,54,127,0,0,"*",165,71,601
"Unified School District #2","=""3470015""","Virtual Academy","=""3470215""",0,0,0,"*",0,0,"*",0,0,0,0,0,"*"
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""",0,"*","*",334,139,81,213,"*",0,10,68,52,902
"Union School District","=""1450011""","Union Elementary School","=""1450111""",0,0,"*",9,8,"*",8,0,0,0,512,219,759
"Vernon School District","=""1460011""","Northeast School","=""1460311""",12,"*",144,197,85,132,380,"*",0,146,1337,610,3048
"Vernon School District","=""1460011""","Center Road School","=""1461411""",6,12,304,326,118,96,364,0,0,104,2425,1126,4881
"Vernon School District","=""1460011""","Lake Street School","=""1460111""","*","*",88,145,80,46,134,0,0,54,1442,663,2668
"Vernon School District","=""1460011""","Loveland Hill School","=""1460511""",0,0,0,"*",0,0,7,0,0,"*",14,0,28
"Vernon School District","=""1460011""","Maple Street School","=""1460211""",6,0,89,459,203,208,530,0,0,109,999,476,3079
"Vernon School District","=""1460011""","Next Step Program (AACBP)","=""1469011""",0,0,"*",15,"*","*",11,0,0,0,53,13,103
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",17,14,568,828,370,250,701,0,0,31,4604,2654,10037
"Vernon School District","=""1460011""","Skinner Road School","=""1461011""","*","*",349,272,155,111,323,0,0,94,1396,634,3345
"Vernon School District","=""1460011""","VPS PreK Collaborative - YMCA","=""1460711""",0,0,0,0,0,0,"*",0,0,"*","*",0,8
"Vernon School District","=""1460011""","Vernon Center Middle School","=""1465111""","*","*",377,662,287,219,635,0,0,74,3307,1752,7328
"Voluntown School District","=""1470011""","Voluntown Elementary School","=""1470111""",33,18,38,43,19,38,70,6,0,98,1883,806,3052
"Wallingford School District","=""1480011""","Highland School","=""1480211""","*",10,196,30,25,32,224,"*",0,24,1712,859,3116
"Wallingford School District","=""1480011""","A.R.T.S. Academy","=""1489011""",0,0,"*","*",0,"*",12,0,0,0,82,47,147
"Wallingford School District","=""1480011""","Cook Hill School","=""1481011""","*","*",183,69,43,59,538,6,0,28,1799,1056,3787
"Wallingford School District","=""1480011""","Dag  Hammarskjold Middle School","=""1485211""","*",13,300,118,57,240,798,0,0,"*",3802,1781,7121
"Wallingford School District","=""1480011""","Dag Hammarskjold Middle School","=""1485211""","*",13,300,118,57,240,798,0,0,"*",3802,1781,7121
"Wallingford School District","=""1480011""","Education Enhancement Program","=""1480511""",0,"*",0,0,0,0,"*",0,0,0,42,0,55
"Wallingford School District","=""1480011""","Evarts C. Stevens School","=""1480911""","*","*",188,55,44,193,469,0,"*",26,1828,950,3763
"Wallingford School District","=""1480011""","Harvest Park","=""1489211""",0,0,"*",0,0,0,"*",0,0,0,42,0,47
"Wallingford School District","=""1480011""","James H. Moran Middle School","=""1485311""","*","*",398,131,77,216,623,0,0,24,3952,2124,7551
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""","*",12,391,222,94,333,1083,"*",0,20,6057,2984,11208
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",6,12,468,160,73,159,625,0,0,7,5055,2589,9154
"Wallingford School District","=""1480011""","Moses Y. Beach School","=""1480111""",0,"*",145,18,18,271,451,"*",0,16,1780,723,3430
"Wallingford School District","=""1480011""","Multi-Vocational Life Skills Program","=""1489111""",0,0,"*",0,0,0,"*",0,0,0,55,0,67
