"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"Trend"

"",,,,"Free/Reduced Lunch Eligibility",,,
"New Haven School District","=""0930011""","Worthington Hooker School","=""0933811""",1153,2939,163,4255
"New London School District","=""0950011""","Jennings School","=""0950311""",4219,894,187,5300
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""",4693,778,337,5808
"New London School District","=""0950011""","Dual Language Arts Academy/Academia Bilingue de las Artes","=""0955211""",55,16,10,81
"New London School District","=""0950011""","Early Childhood Center at Harbor","=""0950611""",307,146,10,463
"New London School District","=""0950011""","Harbor","=""0950611""",307,146,10,463
"New London School District","=""0950011""","Harbor School","=""0950211""",1151,369,99,1619
"New London School District","=""0950011""","Natha Hale Magnet Elementary School for the Performing &amp; Visual Arts","=""0950911""",2875,958,176,4009
"New London School District","=""0950011""","Nathan Hale Arts Magnet School","=""0950911""",2875,958,176,4009
"New London School District","=""0950011""","New London Clinical Day Program","=""0959111""",103,"*","*",131
"New London School District","=""0950011""","New London High School","=""0956111""",6225,2014,530,8769
"New London School District","=""0950011""","New London Visual and Performing Arts Magnet School","=""0951411""",82,"*","*",105
"New London School District","=""0950011""","Pre-Kindergarten at Winthrop","=""0950711""","*","*","*","*"
"New London School District","=""0950011""","Science and Technology Magnet School of Southeastern Connecticut","=""0951311""",416,128,15,559
"New London School District","=""0950011""","Shoreline Academy","=""0950511""",218,70,14,302
"New London School District","=""0950011""","Winthrop STEM Elementary Magnet School","=""0950811""",2890,989,170,4049
"New Milford School District","=""0960011""","Hill And Plain School","=""0960511""",676,3679,222,4577
"New Milford School District","=""0960011""","John Pettibone School","=""0960511""",570,3266,192,4028
"New Milford School District","=""0960011""","John Pettibone School","=""0960711""",570,3266,192,4028
"New Milford School District","=""0960011""","Litchfield Hills Transition Center","=""0969011""","*",80,"*",90
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",1438,12657,640,14735
"New Milford School District","=""0960011""","Northville Elementary School","=""0960811""",456,4353,128,4937
"New Milford School District","=""0960011""","Sarah Noble Intermediate School","=""0960911""",1342,8388,599,10329
"New Milford School District","=""0960011""","Schaghticoke Middle School","=""0965211""",1011,6436,456,7903
"Newington School District","=""0940011""","Anna Reynolds School","=""0940611""",707,3663,236,4606
"Newington School District","=""0940011""","Elizabeth Green School","=""0940211""",505,2300,196,3001
"Newington School District","=""0940011""","John Paterson School","=""0940811""",504,3662,234,4400
"Newington School District","=""0940011""","John Wallace Middle School","=""0945311""",774,5882,419,7075
"Newington School District","=""0940011""","Martin Kellogg Middle School","=""0945111""",1074,4701,422,6197
"Newington School District","=""0940011""","Newington High School","=""0946111""",1739,11445,837,14021
"Newington School District","=""0940011""","Ruth Chaffee School","=""0940711""",447,3080,215,3742
"Newtown School District","=""0970011""","Hawley Elementary School","=""0970111""",139,3529,24,3692
"Newtown School District","=""0970011""","Head O'Meadow Elementary School","=""0970411""",99,3331,55,3485
"Newtown School District","=""0970011""","Middle Gate Elementary School","=""0970311""",210,4224,57,4491
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",705,16204,290,17199
"Newtown School District","=""0970011""","Newtown Middle School","=""0975111""",403,8075,187,8665
"Newtown School District","=""0970011""","Newtown Preschool","=""0978011""",0,665,0,665
"Newtown School District","=""0970011""","Newtown Preschool at RIS","=""0978111""",0,30,0,30
"Newtown School District","=""0970011""","Reed Intermediate School","=""0970511""",362,7591,166,8119
"Newtown School District","=""0970011""","STARR","=""0979011""",0,17,0,17
"Newtown School District","=""0970011""","Sandy Hook Elementary School","=""0970211""",209,4635,50,4894
"Norfolk School District","=""0980011""","Botelle Elementary School","=""0980111""",123,1081,63,1267
"Norfolk School District","=""0980011""","Bridges II","=""0989211""","*","*",0,24
"Norfolk School District","=""0980011""","IEP Program","=""0989011""","*","*",0,12
"North Branford School District","=""0990011""","Jerome Harrison School","=""0990411""",372,3506,145,4023
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",680,5483,312,6475
"North Branford School District","=""0990011""","North Branford Intermediate School","=""0995111""",573,4622,293,5488
"North Branford School District","=""0990011""","School to Work Program","=""0999011""","*",11,"*",17
"North Branford School District","=""0990011""","Stanley T. Williams School","=""0990511""",42,710,17,769
"North Branford School District","=""0990011""","Totoket Valley Elementary School","=""0990611""",450,4015,171,4636
"North Canaan School District","=""1000011""","North Canaan Elementary School","=""1000111""",514,2422,143,3079
"North Haven School District","=""1010011""","Clintonville Elementary School","=""1010811""",331,3099,154,3584
"North Haven School District","=""1010011""","Green Acres Elementary School","=""1010711""",264,3551,102,3917
"North Haven School District","=""1010011""","Montowese Elementary School","=""1010211""",291,3221,172,3684
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",887,10090,389,11366
"North Haven School District","=""1010011""","North Haven Middle School","=""1015211""",578,7308,310,8196
"North Haven School District","=""1010011""","North Haven Transition Partnership","=""1010111""","*","*",0,20
"North Haven School District","=""1010011""","Ridge Road Elementary School","=""1010311""",246,3798,118,4162
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""",470,3142,161,3773
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",251,1964,88,2303
"North Stonington School District","=""1020011""","Wheeler Middle School","=""1025111""",230,1287,87,1604
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",5370,9958,1317,16645
"Norwalk School District","=""1030011""","Brookside Elementary School","=""1030211""",2136,2246,504,4886
"Norwalk School District","=""1030011""","Center for Global Studies","=""1030511""",62,218,10,290
"Norwalk School District","=""1030011""","Columbus Magnet School","=""1030311""",836,2358,158,3352
"Norwalk School District","=""1030011""","Cranbury Elementary School","=""1030411""",1297,3229,272,4798
"Norwalk School District","=""1030011""","Fox Run Elementary School","=""1032011""",1335,2985,236,4556
"Norwalk School District","=""1030011""","Jefferson Magnet School","=""1030711""",2708,2326,615,5649
"Norwalk School District","=""1030011""","Kendall Elementary School","=""1030811""",2788,1783,655,5226
"Norwalk School District","=""1030011""","Marvin Elementary School","=""1032211""",1777,2560,437,4774
"Norwalk School District","=""1030011""","Naramake Elementary School","=""1032111""",1136,2941,331,4408
"Norwalk School District","=""1030011""","Nathan Hale Middle School","=""1035211""",1908,3689,418,6015
"Norwalk School District","=""1030011""","Norwalk Early Childhood Center","=""1030111""",28,137,6,171
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",4330,10216,896,15442
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",450,277,37,764
"Norwalk School District","=""1030011""","Ponus Ridge Middle School","=""1035311""",2734,3164,637,6535
"Norwalk School District","=""1030011""","Roton Middle School","=""1035511""",1609,2398,373,4380
"Norwalk School District","=""1030011""","Rowayton School","=""1031311""",1077,3248,162,4487
"Norwalk School District","=""1030011""","Silvermine Elementary School","=""1032311""",2025,1825,404,4254
"Norwalk School District","=""1030011""","Tracey School","=""1031411""",1845,1751,383,3979
"Norwalk School District","=""1030011""","West Rocks Middle School","=""1035411""",2474,3624,596,6694
"Norwalk School District","=""1030011""","Wolfpit School","=""1032411""",1135,1850,199,3184
"Norwich Free Academy District","=""9010022""","Alternative Pathways to Success","=""9010322""",13,"*","*",19
"Norwich Free Academy District","=""9010022""","LEAD (Life Skills, Education and Adult Development)","=""9010122""","*","*","*",12
"Norwich Free Academy District","=""9010022""","Night School","=""9010222""","*","*",0,19
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",5474,16855,1200,23529
"Norwich School District","=""1040011""","Transition Academy","=""1041011""",0,18,0,18
"Norwich School District","=""1040011""","Virtual Learning Academy","=""1049211""",26,29,0,55
"Norwich School District","=""1040011""","ABA Autism Program","=""1040411""",23,"*","*",36
"Norwich School District","=""1040011""","ABA Program @ Kelly","=""1041111""","*","*",0,6
"Norwich School District","=""1040011""","Bishop School Early Learning Center","=""1040111""",862,388,188,1438
"Norwich School District","=""1040011""","Case Street Early Learning Center at DTZ","=""1040211""",122,34,21,177
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","=""1049111""",205,63,19,287
"Norwich School District","=""1040011""","Greeneville School","=""1040611""",709,164,123,996
"Norwich School District","=""1040011""","Hickory Street School","=""1049011""",99,19,15,133
"Norwich School District","=""1040011""","IRS Program at Moriarty","=""1040911""","*",0,"*",6
"Norwich School District","=""1040011""","IRS Program at Uncas","=""1040711""","*","*",0,"*"
"Norwich School District","=""1040011""","John B. Stanton Network School","=""1041411""",2359,936,396,3691
"Norwich School District","=""1040011""","Kelly Middle School","=""1045111""",3925,2153,702,6780
"Norwich School District","=""1040011""","Moriarty Magnet School","=""1042011""",2381,1429,348,4158
"Norwich School District","=""1040011""","Samuel Huntington School","=""1040811""",1687,1929,367,3983
"Norwich School District","=""1040011""","Special Needs Program","=""1040511""",22,7,7,36
"Norwich School District","=""1040011""","Teachers' Memorial Middle School","=""1045211""",2696,1385,562,4643
"Norwich School District","=""1040011""","Thames River Academy","=""1046111""",250,136,32,418
"Norwich School District","=""1040011""","Thomas W. Mahan School","=""1041711""",1475,1125,366,2966
"Norwich School District","=""1040011""","Uncas Network School","=""1041911""",1793,444,212,2449
"Norwich School District","=""1040011""","Veterans' Memorial School","=""1041811""",2035,580,365,2980
"Norwich School District","=""1040011""","Wequonnoc Magnet School","=""1041511""",1751,508,250,2509
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""",697,1799,167,2663
"Old Saybrook School District","=""1060011""","Kathleen E. Goodwin School","=""1060211""",590,3484,197,4271
"Old Saybrook School District","=""1060011""","Old Saybrook Middle School","=""1065211""",597,4850,240,5687
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",404,4443,141,4988
"Orange School District","=""1070011""","Mary L. Tracy School","=""1070211""","*",1727,"*",1749
"Orange School District","=""1070011""","Peck Place School","=""1070511""",99,3699,82,3880
"Orange School District","=""1070011""","Race Brook School","=""1070311""",159,3646,34,3839
"Orange School District","=""1070011""","Turkey Hill School","=""1070411""",70,2913,43,3026
"Oxford School District","=""1080011""","Alternative Education","=""1080411""",13,"*","*",26
"Oxford School District","=""1080011""","Great Oak School","=""1085111""",321,4634,139,5094
"Oxford School District","=""1080011""","Oxford Center School","=""1080111""",254,4636,119,5009
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",311,4989,117,5417
"Oxford School District","=""1080011""","Quaker Farms School","=""1080311""",249,4500,65,4814
"Park City Prep Charter School District","=""2830013""","Park City Prep Charter School","=""2835113""",1500,941,329,2770
"Path Academy District","=""2930013""","Path Academy","=""2930113""",376,49,7,432
"Plainfield School District","=""1090011""","Early Childhood Center","=""1090511""",114,346,12,471
"Plainfield School District","=""1090011""","Early Childhood Center","=""1098011""",114,346,12,471
"Plainfield School District","=""1090011""","Moosup Elementary School","=""1090111""",1150,1887,264,3301
"Plainfield School District","=""1090011""","Plainfield Central School","=""1095111""",1845,3211,614,5670
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",1821,5134,723,7678
"Plainfield School District","=""1090011""","Plainfield Memorial School","=""1090311""",1360,2036,386,3782
"Plainfield School District","=""1090011""","Shepard Hill Elementary School","=""1090411""",1524,2080,267,3871
"Plainville School District","=""1100011""","Frank T. Wheeler School","=""1100411""",560,2172,190,2922
"Plainville School District","=""1100011""","Linden Street School","=""1100211""",1125,2719,299,4143
"Plainville School District","=""1100011""","Louis Toffolon School","=""1100511""",635,2774,180,3589
"Plainville School District","=""1100011""","Middle School of Plainville","=""1105211""",1222,3974,402,5598
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",1360,5913,502,7775
"Plainville School District","=""1100011""","Prekindergarten Program","=""1108011""","*",285,"*",302
"Plymouth School District","=""1110011""","Eli Terry Jr. Middle School","=""1115111""",800,3047,268,4115
"Plymouth School District","=""1110011""","Harry S. Fisher Elementary School","=""1110411""",797,2257,215,3269
"Plymouth School District","=""1110011""","Main Street School","=""1110111""",29,136,16,181
"Plymouth School District","=""1110011""","Plymouth Alternative High School","=""1117111""",14,20,0,34
"Plymouth School District","=""1110011""","Plymouth Center School","=""1110211""",578,3034,167,3779
"Plymouth School District","=""1110011""","Prospect Street School","=""1110311""",33,129,11,173
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",890,3862,305,5057
"Pomfret School District","=""1120011""","Pomfret Community School","=""1120111""",465,4073,137,4675
"Portland School District","=""1130011""","Brownstone Intermediate School","=""1130511""",299,1928,68,2295
"Portland School District","=""1130011""","Gildersleeve School","=""1130411""",314,1910,62,2286
"Portland School District","=""1130011""","Portland High School","=""1136111""",461,3146,95,3702
"Portland School District","=""1130011""","Portland Middle School","=""1135111""",290,1947,74,2311
"Portland School District","=""1130011""","Valley View School","=""1130211""",495,2697,41,3233
"Preston School District","=""1140011""","Preston Plains School","=""1145111""",162,1245,101,1508
"Preston School District","=""1140011""","Preston Veterans' Memorial School","=""1140411""",376,2354,121,2851
"Putnam School District","=""1160011""","Helping Hands","=""1169011""",28,"*","*",42
"Putnam School District","=""1160011""","PALS - Putnam Alternative Learning System","=""1160111""","*","*",0,14
"Putnam School District","=""1160011""","Putnam Elementary School","=""1160311""",3289,2634,608,6531
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",1211,1529,319,3059
"Putnam School District","=""1160011""","Putnam Middle School","=""1165111""",1229,1239,326,2794
"Redding School District","=""1170011""","John Read Middle School","=""1175111""",107,5277,41,5425
"Redding School District","=""1170011""","Redding Elementary School","=""1170111""",110,5848,23,5981
"Regional School District 01","=""2010012""","LEAPSS","=""2010412""","*","*","*",7
"Regional School District 01","=""2010012""","ALPSS","=""2010512""",0,"*","*","*"
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",552,3853,282,4687
"Regional School District 01","=""2010012""","SELC","=""2010312""","*","*","*",6
"Regional School District 01","=""2010012""","TOTAL","=""2010212""","*","*",0,7
"Regional School District 04","=""2040012""","John Winthrop Middle School","=""2045112""",249,3088,92,3429
"Regional School District 04","=""2040012""","Region 4 Transition Academy","=""2040112""","*","*",0,11
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",386,5604,175,6165
"Regional School District 05","=""2050012""","Amity Middle School: Bethany","=""2055112""",116,3751,35,3902
"Regional School District 05","=""2050012""","Amity Middle School: Orange","=""2055212""",95,3870,37,4002
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",420,15329,153,15902
"Regional School District 06","=""2060012""","Early Childhood Learning Center","=""2068112""","*",200,"*",213
"Regional School District 06","=""2060012""","Goshen Center School","=""2060112""",153,1715,65,1933
"Regional School District 06","=""2060012""","James Morris School","=""2060212""",162,1483,45,1690
"Regional School District 06","=""2060012""","Stepping Stones Preschool Program","=""2068012""",0,"*","*",38
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",452,4906,215,5573
"Regional School District 06","=""2060012""","Warren Elementary School","=""2060312""",47,774,39,860
"Regional School District 07","=""2070012""","AIM","=""2079112""",46,56,9,111
"Regional School District 07","=""2070012""","FLEX","=""2079012""","*",47,"*",65
"Regional School District 07","=""2070012""","Highlander Transition Academy","=""2070112""","*","*",0,19
"Regional School District 07","=""2070012""","Intensive Learning Program","=""2079412""",15,18,6,39
"Regional School District 07","=""2070012""","LINKS","=""2079212""","*",136,"*",167
"Regional School District 07","=""2070012""","Links","=""2079212""","*",136,"*",167
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",354,6795,133,7282
"Regional School District 07","=""2070012""","Northwestern Regional Middle School","=""2075112""",181,3173,89,3443
"Regional School District 07","=""2070012""","STEP","=""2079312""","*",170,"*",193
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",470,10189,253,10912
"Regional School District 08","=""2080012""","RHAM Middle School","=""2085112""",244,5651,142,6037
"Regional School District 08","=""2080012""","Region Alternative High School","=""2086212""",0,17,0,17
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",201,9659,77,9937
"Regional School District 10","=""2100012""","Har-Bur Middle School","=""2105112""",372,8046,127,8545
"Regional School District 10","=""2100012""","Harwinton Consolidated School","=""2100312""",165,4309,60,4534
"Regional School District 10","=""2100012""","Lake Garda Elementary School","=""2100212""",190,5050,54,5294
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",343,7557,79,7979
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",512,2101,171,2784
"Regional School District 12","=""2120012""","Booth Free School","=""2120212""",23,979,0,1002
"Regional School District 12","=""2120012""","Early Childhood Education Center","=""2128012""",0,128,0,128
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",90,1876,49,2015
"Regional School District 12","=""2120012""","Shepaug Valley Middle School","=""2125112""",63,1277,22,1362
"Regional School District 12","=""2120012""","Shepaug Valley School","=""2120312""",137,1624,40,1801
"Regional School District 12","=""2120012""","The Burnham School","=""2120112""",12,730,0,742
"Regional School District 12","=""2120012""","Washington Primary School","=""2120412""","*",1476,"*",1622
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",198,5390,108,5696
"Regional School District 13","=""2130012""","Francis E. Korn School","=""2130212""",90,1475,36,1601
"Regional School District 13","=""2130012""","Frank Ward Strong School","=""2135112""",146,3171,68,3385
"Regional School District 13","=""2130012""","Frederick Brewster School","=""2130112""",132,2395,31,2558
"Regional School District 13","=""2130012""","John Lyman School","=""2130512""",91,2749,56,2896
"Regional School District 13","=""2130012""","Middlefield Memorial School","=""2130412""",151,3076,76,3303
"Regional School District 13","=""2130012""","Middlesex Transition Academy","=""2130312""","*","*",0,70
"Regional School District 14","=""2140012""","Bethlehem Elementary School","=""2140112""",213,2815,86,3114
"Regional School District 14","=""2140012""","Integrated Star Preschool Program","=""2148012""","*","*",0,377
"Regional School District 14","=""2140012""","Mitchell Elementary School","=""2140212""",304,3491,110,3905
"Regional School District 14","=""2140012""","Nonnewaug Chiefs Alternative Program","=""2140312""","*","*",0,"*"
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",477,7412,163,8052
"Regional School District 14","=""2140012""","Region 14 Transition Academy","=""2140412""",0,6,0,6
"Regional School District 14","=""2140012""","Woodbury Middle School","=""2145112""",310,3770,99,4179
"Regional School District 15","=""2150012""","Gainfield Elementary School","=""2150412""",175,3797,62,4034
"Regional School District 15","=""2150012""","Long Meadow Elementary School","=""2150712""",125,5541,36,5702
"Regional School District 15","=""2150012""","MIJ Program","=""2150112""","*",23,"*",31
"Regional School District 15","=""2150012""","Memorial Middle School","=""2155212""",178,4645,78,4901
"Regional School District 15","=""2150012""","Middlebury Elementary School","=""2150612""",188,3797,71,4056
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",394,12528,105,13027
"Regional School District 15","=""2150012""","Pomperaug School","=""2150512""",109,4408,34,4551
"Regional School District 15","=""2150012""","Rochambeau Middle School","=""2155112""",169,5145,60,5374
"Regional School District 16","=""2160012""","Algonquin School","=""2160312""",293,3309,106,3708
"Regional School District 16","=""2160012""","Community School","=""2160212""",129,1595,73,1797
"Regional School District 16","=""2160012""","Laurel Ledge School","=""2160112""",389,3863,170,4422
"Regional School District 16","=""2160012""","Long River Middle School","=""2165112""",479,5087,285,5851
"Regional School District 16","=""2160012""","Prospect Elementary School","=""2160512""",109,1069,41,1219
"Regional School District 16","=""2160012""","WRHS Alternative Education Program","=""2160412""",11,18,6,35
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",644,6422,324,7390
"Regional School District 17","=""2170012""","Burr District Elementary School","=""2170212""",160,2716,82,2958
"Regional School District 17","=""2170012""","Haddam Elementary School","=""2170112""",152,2265,53,2470
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",333,6138,116,6587
"Regional School District 17","=""2170012""","Haddam-Killingworth Middle School","=""2175112""",387,7237,200,7824
"Regional School District 17","=""2170012""","Killingworth Elementary School","=""2170312""",139,3436,19,3594
"Regional School District 17","=""2170012""","RSD17 Transition Program","=""2170412""",0,"*",0,"*"
"Regional School District 18","=""2180012""","Center School","=""2180312""",111,1773,18,1902
"Regional School District 18","=""2180012""","Alternative Program","=""2180412""","*","*",0,8
"Regional School District 18","=""2180012""","Lyme Consolidated School","=""2180112""",146,1589,34,1769
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",194,4202,55,4451
"Regional School District 18","=""2180012""","Lyme-Old Lyme Middle School","=""2185112""",189,3224,49,3462
"Regional School District 18","=""2180012""","Mile Creek School","=""2180212""",136,2494,32,2662
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",1217,10225,376,11818
"Regional School District 19","=""2190012""","E.O. Smith High School at the Depot Campus","=""2190112""","*",39,"*",71
"Regional School District 19","=""2190012""","PM Panthers","=""2190212""",39,"*","*",62
"Regional School District 19","=""2190012""","STAAR Program","=""2190312""","*","*",0,19
"Ridgefield School District","=""1180011""","Alternative High School","=""1188011""","*",37,"*",42
"Ridgefield School District","=""1180011""","Barlow Mountain Elementary School","=""1180811""",48,3760,12,3820
"Ridgefield School District","=""1180011""","Branchville Elementary School","=""1180611""",66,3994,25,4085
"Ridgefield School District","=""1180011""","District Program BMES","=""1180111""",0,"*",0,"*"
"Ridgefield School District","=""1180011""","District Program ERMS","=""1181011""",0,"*",0,"*"
"Ridgefield School District","=""1180011""","District Program RES","=""1180711""",0,17,0,17
"Ridgefield School District","=""1180011""","District Program SES","=""1180911""",0,6,0,6
"Ridgefield School District","=""1180011""","District Program SRMS","=""1181111""",0,"*",0,"*"
"Ridgefield School District","=""1180011""","East Ridge Middle School","=""1185111""",132,7397,59,7588
"Ridgefield School District","=""1180011""","Farmingville Elementary School","=""1180411""","*",3514,"*",3536
"Ridgefield School District","=""1180011""","Ridgebury Elementary School","=""1180311""",34,3908,14,3956
"Ridgefield School District","=""1180011""","Ridgefield 18-21 Transition Program","=""1189011""",0,24,0,24
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",342,17005,107,17454
"Ridgefield School District","=""1180011""","Ridgefield Transition Program","=""1189011""",0,24,0,24
"Ridgefield School District","=""1180011""","Scotland Elementary School","=""1180511""",74,3720,22,3816
"Ridgefield School District","=""1180011""","Scotts Ridge Middle School","=""1185211""",75,5256,23,5354
"Ridgefield School District","=""1180011""","Veterans Park Elementary School","=""1180211""",90,3171,33,3294
"Rocky Hill School District","=""1190011""","Pathways","=""1190311""","*","*",0,18
"Rocky Hill School District","=""1190011""","Albert D. Griswold Middle School","=""1195111""",568,5348,221,6137
"Rocky Hill School District","=""1190011""","Alternative Learning Program","=""1190111""",9,8,0,17
"Rocky Hill School District","=""1190011""","Dr. Oran A. Moser School","=""1190211""","*",293,"*",333
"Rocky Hill School District","=""1190011""","Myrtle H. Stevens School","=""1190411""",718,4166,237,5121
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",599,6607,207,7413
"Rocky Hill School District","=""1190011""","West Hill School","=""1190511""",219,6240,51,6510
"Salem School District","=""1210011""","Salem Elementary School","=""1210111""",301,4039,102,4442
"Salisbury School District","=""1220011""","SELC","=""1220211""","*","*","*","*"
"Salisbury School District","=""1220011""","Salisbury Central School","=""1220111""",218,2625,125,2968
"Scotland School District","=""1230011""","Scotland Elementary School","=""1230111""",260,1108,72,1440
"Seymour School District","=""1240011""","Anna L. Lopresti School","=""1240311""",418,992,150,1560
"Seymour School District","=""1240011""","Bungay School","=""1240111""",625,4317,287,5229
"Seymour School District","=""1240011""","Chatfield-LoPresti School","=""1240211""",722,1781,216,2719
"Seymour School District","=""1240011""","Paul Chatfield School","=""1240411""",144,1243,67,1454
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",1028,5322,448,6798
"Seymour School District","=""1240011""","Seymour Middle School","=""1245111""",982,4330,447,5759
"Sharon School District","=""1250011""","TOTAL","=""1250211""","*","*",0,14
"Sharon School District","=""1250011""","Sharon Center School","=""1250111""",269,1476,101,1846
"Shelton School District","=""1260011""","Mohegan School","=""1260911""",177,3973,51,4201
"Shelton School District","=""1260011""","Alternative Learning Center 1","=""1260211""","*",8,"*",16
"Shelton School District","=""1260011""","Alternative Learning Center 2","=""1261311""",0,"*",0,"*"
"Shelton School District","=""1260011""","Booth Hill School","=""1261011""",183,3513,116,3812
"Shelton School District","=""1260011""","Elizabeth Shelton School","=""1260511""",523,4266,167,4956
"Shelton School District","=""1260011""","Intermediate School","=""1265111""",1224,7035,496,8755
"Shelton School District","=""1260011""","Lafayette School","=""1260411""",411,539,120,1070
"Shelton School District","=""1260011""","Life Skills","=""1260311""","*","*","*",9
"Shelton School District","=""1260011""","Long Hill School","=""1260811""",942,3631,268,4841
"Shelton School District","=""1260011""","Perry Hill Elementary School","=""1261111""",887,4440,292,5619
"Shelton School District","=""1260011""","Pre-Kindergarten","=""1260111""","*",88,"*",113
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",1973,12997,788,15758
"Shelton School District","=""1260011""","Sunnyside School","=""1260611""",549,1933,178,2660
"Shelton School District","=""1260011""","Therapeutic Learning Center","=""1261211""","*",0,0,"*"
"Shelton School District","=""1260011""","Transition Program","=""1260711""",7,22,6,35
"Shelton School District","=""1260011""","Work Experience","=""1260711""",7,22,6,35
"Sherman School District","=""1270011""","Sherman School","=""1270111""",167,3725,18,3910
"Side By Side Charter School District","=""2700013""","Side By Side Charter School","=""2700113""",839,1270,222,2331
"Simsbury School District","=""1280011""","Central School","=""1280111""",251,3728,43,4022
"Simsbury School District","=""1280011""","Farmington Valley Transition Academy","=""1280211""",0,31,0,31
"Simsbury School District","=""1280011""","Henry James Memorial School","=""1285111""",426,7131,130,7687
"Simsbury School District","=""1280011""","Latimer Lane School","=""1280611""",230,4241,64,4535
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",810,14148,276,15234
"Simsbury School District","=""1280011""","Squadron Line School","=""1280711""",306,6600,98,7004
"Simsbury School District","=""1280011""","Tariffville School","=""1280311""",359,2267,104,2730
"Simsbury School District","=""1280011""","Tootin' Hills School","=""1280411""",222,4131,29,4382
"Somers School District","=""1290011""","Aspire","=""1290511""","*","*",0,15
"Somers School District","=""1290011""","Mabelle B. Avery Middle School","=""1295111""",146,3606,98,3850
"Somers School District","=""1290011""","Somers Elementary School","=""1290411""",257,6179,163,6599
"Somers School District","=""1290011""","Somers High School","=""1296111""",165,5012,100,5277
"South Windsor School District","=""1320011""","Pleasant Valley School","=""1320211""",414,3376,128,3918
"South Windsor School District","=""1320011""","Eli Terry School","=""1320711""",311,3933,109,4353
"South Windsor School District","=""1320011""","Orchard Hill School","=""1320611""",342,3759,109,4210
"South Windsor School District","=""1320011""","Philip R. Smith School","=""1320111""",137,3366,54,3557
"South Windsor School District","=""1320011""","Project Worth Young Adult Academy","=""1329011""","*","*",0,42
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",885,13345,386,14616
"South Windsor School District","=""1320011""","Timothy Edwards School","=""1325111""",765,9420,348,10533
"South Windsor School District","=""1320011""","Wapping Elementary School","=""1320411""",317,2627,105,3049
"Southington School District","=""1310011""","John F. Kennedy Middle School","=""1315311""",664,7365,212,8241
"Southington School District","=""1310011""","Achieve","=""1311711""","*","*",0,16
"Southington School District","=""1310011""","Alta","=""1310111""",52,52,10,114
"Southington School District","=""1310011""","Derynoski Elementary School","=""1311511""",840,5393,263,6496
"Southington School District","=""1310011""","EASE","=""1310511""","*",24,"*",32
"Southington School District","=""1310011""","Flanders Elementary School","=""1311311""",514,2354,107,2975
"Southington School District","=""1310011""","Hatton Elementary School","=""1310211""",488,3553,127,4168
"Southington School District","=""1310011""","Hatton Preschool Program","=""1312011""",18,135,0,153
"Southington School District","=""1310011""","Joseph A. Depaolo Middle School","=""1315111""",820,6497,237,7554
"Southington School District","=""1310011""","Language Based Classroom","=""1310411""","*",12,"*",25
"Southington School District","=""1310011""","Language Based Classroom II","=""1312311""","*","*",0,9
