"Student Counts by School and Year"
"All Districts, All Schools"
"Trend"

"",,,,"Year",,,,,,,,,,
"Shelton School District","=""1260011""","Booth Hill School","=""1261011""",494,502,481,359,360,323,296,323,331,343,3812
"Shelton School District","=""1260011""","Elizabeth Shelton School","=""1260511""",553,605,590,479,473,460,440,471,433,452,4956
"Shelton School District","=""1260011""","Intermediate School","=""1265111""",907,875,873,925,931,875,840,878,868,783,8755
"Shelton School District","=""1260011""","Lafayette School","=""1260411""",386,364,320,0,0,0,0,0,0,0,1070
"Shelton School District","=""1260011""","Life Skills","=""1260311""",0,0,0,0,0,0,0,0,"*","*",9
"Shelton School District","=""1260011""","Long Hill School","=""1260811""",609,618,600,441,441,451,435,432,406,408,4841
"Shelton School District","=""1260011""","Perry Hill Elementary School","=""1261111""",0,0,0,857,829,862,841,749,739,742,5619
"Shelton School District","=""1260011""","Pre-Kindergarten","=""1260111""",0,0,0,0,0,0,0,0,59,54,113
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",1687,1653,1631,1546,1563,1578,1556,1550,1513,1481,15758
"Shelton School District","=""1260011""","Sunnyside School","=""1260611""",379,291,318,263,251,237,239,229,234,219,2660
"Shelton School District","=""1260011""","Therapeutic Learning Center","=""1261211""",0,0,0,0,0,0,0,0,0,"*","*"
"Shelton School District","=""1260011""","Transition Program","=""1260711""",0,0,0,0,0,0,0,0,21,14,35
"Shelton School District","=""1260011""","Work Experience","=""1260711""",0,0,0,0,0,0,0,0,21,14,35
"Sherman School District","=""1270011""","Sherman School","=""1270111""",456,458,444,408,397,383,372,346,333,313,3910
"Side By Side Charter School District","=""2700013""","Side By Side Charter School","=""2700113""",230,229,232,233,232,233,235,235,236,236,2331
"Simsbury School District","=""1280011""","Central School","=""1280111""",440,443,391,408,397,397,392,404,392,358,4022
"Simsbury School District","=""1280011""","Farmington Valley Transition Academy","=""1280211""",0,0,0,0,0,0,0,0,0,31,31
"Simsbury School District","=""1280011""","Henry James Memorial School","=""1285111""",816,838,827,804,791,748,725,739,710,689,7687
"Simsbury School District","=""1280011""","Latimer Lane School","=""1280611""",532,523,490,506,454,444,423,404,371,388,4535
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",1535,1562,1581,1582,1618,1559,1512,1450,1423,1412,15234
"Simsbury School District","=""1280011""","Squadron Line School","=""1280711""",802,778,781,767,712,659,625,612,609,659,7004
"Simsbury School District","=""1280011""","Tariffville School","=""1280311""",258,257,283,267,271,286,274,294,284,256,2730
"Simsbury School District","=""1280011""","Tootin' Hills School","=""1280411""",566,531,512,426,424,435,397,372,370,349,4382
"Somers School District","=""1290011""","Aspire","=""1290511""",0,0,0,0,0,0,0,0,7,8,15
"Somers School District","=""1290011""","Mabelle B. Avery Middle School","=""1295111""",427,424,414,387,377,363,370,371,359,358,3850
"Somers School District","=""1290011""","Somers Elementary School","=""1290411""",729,715,664,681,684,674,649,628,585,590,6599
"Somers School District","=""1290011""","Somers High School","=""1296111""",567,577,572,562,552,540,488,474,478,467,5277
"South Windsor School District","=""1320011""","Pleasant Valley School","=""1320211""",448,445,436,432,388,360,347,346,356,360,3918
"South Windsor School District","=""1320011""","Eli Terry School","=""1320711""",433,433,435,435,417,423,442,444,452,439,4353
"South Windsor School District","=""1320011""","Orchard Hill School","=""1320611""",507,468,466,428,386,366,387,389,391,422,4210
"South Windsor School District","=""1320011""","Philip R. Smith School","=""1320111""",436,415,360,342,333,343,352,344,320,312,3557
"South Windsor School District","=""1320011""","Project Worth Young Adult Academy","=""1329011""",0,0,0,0,0,"*","*",11,11,8,42
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",1651,1613,1575,1539,1458,1409,1363,1364,1318,1326,14616
"South Windsor School District","=""1320011""","Timothy Edwards School","=""1325111""",1149,1114,1073,1088,1090,1065,1043,979,968,964,10533
"South Windsor School District","=""1320011""","Wapping Elementary School","=""1320411""",310,307,309,293,280,306,301,303,312,328,3049
"Southington School District","=""1310011""","John F. Kennedy Middle School","=""1315311""",797,808,801,836,840,845,848,826,839,801,8241
"Southington School District","=""1310011""","Achieve","=""1311711""",0,0,0,0,0,0,0,"*","*",7,16
"Southington School District","=""1310011""","Alta","=""1310111""",0,0,0,0,0,0,0,38,33,43,114
"Southington School District","=""1310011""","Derynoski Elementary School","=""1311511""",702,691,691,683,650,666,640,611,600,562,6496
"Southington School District","=""1310011""","EASE","=""1310511""",0,0,0,0,0,0,0,10,10,12,32
"Southington School District","=""1310011""","Flanders Elementary School","=""1311311""",334,322,307,290,285,280,293,293,300,271,2975
"Southington School District","=""1310011""","Hatton Elementary School","=""1310211""",430,434,439,427,436,458,455,384,357,348,4168
"Southington School District","=""1310011""","Hatton Preschool Program","=""1312011""",0,0,0,0,0,0,0,0,72,81,153
"Southington School District","=""1310011""","Joseph A. Depaolo Middle School","=""1315111""",735,752,783,734,772,735,776,727,743,797,7554
"Southington School District","=""1310011""","Language Based Classroom","=""1310411""",0,0,0,0,0,0,0,7,11,7,25
"Southington School District","=""1310011""","Language Based Classroom II","=""1312311""",0,0,0,0,0,0,0,0,0,9,9
"Southington School District","=""1310011""","Language Based Classroom at Hatton School","=""1310411""",0,0,0,0,0,0,0,7,11,7,25
"Southington School District","=""1310011""","Language Based Classroom, Multihandicapped","=""1311811""",0,0,0,0,0,0,0,8,11,8,27
"Southington School District","=""1310011""","Plantsville Elementary School","=""1310611""",215,213,216,280,275,283,276,287,288,279,2612
"Southington School District","=""1310011""","Preschool/ABA ~ Hatton School","=""1310311""",0,0,0,0,0,0,0,33,0,0,33
"Southington School District","=""1310011""","Preschool/ABA ~ South End School","=""1311911""",0,0,0,0,0,0,0,10,0,0,10
"Southington School District","=""1310011""","STELLAR","=""1312211""",0,0,0,0,0,0,0,0,0,8,8
"Southington School District","=""1310011""","South End Elementary School","=""1310711""",207,212,222,245,241,235,237,256,232,229,2316
"Southington School District","=""1310011""","South End Preschool Program","=""1312111""",0,0,0,0,0,0,0,0,20,26,46
"Southington School District","=""1310011""","Southington High School","=""1316211""",2164,2098,2033,2051,2028,2037,2036,2012,1967,2003,20429
"Southington School District","=""1310011""","Southington Public Schools Preschool Program","=""1312111""",0,0,0,0,0,0,0,0,20,26,46
"Southington School District","=""1310011""","Southington Public Schools Preschool Program at Hatton School","=""1312011""",0,0,0,0,0,0,0,0,72,81,153
"Southington School District","=""1310011""","Strong Elementary School","=""1310811""",466,460,477,396,364,356,327,309,295,276,3726
"Southington School District","=""1310011""","Thalberg Elementary School","=""1310911""",430,423,422,449,425,428,423,427,429,436,4292
"Southington School District","=""1310011""","Therapeutic Educational Alternative Model (TEAM)","=""1311611""",0,0,0,0,0,0,0,"*","*",10,21
"Southington School District","=""1310011""","Therapeutic Educational Setting (TEP)","=""1311211""",0,0,0,0,0,0,0,6,11,9,26
"Southington School District","=""1310011""","Urbin T. Kelley School","=""1311411""",414,413,407,407,387,374,360,341,319,315,3737
"Sprague School District","=""1330011""","Sayles School","=""1330111""",351,354,351,371,374,370,360,363,360,336,3590
"Stafford School District","=""1340011""","Stafford Elementary School","=""1340611""",526,549,523,502,497,477,482,471,471,480,4978
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",521,547,537,558,513,480,478,414,409,399,4856
"Stafford School District","=""1340011""","Stafford Middle School","=""1345211""",477,424,407,416,407,383,342,354,331,328,3869
"Stafford School District","=""1340011""","Stafford Tutoring Program","=""1340211""",0,0,0,0,0,0,0,"*","*",9,17
"Stafford School District","=""1340011""","Staffordville School","=""1340311""",178,189,181,190,202,178,161,162,157,161,1759
"Stafford School District","=""1340011""","West Stafford School","=""1340411""",205,194,191,188,200,198,164,176,161,139,1816
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",131,131,131,137,138,138,147,141,150,148,1392
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""",0,0,0,0,0,0,0,0,164,217,381
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""",0,0,0,0,0,0,0,96,79,68,243
"Stamford School District","=""1350011""","Apples PreK","=""1350111""",0,0,0,0,0,0,0,120,140,162,422
"Stamford School District","=""1350011""","Cloonan School","=""1355611""",594,574,581,598,577,597,622,616,541,536,5836
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""",515,511,533,554,537,542,552,626,638,651,5659
"Stamford School District","=""1350011""","Dolan School","=""1355311""",625,636,615,553,528,531,573,532,497,478,5568
"Stamford School District","=""1350011""","Hart School","=""1352211""",420,426,481,504,555,587,602,656,628,642,5501
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""",0,0,0,0,0,0,0,23,22,21,66
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""",601,596,558,532,567,612,616,603,611,601,5897
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""",548,540,524,540,527,556,527,552,549,536,5399
"Stamford School District","=""1350011""","New School at 200 Strawberry Hill Avenue","=""1350711""",0,0,0,0,0,0,0,0,0,229,229
"Stamford School District","=""1350011""","Newfield School","=""1350611""",632,629,637,644,687,690,707,656,623,615,6520
"Stamford School District","=""1350011""","Northeast School","=""1351811""",814,794,752,729,687,686,664,686,636,636,7084
"Stamford School District","=""1350011""","Preschool Team","=""1358011""",83,64,41,25,25,48,152,35,57,70,600
"Stamford School District","=""1350011""","Rippowam Middle School","=""1355811""",807,746,690,644,646,654,688,751,799,703,7128
"Stamford School District","=""1350011""","Rogers International School","=""1350811""",525,533,650,747,804,823,804,801,801,819,7307
"Stamford School District","=""1350011""","Roxbury School","=""1350911""",654,662,697,656,645,647,642,615,618,601,6437
"Stamford School District","=""1350011""","Scofield Middle School","=""1355711""",604,615,617,631,629,624,624,672,715,674,6405
"Stamford School District","=""1350011""","Springdale School","=""1351111""",565,572,556,585,620,654,711,682,651,642,6238
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",1797,1662,1733,1811,1861,1952,1928,1790,1719,1765,18018
"Stamford School District","=""1350011""","Stillmeadow School","=""1352111""",601,627,612,648,715,767,688,672,698,715,6743
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",478,605,679,680,692,684,695,693,686,666,6558
"Stamford School District","=""1350011""","Toquam Magnet School","=""1351911""",453,487,582,623,647,680,681,710,706,678,6247
"Stamford School District","=""1350011""","Turn of River School","=""1355511""",609,595,539,572,557,578,546,610,584,624,5814
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",2331,2339,2281,2310,2275,2130,2146,2088,2096,2138,22134
"Stamford School District","=""1350011""","Westover School","=""1351411""",638,648,678,718,709,716,688,714,766,715,6990
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""",503,513,507,482,489,498,479,461,447,424,4803
"Stonington School District","=""1370011""","Community Classroom","=""1370811""",0,0,0,0,0,0,0,"*","*","*","*"
"Stonington School District","=""1370011""","Deans Mill School","=""1370511""",529,519,505,515,508,485,413,414,387,379,4654
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""",435,419,412,441,421,416,426,396,406,369,4141
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""",332,362,373,349,353,332,312,298,269,279,3259
"Stonington School District","=""1370011""","SAILS","=""1370711""",0,0,0,0,0,0,0,0,0,"*","*"
"Stonington School District","=""1370011""","Special Needs Preschool Program","=""1378011""",18,15,22,24,0,0,0,0,0,0,79
"Stonington School District","=""1370011""","Stonington BOE Pre-School","=""1370111""",0,0,0,0,0,0,26,19,19,20,84
"Stonington School District","=""1370011""","Stonington HS PreK","=""1370211""",0,0,0,0,0,0,20,19,19,20,78
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",811,784,793,781,773,771,771,760,713,686,7643
"Stonington School District","=""1370011""","West Broad Street School","=""1370411""",175,178,184,163,146,131,126,135,148,141,1527
"Stonington School District","=""1370011""","West Vine Street School","=""1370611""",236,231,231,219,203,210,211,203,189,178,2111
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""",516,518,525,532,537,520,517,516,505,480,5166
"Stratford School District","=""1380011""","ABA Nichols","=""1382511""",0,0,0,0,0,0,0,0,"*","*",8
"Stratford School District","=""1380011""","ABA Second Hill Lane","=""1380611""",0,0,0,0,0,0,0,"*","*","*",12
"Stratford School District","=""1380011""","ABA Whitney","=""1382411""",0,0,0,0,0,0,0,0,"*","*",9
"Stratford School District","=""1380011""","ALPHA","=""1380511""",0,0,0,0,0,0,0,45,42,31,118
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",1387,1312,1246,1233,1161,1210,1153,1060,1047,1019,11828
"Stratford School District","=""1380011""","Chapel School","=""1380311""",505,531,563,547,561,555,560,534,518,515,5389
"Stratford School District","=""1380011""","DLC Whitney","=""1382311""",0,0,0,0,0,0,0,0,"*","*",11
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""",570,571,573,564,543,529,523,512,548,540,5473
"Stratford School District","=""1380011""","Franklin STEPS K-2","=""1382111""",0,0,0,0,0,0,0,"*","*","*",14
"Stratford School District","=""1380011""","Franklin School","=""1380411""",396,358,342,308,291,293,313,302,281,277,3161
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""",569,608,604,597,604,556,576,566,560,586,5826
"Stratford School District","=""1380011""","High School STEPS 9-12","=""1382011""",0,0,0,0,0,0,0,"*","*",7,18
"Stratford School District","=""1380011""","High School Sails","=""1380711""",0,0,0,0,0,0,0,7,10,11,28
"Stratford School District","=""1380011""","Honeyspot School","=""1381611""",0,0,239,247,242,218,224,211,0,0,1381
"Stratford School District","=""1380011""","IPP Class Room - Second Hill Lane","=""1382711""",0,0,0,0,0,0,0,0,0,6,6
"Stratford School District","=""1380011""","IPP Classroom - Johnson","=""1381111""",0,0,0,0,0,0,0,8,"*","*",19
"Stratford School District","=""1380011""","Intensive Need Classroom","=""1381711""",0,0,0,0,0,0,0,"*",0,0,"*"
"Stratford School District","=""1380011""","Johnson House STEPS 3-6","=""1381211""",0,0,0,0,0,0,0,10,8,9,27
"Stratford School District","=""1380011""","Lordship School","=""1380811""",225,216,217,213,219,232,235,270,256,269,2352
"Stratford School District","=""1380011""","Middle School STEPS 7-8","=""1381911""",0,0,0,0,0,0,0,"*","*","*",10
"Stratford School District","=""1380011""","Middle School Sails","=""1381811""",0,0,0,0,0,0,0,"*","*",6,16
"Stratford School District","=""1380011""","Nichols School","=""1380911""",430,398,437,422,430,437,431,452,419,412,4268
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""",688,703,723,698,707,678,698,692,618,625,6830
"Stratford School District","=""1380011""","Secondary STEPS Program","=""1389111""",0,0,0,14,9,13,11,0,0,0,47
"Stratford School District","=""1380011""","Steps K-2 Nichols","=""1382611""",0,0,0,0,0,0,0,0,"*","*",7
"Stratford School District","=""1380011""","Straford Academy - Victoria Soto School","=""1382211""",0,0,0,0,0,0,0,0,277,276,553
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""",720,689,453,460,458,470,471,430,411,401,4963
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",971,988,981,1044,1083,1075,1041,969,947,920,10019
"Stratford School District","=""1380011""","Strive-Stratford","=""1389011""",8,11,17,14,15,17,21,17,14,19,153
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""",398,396,406,391,382,376,378,370,341,354,3792
"Suffield School District","=""1390011""","A. Ward Spaulding School","=""1390411""",541,544,515,494,472,444,481,491,498,480,4960
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""",572,573,560,554,552,541,496,501,466,470,5285
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",845,837,852,858,867,860,841,822,828,798,8408
"Suffield School District","=""1390011""","Suffield Middle School","=""1395111""",636,615,631,600,595,599,594,574,561,523,5928
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",260,262,263,271,276,276,277,275,279,281,2720
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",408,400,381,325,542,505,537,552,553,562,4765
"Thomaston School District","=""1400011""","Black Rock School","=""1400111""",387,382,348,340,338,310,284,265,269,262,3185
"Thomaston School District","=""1400011""","Thomaston Center School","=""1400211""",294,282,262,256,239,256,240,246,215,205,2495
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",585,555,558,522,477,438,414,392,410,428,4779
"Thompson School District","=""1410011""","District Autism Program","=""1410211""",0,0,0,0,0,0,0,0,"*","*","*"
"Thompson School District","=""1410011""","Mary R. Fisher Elementary School","=""1410111""",574,538,507,481,444,471,442,415,387,411,4670
"Thompson School District","=""1410011""","Thompson Middle School","=""1415111""",503,459,439,420,403,380,349,337,333,346,3969
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",399,392,378,362,338,302,277,251,274,247,3220
"Tolland School District","=""1420011""","Birch Grove Primary School","=""1420111""",760,716,708,657,614,582,564,560,529,499,6189
"Tolland School District","=""1420011""","TALC","=""1420311""",0,0,0,0,0,0,0,13,11,9,33
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",849,899,941,939,916,900,847,828,828,815,8762
"Tolland School District","=""1420011""","Tolland Intermediate School","=""1420211""",507,761,731,707,688,666,617,577,545,537,6336
"Tolland School District","=""1420011""","Tolland Middle School","=""1425111""",1013,771,772,749,733,688,682,679,664,602,7353
"Torrington School District","=""1430011""","East School","=""1430111""",481,460,479,446,411,392,377,361,347,365,4119
"Torrington School District","=""1430011""","ABC / Forbes School","=""1431511""",0,0,0,0,0,0,0,0,"*","*",6
"Torrington School District","=""1430011""","ABC / Torringford","=""1432411""",0,0,0,0,0,0,0,0,"*","*","*"
"Torrington School District","=""1430011""","East TPS - PreK - Reg Ed","=""1432211""",0,0,0,0,0,0,0,0,42,48,90
"Torrington School District","=""1430011""","Forbes School","=""1430211""",383,397,383,398,386,395,363,373,384,373,3835
"Torrington School District","=""1430011""","Hilltop Outreach","=""1432311""",0,0,0,0,0,0,0,0,"*","*",11
"Torrington School District","=""1430011""","Migeon Academy","=""1431411""",0,0,0,0,0,0,0,12,"*","*",20
"Torrington School District","=""1430011""","Pre-K SpEd","=""1431611""",0,0,0,0,0,0,0,20,17,19,56
"Torrington School District","=""1430011""","PreK","=""1432211""",0,0,0,0,0,0,0,0,42,48,90
"Torrington School District","=""1430011""","Southwest School","=""1430811""",305,295,331,323,324,328,330,329,313,314,3192
"Torrington School District","=""1430011""","Torringford / ABC","=""1432411""",0,0,0,0,0,0,0,0,"*","*","*"
"Torrington School District","=""1430011""","Torringford Community Outreach","=""1432311""",0,0,0,0,0,0,0,0,"*","*",11
"Torrington School District","=""1430011""","Torringford School","=""1430911""",683,669,660,669,641,610,623,615,627,583,6380
"Torrington School District","=""1430011""","Torrington Expulsion Program","=""1431411""",0,0,0,0,0,0,0,12,"*","*",20
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",1295,1241,1184,1088,1113,1101,1055,1003,955,897,10932
"Torrington School District","=""1430011""","Torrington Middle School","=""1435111""",1162,1114,1136,1134,1127,1056,1041,1012,1014,1029,10825
"Torrington School District","=""1430011""","Vogel-Wetmore School","=""1431311""",448,459,458,451,459,473,475,478,437,462,4600
"Torrington School District","=""1430011""","Vogel-Wetmore/Outreach PreK","=""1431911""",0,0,0,0,0,0,0,7,0,0,7
"Trailblazers Academy District","=""2780013""","Trailblazers Academy","=""2785113""",150,150,165,162,170,168,162,119,125,129,1500
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""",514,514,524,535,521,526,509,482,456,464,5045
"Trumbull School District","=""1440011""","Daniels Farm School","=""1440811""",513,495,524,498,472,468,470,472,460,451,4823
"Trumbull School District","=""1440011""","Educating Learners in Transitional Environments (ELITE)","=""1440611""",0,0,0,0,0,0,0,0,0,9,9
"Trumbull School District","=""1440011""","Frenchtown Elementary School","=""1441011""",601,618,657,644,653,637,671,564,554,529,6128
"Trumbull School District","=""1440011""","Hillcrest Middle School","=""1445211""",743,755,720,747,748,777,766,760,769,772,7557
"Trumbull School District","=""1440011""","Jane Ryan School","=""1440411""",423,417,413,402,407,392,403,393,377,406,4033
"Trumbull School District","=""1440011""","Madison Middle School","=""1445111""",880,852,899,873,857,848,793,780,792,835,8409
"Trumbull School District","=""1440011""","Middlebrook School","=""1440311""",473,466,481,486,467,464,454,499,497,472,4759
"Trumbull School District","=""1440011""","REACH","=""1440511""",0,0,0,0,0,0,0,11,0,15,26
"Trumbull School District","=""1440011""","Tashua School","=""1440911""",461,462,411,409,392,386,385,384,401,408,4099
"Trumbull School District","=""1440011""","Trumbull Alternative School","=""1440211""",0,0,0,0,0,0,0,8,0,7,15
"Trumbull School District","=""1440011""","Trumbull Early Childhood Education Center","=""1448011""",200,232,236,231,237,225,220,224,209,232,2246
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",2095,2123,2149,2150,2187,2195,2138,2123,2151,2066,21377
"Unified School District #1","=""3360015""","Bergin Correctional Institution","=""3361715""",38,39,32,19,0,0,0,0,0,0,128
"Unified School District #1","=""3360015""","Bridgeport Correctional Center","=""3360115""",32,18,8,11,25,17,9,8,"*","*",139
"Unified School District #1","=""3360015""","Brooklyn Correctional Institution","=""3360215""",13,6,7,"*","*","*","*","*","*","*",41
"Unified School District #1","=""3360015""","Cheshire Correctional Institution","=""3360315""",29,30,27,38,25,29,15,18,10,13,234
"Unified School District #1","=""3360015""","Corrigan/Radgowski Correctional Institution","=""3362415""",70,36,56,43,45,21,29,13,11,15,339
"Unified School District #1","=""3360015""","Enfield Correctional Institution","=""3360415""",22,19,19,15,13,12,11,"*","*","*",118
"Unified School District #1","=""3360015""","Garner Correctional Institution","=""3361915""",28,15,20,18,"*",23,27,18,17,"*",184
"Unified School District #1","=""3360015""","Gates Correctional Institution","=""3360515""",38,30,17,11,0,0,0,0,0,0,96
"Unified School District #1","=""3360015""","Hartford Correctional Center","=""3360615""",69,72,60,41,44,38,26,12,"*","*",374
"Unified School District #1","=""3360015""","MacDougall/Walker Correctional Institution","=""3362215""",78,69,77,53,43,60,29,9,"*","*",429
"Unified School District #1","=""3360015""","Manson Youth Institution","=""3361115""",551,464,498,445,400,315,310,270,295,275,3823
"Unified School District #1","=""3360015""","New Haven Correctional Center","=""3360915""",25,22,16,17,10,17,16,7,"*","*",136
"Unified School District #1","=""3360015""","Northern Correctional Institution","=""3362615""",28,19,13,16,30,19,10,11,7,6,159
"Unified School District #1","=""3360015""","Osborn Correctional Institution","=""3361215""",36,39,29,14,19,24,12,"*",7,"*",189
"Unified School District #1","=""3360015""","Robinson Correctional Institution","=""3361315""",29,41,32,24,20,15,13,7,"*","*",189
"Unified School District #1","=""3360015""","Webster Correctional Institution","=""3361415""",12,17,6,0,0,0,0,0,0,0,35
"Unified School District #1","=""3360015""","Willard/Cybulski Correctional Institution","=""3361515""",38,23,12,13,24,12,7,"*","*","*",137
"Unified School District #1","=""3360015""","York Correctional Institution","=""3362515""",59,59,61,36,29,36,22,22,11,21,356
"Unified School District #2","=""3470015""","Children''s Place School","=""3470115""",39,40,35,23,25,23,22,28,28,27,290
"Unified School District #2","=""3470015""","Children's Place School","=""3470115""",39,40,35,23,25,23,22,28,28,27,290
"Unified School District #2","=""3470015""","High Meadows","=""3476515""",30,25,12,0,0,0,0,0,0,0,67
"Unified School District #2","=""3470015""","Riverview School","=""3470315""",67,60,63,64,56,56,54,61,61,59,601
"Unified School District #2","=""3470015""","Virtual Academy","=""3470215""",0,0,0,0,0,0,0,0,0,"*","*"
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""",90,86,97,117,99,88,121,101,62,41,902
"Union School District","=""1450011""","Union Elementary School","=""1450111""",72,78,78,81,73,71,78,80,80,68,759
"Vernon School District","=""1460011""","Northeast School","=""1460311""",313,289,281,299,292,322,329,319,322,282,3048
"Vernon School District","=""1460011""","Center Road School","=""1461411""",449,468,490,504,499,496,502,494,502,477,4881
"Vernon School District","=""1460011""","Lake Street School","=""1460111""",236,286,312,287,286,278,256,238,219,270,2668
"Vernon School District","=""1460011""","Loveland Hill School","=""1460511""",0,0,0,0,0,0,8,10,10,0,28
"Vernon School District","=""1460011""","Maple Street School","=""1460211""",339,265,324,309,310,334,323,317,274,284,3079
"Vernon School District","=""1460011""","Next Step Program (AACBP)","=""1469011""",0,10,12,15,14,11,10,11,7,13,103
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",1214,1165,1108,1060,1052,973,926,872,820,847,10037
"Vernon School District","=""1460011""","Skinner Road School","=""1461011""",327,313,352,350,375,332,306,346,334,310,3345
"Vernon School District","=""1460011""","VPS PreK Collaborative - YMCA","=""1460711""",0,0,0,0,0,0,0,0,8,0,8
"Vernon School District","=""1460011""","Vernon Center Middle School","=""1465111""",819,787,802,772,741,699,662,652,682,712,7328
"Voluntown School District","=""1470011""","Voluntown Elementary School","=""1470111""",309,306,300,312,319,315,303,313,296,279,3052
"Wallingford School District","=""1480011""","Highland School","=""1480211""",335,318,308,352,324,285,265,288,307,334,3116
"Wallingford School District","=""1480011""","A.R.T.S. Academy","=""1489011""",21,18,11,7,17,17,13,15,17,11,147
"Wallingford School District","=""1480011""","Cook Hill School","=""1481011""",400,415,396,391,385,365,343,355,365,372,3787
"Wallingford School District","=""1480011""","Dag  Hammarskjold Middle School","=""1485211""",745,718,700,713,709,681,700,695,733,727,7121
"Wallingford School District","=""1480011""","Dag Hammarskjold Middle School","=""1485211""",745,718,700,713,709,681,700,695,733,727,7121
"Wallingford School District","=""1480011""","Education Enhancement Program","=""1480511""",0,0,0,0,0,0,0,21,19,15,55
"Wallingford School District","=""1480011""","Evarts C. Stevens School","=""1480911""",405,423,430,381,384,360,359,370,329,322,3763
"Wallingford School District","=""1480011""","Harvest Park","=""1489211""",0,0,0,"*",7,7,7,"*",9,6,47
"Wallingford School District","=""1480011""","James H. Moran Middle School","=""1485311""",847,836,839,814,755,705,681,702,696,676,7551
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",1175,1176,1156,1140,1129,1135,1098,1090,1073,1036,11208
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",991,987,979,949,917,914,892,856,849,820,9154
"Wallingford School District","=""1480011""","Moses Y. Beach School","=""1480111""",331,350,356,376,354,350,327,331,331,324,3430
"Wallingford School District","=""1480011""","Multi-Vocational Life Skills Program","=""1489111""",0,0,0,7,12,13,7,9,9,10,67
"Wallingford School District","=""1480011""","Parker Farms School","=""1480311""",352,349,355,342,328,327,289,287,267,262,3158
"Wallingford School District","=""1480011""","Pond Hill School","=""1481211""",328,312,288,337,333,355,374,370,326,315,3338
"Wallingford School District","=""1480011""","Rock Hill School","=""1480411""",347,351,328,357,349,364,343,334,337,322,3432
"Wallingford School District","=""1480011""","Yalesville School","=""1480811""",534,531,511,383,397,384,376,340,321,321,4098
"Waterbury School District","=""1510011""","Brooklyn Elementary School","=""1511011""",229,205,203,189,0,0,0,0,0,0,826
"Waterbury School District","=""1510011""","West Side Middle School","=""1515211""",1197,1276,1193,1147,1076,1057,988,1021,1020,1017,10992
"Waterbury School District","=""1510011""","Washington School","=""1512311""",313,313,310,318,348,350,337,340,310,322,3261
"Waterbury School District","=""1510011""","B. W. Tinker School","=""1512111""",574,555,551,509,568,563,572,572,591,595,5650
"Waterbury School District","=""1510011""","B.W. Tinker BDLC","=""1510411""",0,0,0,0,0,0,0,0,11,17,28
"Waterbury School District","=""1510011""","Barnard School","=""1510311""",270,267,250,264,0,0,0,0,0,0,1051
"Waterbury School District","=""1510011""","Bucks Hill Bilingual","=""1514311""",0,0,0,0,0,0,0,0,0,152,152
"Waterbury School District","=""1510011""","Bucks Hill CBL","=""1514611""",0,0,0,0,0,0,0,0,0,9,9
"Waterbury School District","=""1510011""","Bucks Hill School","=""1510511""",585,557,565,560,571,424,547,561,575,453,5398
