"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)",,,,
"Waterbury School District","=""1510011""","All Grades","Mile Run",67.9,66.3,64.5,68.0,63.4
"Waterbury School District","=""1510011""","All Grades","Push Up",64.8,67.5,65.6,66.6,66.3
"Waterbury School District","=""1510011""","All Grades","Sit and Reach",84.3,84.2,81.1,85.4,83.2
"Waterford School District","=""1520011""","All Grades","All Tests - District",47.6,51.0,50.6,52.8,49.4
"Waterford School District","=""1520011""","All Grades","Curl Up",74.9,80.5,75.2,75.3,76.0
"Waterford School District","=""1520011""","All Grades","Mile Run",72.2,77.4,75.9,72.8,73.2
"Waterford School District","=""1520011""","All Grades","Push Up",68.6,73.2,75.2,71.4,66.2
"Waterford School District","=""1520011""","All Grades","Sit and Reach",78.3,76.0,73.2,78.5,77.4
"Watertown School District","=""1530011""","All Grades","All Tests - District",50.8,53.5,57.5,52.6,58.2
"Watertown School District","=""1530011""","All Grades","Curl Up",80.3,80.9,81.2,84.9,85.7
"Watertown School District","=""1530011""","All Grades","Mile Run",68.1,71.2,73.6,67.5,74.5
"Watertown School District","=""1530011""","All Grades","Push Up",74.7,72.1,78.5,78.7,81.3
"Watertown School District","=""1530011""","All Grades","Sit and Reach",91.2,89.3,92.3,89.3,89.1
"West Hartford School District","=""1550011""","All Grades","All Tests - District",60.2,57.4,64.1,59.7,56.1
"West Hartford School District","=""1550011""","All Grades","Curl Up",89.5,89.2,91.2,87.5,86.7
"West Hartford School District","=""1550011""","All Grades","Mile Run",78.6,78.3,82.2,77.9,77.5
"West Hartford School District","=""1550011""","All Grades","Push Up",80.7,79.8,82.2,80.0,79.0
"West Hartford School District","=""1550011""","All Grades","Sit and Reach",85.4,80.9,84.1,79.7,78.2
"West Haven School District","=""1560011""","All Grades","All Tests - District",28.2,26.2,27.2,25.7,29.6
"West Haven School District","=""1560011""","All Grades","Curl Up",69.2,70.2,72.7,62.9,67.6
"West Haven School District","=""1560011""","All Grades","Mile Run",45.7,53.2,56.5,54.6,54.1
"West Haven School District","=""1560011""","All Grades","Push Up",55.3,53.5,50.1,45.6,54.6
"West Haven School District","=""1560011""","All Grades","Sit and Reach",73.3,70.3,72.0,75.5,79.0
"Westbrook School District","=""1540011""","All Grades","All Tests - District",61.4,59.3,58.8,60.0,64.7
"Westbrook School District","=""1540011""","All Grades","Curl Up",90.0,92.9,89.9,93.6,88.8
"Westbrook School District","=""1540011""","All Grades","Mile Run",91.9,87.6,84.8,83.0,89.7
"Westbrook School District","=""1540011""","All Grades","Push Up",78.0,77.2,74.7,75.3,77.7
"Westbrook School District","=""1540011""","All Grades","Sit and Reach",78.8,77.6,78.2,81.3,83.9
"Weston School District","=""1570011""","All Grades","All Tests - District",66.0,66.1,55.2,55.5,61.0
"Weston School District","=""1570011""","All Grades","Curl Up",85.3,92.0,86.3,79.5,89.1
"Weston School District","=""1570011""","All Grades","Mile Run",90.3,91.5,84.9,83.2,88.5
"Weston School District","=""1570011""","All Grades","Push Up",85.5,81.9,75.0,84.1,85.2
"Weston School District","=""1570011""","All Grades","Sit and Reach",82.9,86.4,73.1,79.9,77.9
"Westport School District","=""1580011""","All Grades","All Tests - District",59.9,52.5,70.1,53.3,54.6
"Westport School District","=""1580011""","All Grades","Curl Up",89.4,88.5,93.3,87.4,86.4
"Westport School District","=""1580011""","All Grades","Mile Run",86.1,89.6,87.6,82.0,80.7
"Westport School District","=""1580011""","All Grades","Push Up",78.7,82.3,84.2,77.4,76.7
"Westport School District","=""1580011""","All Grades","Sit and Reach",83.9,87.7,86.2,80.0,76.1
"Wethersfield School District","=""1590011""","All Grades","All Tests - District",47.8,46.0,43.3,47.2,46.7
"Wethersfield School District","=""1590011""","All Grades","Curl Up",76.4,76.4,80.2,80.9,78.4
"Wethersfield School District","=""1590011""","All Grades","Mile Run",75.0,73.3,67.2,69.2,69.9
"Wethersfield School District","=""1590011""","All Grades","Push Up",64.5,67.0,64.2,71.5,70.5
"Wethersfield School District","=""1590011""","All Grades","Sit and Reach",84.4,82.1,80.4,82.6,81.8
"Willington School District","=""1600011""","All Grades","All Tests - District",58.2,65.6,61.5,59.8,63.1
"Willington School District","=""1600011""","All Grades","Curl Up",83.6,90.9,84.6,81.1,81.2
"Willington School District","=""1600011""","All Grades","Mile Run",78.2,79.9,85.3,85.6,85.2
"Willington School District","=""1600011""","All Grades","Push Up",76.4,76.0,72.4,67.4,77.9
"Willington School District","=""1600011""","All Grades","Sit and Reach",90.9,94.2,94.2,90.9,96.0
"Wilton School District","=""1610011""","All Grades","All Tests - District",76.7,73.2,72.4,66.8,71.4
"Wilton School District","=""1610011""","All Grades","Curl Up",96.1,97.4,96.9,94.9,96.0
"Wilton School District","=""1610011""","All Grades","Mile Run",91.2,87.4,91.1,88.0,86.7
"Wilton School District","=""1610011""","All Grades","Push Up",95.8,91.4,94.1,93.1,93.0
"Wilton School District","=""1610011""","All Grades","Sit and Reach",84.6,83.7,81.9,79.1,81.6
"Winchester School District","=""1620011""","All Grades","All Tests - District",36.9,22.8,35.6,35.1,41.5
"Winchester School District","=""1620011""","All Grades","Curl Up",79.3,72.3,76.7,82.5,89.8
"Winchester School District","=""1620011""","All Grades","Mile Run",47.5,40.6,46.6,39.0,50.0
"Winchester School District","=""1620011""","All Grades","Push Up",67.0,67.3,78.1,85.7,86.4
"Winchester School District","=""1620011""","All Grades","Sit and Reach",81.6,68.3,89.7,87.7,93.2
"Windham School District","=""1630011""","All Grades","All Tests - District",42.4,38.8,41.7,45.2,36.5
"Windham School District","=""1630011""","All Grades","Curl Up",82.5,87.5,86.8,84.7,81.8
"Windham School District","=""1630011""","All Grades","Mile Run",56.7,53.4,55.6,57.5,52.0
"Windham School District","=""1630011""","All Grades","Push Up",63.8,73.9,73.7,68.6,61.4
"Windham School District","=""1630011""","All Grades","Sit and Reach",79.5,78.2,83.1,85.4,79.2
"Windsor Locks School District","=""1650011""","All Grades","All Tests - District",31.6,42.5,39.0,37.4,45.8
"Windsor Locks School District","=""1650011""","All Grades","Curl Up",73.0,79.8,83.4,83.0,87.6
"Windsor Locks School District","=""1650011""","All Grades","Mile Run",54.2,68.5,67.4,71.1,70.3
"Windsor Locks School District","=""1650011""","All Grades","Push Up",56.4,60.6,59.0,59.3,63.8
"Windsor Locks School District","=""1650011""","All Grades","Sit and Reach",72.0,71.5,77.2,84.8,85.5
"Windsor School District","=""1640011""","All Grades","All Tests - District",34.9,35.8,38.4,36.4,42.8
"Windsor School District","=""1640011""","All Grades","Curl Up",74.9,75.5,78.5,76.0,75.1
"Windsor School District","=""1640011""","All Grades","Mile Run",55.8,57.2,57.7,53.5,56.9
"Windsor School District","=""1640011""","All Grades","Push Up",60.3,60.6,60.5,64.2,61.5
"Windsor School District","=""1640011""","All Grades","Sit and Reach",70.6,76.0,76.0,73.6,71.3
"Wolcott School District","=""1660011""","All Grades","All Tests - District",71.4,73.1,67.1,67.4,62.0
"Wolcott School District","=""1660011""","All Grades","Curl Up",90.6,92.3,86.6,89.0,88.2
"Wolcott School District","=""1660011""","All Grades","Mile Run",81.3,83.8,84.9,87.1,83.6
"Wolcott School District","=""1660011""","All Grades","Push Up",83.0,83.4,82.3,83.5,83.2
"Wolcott School District","=""1660011""","All Grades","Sit and Reach",92.8,92.2,88.4,85.6,85.4
"Woodbridge School District","=""1670011""","All Grades","All Tests - District",47.8,58.2,50.5,61.1,58.0
"Woodbridge School District","=""1670011""","All Grades","Curl Up",91.4,89.1,90.6,92.9,87.5
"Woodbridge School District","=""1670011""","All Grades","Mile Run",73.7,100.0,88.7,82.9,91.5
"Woodbridge School District","=""1670011""","All Grades","Push Up",70.8,72.3,69.8,77.3,71.0
"Woodbridge School District","=""1670011""","All Grades","Sit and Reach",78.5,82.7,80.7,83.9,83.0
"Woodstock Academy District","=""9030022""","All Grades","All Tests - District",75.9,71.5,71.1,73.3,72.6
"Woodstock Academy District","=""9030022""","All Grades","Curl Up",87.4,81.5,81.7,82.6,97.0
"Woodstock Academy District","=""9030022""","All Grades","Mile Run",86.9,85.0,94.4,96.9,83.0
"Woodstock Academy District","=""9030022""","All Grades","Push Up",89.0,87.0,81.1,86.2,86.7
"Woodstock Academy District","=""9030022""","All Grades","Sit and Reach",93.7,100.0,99.4,97.9,97.8
"Woodstock School District","=""1690011""","All Grades","All Tests - District",45.7,49.7,49.8,50.5,47.7
"Woodstock School District","=""1690011""","All Grades","Curl Up",82.0,82.6,82.8,85.2,86.1
"Woodstock School District","=""1690011""","All Grades","Mile Run",75.0,76.0,74.6,73.6,75.6
"Woodstock School District","=""1690011""","All Grades","Push Up",70.3,68.8,72.6,77.8,71.8
"Woodstock School District","=""1690011""","All Grades","Sit and Reach",82.3,79.9,84.5,83.3,80.5

