"Chronic Absenteeism, Trend"
", All Schools, English Learner Status"

"",,,,,"% Chronically Absent",,,,
"Stafford School District","=""1340011""","Stafford Tutoring Program","=""1340211""","Grade 12","N/A","N/A","N/A","*","*"
"Stafford School District","=""1340011""","Stafford Tutoring Program","=""1340211""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","Kindergarten",10.3,"*","*",14.8,"*"
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","Asian","*","N/A","N/A","N/A","N/A"
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","Black or African American","*","*","*","*","*"
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","ELL","*","*","N/A","N/A","N/A"
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","Eligible For Free Lunch","*","*","*",18.9,"*"
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","Female",10.3,"*","*","*","*"
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","Grade   1","*","*",12.2,"*","*"
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","Hispanic/Latino of any race","*","*","*","*","*"
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","Male","*","*","*",11.5,"*"
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","Non-ELL",7.3,"*",8.0,9.7,7.4
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","Non-Special Education",6.7,"*",7.1,8.8,7.1
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","School",7.2,"*",8.0,9.7,7.4
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","Special Education","*","*","*","*","*"
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","Two or More Races","*","*","*","*","*"
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","Not Eligible For Lunch","*","*",8.6,"*","*"
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","White",8.0,"*",7.8,9.8,6.3
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","Eligible For Reduced Lunch","*","*","*","*","*"
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","Kindergarten","*",14.0,"*","*",16.0
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","American Indian or Alaska Native","*","N/A","N/A","N/A","*"
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","Asian","N/A","N/A","N/A","N/A","*"
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","Black or African American","N/A","*","*","N/A","N/A"
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","ELL","*","N/A","N/A","N/A","*"
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","Eligible For Free Lunch","*","*","*","*",12.8
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","Female","*","*",10.3,"*","*"
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","Grade   1","*","*","*","*","*"
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","Hispanic/Latino of any race","*","*","*","*","*"
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","Male","*","*","*","*",10.7
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","Non-ELL",6.1,8.3,6.1,6.3,9.7
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","Non-Special Education",6.6,7.1,5.7,6.0,9.1
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","School",6.0,8.3,6.1,6.3,9.6
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","Special Education","*","*","*","*","*"
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","Two or More Races","*","*","*","*","*"
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","Not Eligible For Lunch","*","*","*","*","*"
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","White",5.2,6.7,6.2,6.1,9.9
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","Eligible For Reduced Lunch","*","*","*","*","*"
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","Asian","*","N/A","N/A","*","N/A"
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","Black or African American","*",96.6,"*",86.1,100.0
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","Eligible For Free Lunch","*",97.1,"*",87.8,99.3
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","Female",0.0,95.0,"*",81.8,100.0
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","Hispanic/Latino of any race","*",98.2,"*",85.4,98.3
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","Male","*",98.9,"*",90.7,98.7
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","Non-ELL","*",97.3,"*",86.9,99.3
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","Non-Special Education","*",97.0,"*",88.7,99.2
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","School","*",97.3,"*",86.9,99.3
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","Special Education","*","*",0.0,79.2,100.0
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","Two or More Races","*","*","N/A","N/A","*"
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","Grade   9",0.0,100.0,"*",94.6,100.0
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","Grade 10","*",90.5,"*",88.9,100.0
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","Grade 11",0.0,100.0,"*",91.2,100.0
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","Not Eligible For Lunch","*","*","*","*","*"
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","White","*","*","*","*","*"
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","Grade 12","*",100.0,0.0,71.9,96.8
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","Eligible For Reduced Lunch","*","*","*","*","*"
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""","Kindergarten","N/A","N/A","N/A","N/A",12.7
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""","Asian","N/A","N/A","N/A","N/A","*"
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""","Black or African American","N/A","N/A","N/A","N/A",10.7
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""","Eligible For Free Lunch","N/A","N/A","N/A","N/A",10.3
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""","Female","N/A","N/A","N/A","N/A","*"
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""","Grade   1","N/A","N/A","N/A","N/A","*"
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""","Hispanic/Latino of any race","N/A","N/A","N/A","N/A","*"
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""","Male","N/A","N/A","N/A","N/A","*"
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""","Non-ELL","N/A","N/A","N/A","N/A",8.2
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""","Non-Special Education","N/A","N/A","N/A","N/A",7.9
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""","School","N/A","N/A","N/A","N/A",8.2
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""","Special Education","N/A","N/A","N/A","N/A","*"
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""","Two or More Races","N/A","N/A","N/A","N/A","*"
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""","White","N/A","N/A","N/A","N/A","*"
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","American Indian or Alaska Native","N/A","N/A","N/A","N/A","*"
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","Asian","N/A","N/A","N/A","*","N/A"
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","Black or African American","N/A","N/A","N/A","*",24.3
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","ELL","N/A","N/A","N/A","*","*"
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","Eligible For Free Lunch","N/A","N/A","N/A","*",21.7
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","Female","N/A","N/A","N/A",0.0,14.8
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","Grade   7","N/A","N/A","N/A","N/A","*"
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","Grade   8","N/A","N/A","N/A","*","*"
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","Hispanic/Latino of any race","N/A","N/A","N/A","*",24.1
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","Male","N/A","N/A","N/A",9.3,24.7
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","Non-ELL","N/A","N/A","N/A",5.3,19.7
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","Non-Special Education","N/A","N/A","N/A","*",20.0
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","School","N/A","N/A","N/A",5.1,20.5
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","Special Education","N/A","N/A","N/A","*",21.2
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","Two or More Races","N/A","N/A","N/A","*","*"
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","Grade   9","N/A","N/A","N/A","*",20.7
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","Grade 10","N/A","N/A","N/A","*","*"
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","Grade 11","N/A","N/A","N/A",0.0,23.7
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","Not Eligible For Lunch","N/A","N/A","N/A","*",18.2
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","White","N/A","N/A","N/A",0.0,"*"
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","Grade 12","N/A","N/A","N/A","*",20.5
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","American Indian or Alaska Native","N/A","N/A","*","*","*"
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","Asian",11.8,"*","*",20.6,"*"
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","Black or African American",17.1,22.1,12.7,53.0,52.4
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","ELL","*",17.3,13.6,42.6,51.2
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","Eligible For Free Lunch",13.8,27.9,15.9,48.8,50.2
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","Female",14.0,20.8,9.5,39.9,40.7
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","Grade   6",7.8,15.2,8.0,39.4,42.9
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","Grade   7",16.8,17.3,11.4,33.0,36.6
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","Grade   8",18.1,30.6,11.6,44.4,40.7
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","Hispanic/Latino of any race",17.8,27.2,13.1,43.9,46.2
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","Male",14.2,21.4,11.3,38.4,39.2
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","Non-ELL",14.9,21.5,10.1,38.7,38.9
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","Non-Special Education",13.1,19.7,9.0,37.9,36.5
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","School",14.1,21.1,10.4,39.1,39.9
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","Special Education",20.2,29.0,18.7,44.7,53.8
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","Two or More Races","*","*","*","*","*"
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","Not Eligible For Lunch",15.1,15.9,5.8,28.3,26.9
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","White",9.7,15.0,6.3,25.9,21.5
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","Eligible For Reduced Lunch","*",14.9,"*",43.2,43.9
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Kindergarten",14.0,19.2,9.5,16.7,11.4
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Asian",21.1,19.0,"*",13.8,"*"
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Black or African American",13.3,13.0,11.1,13.8,10.4
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","ELL",12.9,12.3,9.8,13.3,5.6
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Eligible For Free Lunch",18.9,15.0,12.9,14.4,10.9
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Female",12.0,9.8,9.6,8.5,7.3
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Grade   1",11.3,10.8,11.1,5.1,7.2
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Grade   2",13.8,11.8,"*",11.7,"*"
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Grade   3",11.3,9.3,13.0,"*","*"
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Grade   4","*",7.8,7.1,6.9,"*"
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Grade   5",14.3,"*",7.2,13.4,12.4
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Hispanic/Latino of any race",14.2,13.8,12.4,9.7,8.7
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Male",11.0,11.5,8.1,10.6,6.7
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Native Hawaiian or Other Pacific Islander","N/A","N/A","N/A","N/A","*"
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Non-ELL",11.2,10.2,8.6,8.9,7.3
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Non-Special Education",10.6,10.6,8.7,9.7,6.1
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","School",11.5,10.6,8.8,9.6,7.0
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Special Education",19.6,"*","*","*",14.1
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Two or More Races","*","*","*","*","*"
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Not Eligible For Lunch",6.8,6.8,4.6,5.8,3.6
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","White",6.4,4.3,5.3,5.3,4.6
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Stamford School District","=""1350011""","Dolan School","=""1355311""","Asian","*","*","*","*","*"
"Stamford School District","=""1350011""","Dolan School","=""1355311""","Black or African American",12.6,11.0,"*",42.6,43.1
"Stamford School District","=""1350011""","Dolan School","=""1355311""","ELL",23.6,11.3,"*",34.4,24.4
"Stamford School District","=""1350011""","Dolan School","=""1355311""","Eligible For Free Lunch",20.0,18.8,5.2,39.3,33.8
"Stamford School District","=""1350011""","Dolan School","=""1355311""","Female",15.2,15.1,3.5,26.0,21.6
"Stamford School District","=""1350011""","Dolan School","=""1355311""","Grade   6",9.5,7.1,"*",23.0,19.4
"Stamford School District","=""1350011""","Dolan School","=""1355311""","Grade   7",14.0,19.5,3.5,30.2,19.8
"Stamford School District","=""1350011""","Dolan School","=""1355311""","Grade   8",18.7,17.3,4.3,26.6,28.6
"Stamford School District","=""1350011""","Dolan School","=""1355311""","Hispanic/Latino of any race",17.5,16.5,4.3,29.4,25.3
"Stamford School District","=""1350011""","Dolan School","=""1355311""","Male",13.5,14.2,2.6,27.5,23.8
"Stamford School District","=""1350011""","Dolan School","=""1355311""","Native Hawaiian or Other Pacific Islander","N/A","N/A","N/A","N/A","*"
"Stamford School District","=""1350011""","Dolan School","=""1355311""","Non-ELL",13.2,15.1,2.4,25.8,22.7
"Stamford School District","=""1350011""","Dolan School","=""1355311""","Non-Special Education",13.4,14.3,2.7,25.7,21.5
"Stamford School District","=""1350011""","Dolan School","=""1355311""","School",14.3,14.6,3.0,26.8,22.8
"Stamford School District","=""1350011""","Dolan School","=""1355311""","Special Education",19.0,17.1,"*",33.8,30.6
"Stamford School District","=""1350011""","Dolan School","=""1355311""","Two or More Races","*","*","*","*","*"
"Stamford School District","=""1350011""","Dolan School","=""1355311""","Not Eligible For Lunch",10.4,9.9,"*",16.3,14.9
"Stamford School District","=""1350011""","Dolan School","=""1355311""","White",12.4,14.8,"*",16.0,12.8
"Stamford School District","=""1350011""","Dolan School","=""1355311""","Eligible For Reduced Lunch","*",12.5,"*",21.4,"*"
"Stamford School District","=""1350011""","Hart School","=""1352211""","Kindergarten",13.3,15.4,16.8,12.5,11.1
"Stamford School District","=""1350011""","Hart School","=""1352211""","Asian",17.0,12.5,17.7,19.1,13.1
"Stamford School District","=""1350011""","Hart School","=""1352211""","Black or African American",7.5,9.4,7.8,6.3,"*"
"Stamford School District","=""1350011""","Hart School","=""1352211""","ELL",8.0,"*",7.1,8.4,12.8
"Stamford School District","=""1350011""","Hart School","=""1352211""","Eligible For Free Lunch",10.1,13.4,6.9,8.0,5.2
"Stamford School District","=""1350011""","Hart School","=""1352211""","Female",8.4,13.8,8.4,10.2,6.3
"Stamford School District","=""1350011""","Hart School","=""1352211""","Grade   1",9.9,10.5,6.7,12.2,10.7
"Stamford School District","=""1350011""","Hart School","=""1352211""","Grade   2",5.8,6.5,6.8,7.2,"*"
"Stamford School District","=""1350011""","Hart School","=""1352211""","Grade   3",10.7,9.1,"*",9.2,"*"
"Stamford School District","=""1350011""","Hart School","=""1352211""","Grade   4",10.3,14.1,7.8,6.3,"*"
"Stamford School District","=""1350011""","Hart School","=""1352211""","Grade   5","*",14.3,11.5,6.4,"*"
"Stamford School District","=""1350011""","Hart School","=""1352211""","Hispanic/Latino of any race",9.3,14.6,7.4,8.3,4.6
"Stamford School District","=""1350011""","Hart School","=""1352211""","Male",10.5,9.2,9.0,8.2,5.5
"Stamford School District","=""1350011""","Hart School","=""1352211""","Non-ELL",9.7,11.9,9.0,9.3,4.7
"Stamford School District","=""1350011""","Hart School","=""1352211""","Non-Special Education",8.8,11.1,8.6,9.2,6.2
"Stamford School District","=""1350011""","Hart School","=""1352211""","School",9.5,11.4,8.7,9.2,5.9
"Stamford School District","=""1350011""","Hart School","=""1352211""","Special Education",17.0,"*","*","*","*"
"Stamford School District","=""1350011""","Hart School","=""1352211""","Two or More Races","*","*","*","*","*"
"Stamford School District","=""1350011""","Hart School","=""1352211""","Not Eligible For Lunch",9.4,10.7,10.9,10.6,6.9
"Stamford School District","=""1350011""","Hart School","=""1352211""","White",5.2,7.3,4.6,"*","*"
"Stamford School District","=""1350011""","Hart School","=""1352211""","Eligible For Reduced Lunch","*","*","*","*","*"
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""","Black or African American","N/A","N/A","N/A","*","*"
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""","ELL","N/A","N/A","N/A","N/A","*"
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""","Female","N/A","N/A","N/A","*","*"
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""","Hispanic/Latino of any race","N/A","N/A","N/A","*","*"
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""","Male","N/A","N/A","N/A","*","*"
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""","Non-ELL","N/A","N/A","N/A","*","*"
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""","School","N/A","N/A","N/A","*","*"
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""","Special Education","N/A","N/A","N/A","*","*"
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""","White","N/A","N/A","N/A","*","*"
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""","Grade 12","N/A","N/A","N/A","*","*"
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Kindergarten",9.1,7.4,6.2,14.0,13.1
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","American Indian or Alaska Native","N/A","N/A","N/A","*","N/A"
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Asian","*","*","*","*","*"
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Black or African American","*",13.4,"*",15.6,12.9
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","ELL",6.1,7.4,6.3,11.5,8.0
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Eligible For Free Lunch",7.2,13.0,8.3,16.2,9.4
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Female",5.1,8.3,5.7,12.9,8.9
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Grade   1","*",13.5,6.3,11.1,7.2
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Grade   2","*",8.0,5.0,7.1,7.2
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Grade   3","*","*","*",13.8,6.9
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Grade   4","*",9.8,"*",11.4,6.7
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Grade   5","*",10.6,7.8,9.7,"*"
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Hispanic/Latino of any race",5.2,8.7,6.6,12.1,8.1
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Male",5.4,10.0,5.0,9.7,6.7
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Native Hawaiian or Other Pacific Islander","N/A","*","*","*","*"
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Non-ELL",5.1,9.5,5.2,11.2,7.8
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Non-Special Education",4.7,7.8,4.5,9.6,7.2
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","School",5.3,9.2,5.4,11.2,7.8
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Special Education",10.3,19.4,12.7,23.3,12.5
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Two or More Races","*","*","*","*","*"
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Not Eligible For Lunch",3.3,5.0,3.3,6.8,6.5
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","White",5.6,8.2,3.6,7.8,5.2
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Eligible For Reduced Lunch","*","*","*","*","*"
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Kindergarten",11.8,17.9,10.2,21.0,"*"
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Asian",15.4,23.5,22.9,20.3,7.5
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Black or African American","*",13.6,"*",13.3,"*"
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","ELL",6.3,10.7,12.9,12.4,8.0
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Eligible For Free Lunch",3.2,11.5,7.9,9.7,4.1
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Female",6.0,13.3,8.6,11.2,4.3
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Grade   1","*",15.7,9.6,13.2,7.5
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Grade   2","*",20.0,13.3,6.9,5.8
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Grade   3","*","*",8.3,12.7,"*"
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Grade   4","*",10.7,"*",12.7,0.0
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Grade   5","*","*","*","*","*"
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Hispanic/Latino of any race",3.5,10.5,5.8,7.1,2.7
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Male",3.1,12.1,9.1,12.8,4.7
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Native Hawaiian or Other Pacific Islander","N/A","N/A","N/A","N/A","*"
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Non-ELL",4.1,13.2,8.0,11.9,3.8
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Non-Special Education",5.0,12.1,8.3,12.5,4.3
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","School",4.6,12.7,8.8,12.0,4.5
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Special Education","*","*","*","*","*"
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Two or More Races","*","*","*","*","*"
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Not Eligible For Lunch",6.8,15.0,11.4,15.6,5.7
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","White","*",7.5,"*",15.1,"*"
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Eligible For Reduced Lunch","*","*","*","*",0.0
"Stamford School District","=""1350011""","Newfield School","=""1350611""","Kindergarten",15.6,25.0,21.4,18.6,14.4
"Stamford School District","=""1350011""","Newfield School","=""1350611""","Asian",16.9,22.9,22.9,16.7,24.0
"Stamford School District","=""1350011""","Newfield School","=""1350611""","Black or African American",10.0,13.6,13.4,8.1,"*"
"Stamford School District","=""1350011""","Newfield School","=""1350611""","ELL",16.9,23.8,12.6,14.2,7.3
"Stamford School District","=""1350011""","Newfield School","=""1350611""","Eligible For Free Lunch",12.6,18.4,14.9,12.7,7.3
"Stamford School District","=""1350011""","Newfield School","=""1350611""","Female",8.3,13.9,10.1,9.6,6.1
"Stamford School District","=""1350011""","Newfield School","=""1350611""","Grade   1",12.8,15.3,13.5,6.6,7.1
"Stamford School District","=""1350011""","Newfield School","=""1350611""","Grade   2",12.4,12.5,8.5,7.0,"*"
"Stamford School District","=""1350011""","Newfield School","=""1350611""","Grade   3",10.6,11.1,8.2,7.4,5.4
"Stamford School District","=""1350011""","Newfield School","=""1350611""","Grade   4","*",9.6,8.8,6.3,"*"
"Stamford School District","=""1350011""","Newfield School","=""1350611""","Grade   5",9.0,"*",9.3,8.5,"*"
"Stamford School District","=""1350011""","Newfield School","=""1350611""","Hispanic/Latino of any race",13.7,17.8,11.9,13.9,7.8
"Stamford School District","=""1350011""","Newfield School","=""1350611""","Male",13.4,13.7,12.8,9.4,7.1
"Stamford School District","=""1350011""","Newfield School","=""1350611""","Non-ELL",9.4,11.6,11.2,8.4,6.4
"Stamford School District","=""1350011""","Newfield School","=""1350611""","Non-Special Education",10.3,13.7,11.6,9.2,6.3
"Stamford School District","=""1350011""","Newfield School","=""1350611""","School",10.8,13.8,11.5,9.5,6.6
