"Chronic Absenteeism, 2014-15"
", All Schools, Gender"

"District","District Code","School","School Code","Gender","% Chronically Absent"
"Stonington School District","=""1370011""","West Broad Street School","=""1370411""","Female","*"
"Stonington School District","=""1370011""","West Broad Street School","=""1370411""","Male","*"
"Stonington School District","=""1370011""","West Vine Street School","=""1370611""","Female",10.9
"Stonington School District","=""1370011""","West Vine Street School","=""1370611""","Male",18.3
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""","Female",7.2
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""","Male",3.0
"Stratford School District","=""1380011""","ABA Second Hill Lane","=""1380611""","Female","*"
"Stratford School District","=""1380011""","ABA Second Hill Lane","=""1380611""","Male","*"
"Stratford School District","=""1380011""","ALPHA","=""1380511""","Female","*"
"Stratford School District","=""1380011""","ALPHA","=""1380511""","Male","*"
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""","Female",14.2
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""","Male",10.1
"Stratford School District","=""1380011""","Chapel School","=""1380311""","Female",6.1
"Stratford School District","=""1380011""","Chapel School","=""1380311""","Male",4.9
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""","Female",12.3
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""","Male",10.3
"Stratford School District","=""1380011""","Franklin STEPS K-2","=""1382111""","Male","*"
"Stratford School District","=""1380011""","Franklin School","=""1380411""","Female",9.8
"Stratford School District","=""1380011""","Franklin School","=""1380411""","Male",13.0
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""","Female",13.5
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""","Male",9.2
"Stratford School District","=""1380011""","High School STEPS 9-12","=""1382011""","Male","*"
"Stratford School District","=""1380011""","High School Sails","=""1380711""","Female","*"
"Stratford School District","=""1380011""","High School Sails","=""1380711""","Male","*"
"Stratford School District","=""1380011""","Honeyspot School","=""1381611""","Female",7.6
"Stratford School District","=""1380011""","Honeyspot School","=""1381611""","Male",9.2
"Stratford School District","=""1380011""","IPP Classroom - Johnson","=""1381111""","Female","*"
"Stratford School District","=""1380011""","IPP Classroom - Johnson","=""1381111""","Male","*"
"Stratford School District","=""1380011""","Intensive Need Classroom","=""1381711""","Female","*"
"Stratford School District","=""1380011""","Intensive Need Classroom","=""1381711""","Male","*"
"Stratford School District","=""1380011""","Johnson House STEPS 3-6","=""1381211""","Female","*"
"Stratford School District","=""1380011""","Johnson House STEPS 3-6","=""1381211""","Male","*"
"Stratford School District","=""1380011""","Lordship School","=""1380811""","Female",7.9
"Stratford School District","=""1380011""","Lordship School","=""1380811""","Male",11.0
"Stratford School District","=""1380011""","Middle School STEPS 7-8","=""1381911""","Male","*"
"Stratford School District","=""1380011""","Middle School Sails","=""1381811""","Male","*"
"Stratford School District","=""1380011""","Nichols School","=""1380911""","Female",6.1
"Stratford School District","=""1380011""","Nichols School","=""1380911""","Male",4.1
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""","Female",9.7
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""","Male",3.8
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""","Female",6.1
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""","Male",6.7
"Stratford School District","=""1380011""","Stratford High School","=""1386111""","Female",20.0
"Stratford School District","=""1380011""","Stratford High School","=""1386111""","Male",15.4
"Stratford School District","=""1380011""","Strive-Stratford","=""1389011""","Female","*"
"Stratford School District","=""1380011""","Strive-Stratford","=""1389011""","Male","*"
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""","Female",4.1
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""","Male",4.4
"Suffield School District","=""1390011""","A. Ward Spaulding School","=""1390411""","Female","*"
"Suffield School District","=""1390011""","A. Ward Spaulding School","=""1390411""","Male",0.0
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""","Female",0.0
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""","Male",0.0
"Suffield School District","=""1390011""","Suffield High School","=""1396111""","Female",3.5
"Suffield School District","=""1390011""","Suffield High School","=""1396111""","Male",3.2
"Suffield School District","=""1390011""","Suffield Middle School","=""1395111""","Female",0.0
"Suffield School District","=""1390011""","Suffield Middle School","=""1395111""","Male",0.0
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""","Female",7.9
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""","Male",7.4
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""","Female",23.3
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""","Male",23.5
"Thomaston School District","=""1400011""","Black Rock School","=""1400111""","Female","*"
"Thomaston School District","=""1400011""","Black Rock School","=""1400111""","Male","*"
"Thomaston School District","=""1400011""","Thomaston Center School","=""1400211""","Female","*"
"Thomaston School District","=""1400011""","Thomaston Center School","=""1400211""","Male","*"
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""","Female",9.3
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""","Male",7.5
"Thompson School District","=""1410011""","District Autism Program","=""1410211""","Male","*"
"Thompson School District","=""1410011""","Mary R. Fisher Elementary School","=""1410111""","Female","*"
"Thompson School District","=""1410011""","Mary R. Fisher Elementary School","=""1410111""","Male","*"
"Thompson School District","=""1410011""","Thompson Middle School","=""1415111""","Female",5.5
"Thompson School District","=""1410011""","Thompson Middle School","=""1415111""","Male",5.6
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""","Female",9.0
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""","Male",10.9
"Tolland School District","=""1420011""","Birch Grove Primary School","=""1420111""","Female",0.0
"Tolland School District","=""1420011""","Birch Grove Primary School","=""1420111""","Male",0.0
"Tolland School District","=""1420011""","TALC","=""1420311""","Female","*"
"Tolland School District","=""1420011""","TALC","=""1420311""","Male","*"
"Tolland School District","=""1420011""","Tolland High School","=""1426111""","Female",9.0
"Tolland School District","=""1420011""","Tolland High School","=""1426111""","Male",6.5
"Tolland School District","=""1420011""","Tolland Intermediate School","=""1420211""","Female","*"
"Tolland School District","=""1420011""","Tolland Intermediate School","=""1420211""","Male","*"
"Tolland School District","=""1420011""","Tolland Middle School","=""1425111""","Female",2.9
"Tolland School District","=""1420011""","Tolland Middle School","=""1425111""","Male",3.3
"Torrington School District","=""1430011""","East School","=""1430111""","Female","*"
"Torrington School District","=""1430011""","East School","=""1430111""","Male",6.2
"Torrington School District","=""1430011""","East - The Learning Center","=""1431811""","Male","*"
"Torrington School District","=""1430011""","Forbes School","=""1430211""","Female",6.0
"Torrington School District","=""1430011""","Forbes School","=""1430211""","Male",8.1
"Torrington School District","=""1430011""","Migeon Academy","=""1431411""","Female","*"
"Torrington School District","=""1430011""","Migeon Academy","=""1431411""","Male","*"
"Torrington School District","=""1430011""","Southwest School","=""1430811""","Female",7.5
"Torrington School District","=""1430011""","Southwest School","=""1430811""","Male",7.6
"Torrington School District","=""1430011""","Torringford School","=""1430911""","Female",4.7
"Torrington School District","=""1430011""","Torringford School","=""1430911""","Male",6.5
"Torrington School District","=""1430011""","Torrington High School","=""1436111""","Female",15.9
"Torrington School District","=""1430011""","Torrington High School","=""1436111""","Male",18.0
"Torrington School District","=""1430011""","Torrington Middle School","=""1435111""","Female",14.1
"Torrington School District","=""1430011""","Torrington Middle School","=""1435111""","Male",12.2
"Torrington School District","=""1430011""","Vogel-Wetmore / Reach","=""1431711""","Male","*"
"Torrington School District","=""1430011""","Vogel-Wetmore School","=""1431311""","Female",8.1
"Torrington School District","=""1430011""","Vogel-Wetmore School","=""1431311""","Male",4.2
"Trailblazers Academy District","=""2780013""","Trailblazers Academy","=""2785113""","Female",63.3
"Trailblazers Academy District","=""2780013""","Trailblazers Academy","=""2785113""","Male",68.0
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""","Female",4.7
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""","Male",3.2
"Trumbull School District","=""1440011""","Daniels Farm School","=""1440811""","Female",4.6
"Trumbull School District","=""1440011""","Daniels Farm School","=""1440811""","Male",3.8
"Trumbull School District","=""1440011""","Frenchtown Elementary School","=""1441011""","Female",2.6
"Trumbull School District","=""1440011""","Frenchtown Elementary School","=""1441011""","Male",3.7
"Trumbull School District","=""1440011""","Hillcrest Middle School","=""1445211""","Female",6.8
"Trumbull School District","=""1440011""","Hillcrest Middle School","=""1445211""","Male",5.7
"Trumbull School District","=""1440011""","Jane Ryan School","=""1440411""","Female","*"
"Trumbull School District","=""1440011""","Jane Ryan School","=""1440411""","Male","*"
"Trumbull School District","=""1440011""","Madison Middle School","=""1445111""","Female",3.2
"Trumbull School District","=""1440011""","Madison Middle School","=""1445111""","Male",3.2
"Trumbull School District","=""1440011""","Middlebrook School","=""1440311""","Female",4.7
"Trumbull School District","=""1440011""","Middlebrook School","=""1440311""","Male",4.3
"Trumbull School District","=""1440011""","REACH","=""1440511""","Female","*"
"Trumbull School District","=""1440011""","REACH","=""1440511""","Male","*"
"Trumbull School District","=""1440011""","Tashua School","=""1440911""","Female","*"
"Trumbull School District","=""1440011""","Tashua School","=""1440911""","Male","*"
"Trumbull School District","=""1440011""","Trumbull Alternative School","=""1440211""","Female","*"
"Trumbull School District","=""1440011""","Trumbull Alternative School","=""1440211""","Male","*"
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""","Female",3.0
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""","Male",1.6
"Unified School District #1","=""3360015""","Bridgeport Correctional Center","=""3360115""","Male","*"
"Unified School District #1","=""3360015""","Brooklyn Correctional Institution","=""3360215""","Male","*"
"Unified School District #1","=""3360015""","Cheshire Correctional Institution","=""3360315""","Male","*"
"Unified School District #1","=""3360015""","Corrigan/Radgowski Correctional Institution","=""3362415""","Male","*"
"Unified School District #1","=""3360015""","Enfield Correctional Institution","=""3360415""","Male","*"
"Unified School District #1","=""3360015""","Garner Correctional Institution","=""3361915""","Male",51.7
"Unified School District #1","=""3360015""","Hartford Correctional Center","=""3360615""","Male","*"
"Unified School District #1","=""3360015""","MacDougall/Walker Correctional Institution","=""3362215""","Male","*"
"Unified School District #1","=""3360015""","Manson Youth Institution","=""3361115""","Male",30.7
"Unified School District #1","=""3360015""","New Haven Correctional Center","=""3360915""","Male","*"
"Unified School District #1","=""3360015""","Northern Correctional Institution","=""3362615""","Male","*"
"Unified School District #1","=""3360015""","Osborn Correctional Institution","=""3361215""","Male","*"
"Unified School District #1","=""3360015""","Robinson Correctional Institution","=""3361315""","Male","*"
"Unified School District #1","=""3360015""","Willard/Cybulski Correctional Institution","=""3361515""","Male","*"
"Unified School District #1","=""3360015""","York Correctional Institution","=""3362515""","Female","*"
"Unified School District #2","=""3470015""","Children's Place School","=""3470115""","Male","*"
"Unified School District #2","=""3470015""","Riverview School","=""3470315""","Female","*"
"Unified School District #2","=""3470015""","Riverview School","=""3470315""","Male","*"
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""","Female","*"
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""","Male","*"
"Union School District","=""1450011""","Union Elementary School","=""1450111""","Female","*"
"Union School District","=""1450011""","Union Elementary School","=""1450111""","Male","*"
"Vernon School District","=""1460011""","Northeast School","=""1460311""","Female",5.8
"Vernon School District","=""1460011""","Northeast School","=""1460311""","Male",6.7
"Vernon School District","=""1460011""","Center Road School","=""1461411""","Female","*"
"Vernon School District","=""1460011""","Center Road School","=""1461411""","Male","*"
"Vernon School District","=""1460011""","Lake Street School","=""1460111""","Female","*"
"Vernon School District","=""1460011""","Lake Street School","=""1460111""","Male","*"
"Vernon School District","=""1460011""","Loveland Hill School","=""1460511""","Female","*"
"Vernon School District","=""1460011""","Loveland Hill School","=""1460511""","Male","*"
"Vernon School District","=""1460011""","Maple Street School","=""1460211""","Female",11.8
"Vernon School District","=""1460011""","Maple Street School","=""1460211""","Male",9.4
"Vernon School District","=""1460011""","Next Step Program (AACBP)","=""1469011""","Female","*"
"Vernon School District","=""1460011""","Next Step Program (AACBP)","=""1469011""","Male","*"
"Vernon School District","=""1460011""","Rockville High School","=""1466111""","Female",16.4
"Vernon School District","=""1460011""","Rockville High School","=""1466111""","Male",16.8
"Vernon School District","=""1460011""","Skinner Road School","=""1461011""","Female",10.6
"Vernon School District","=""1460011""","Skinner Road School","=""1461011""","Male",10.0
"Vernon School District","=""1460011""","Vernon Center Middle School","=""1465111""","Female",6.2
"Vernon School District","=""1460011""","Vernon Center Middle School","=""1465111""","Male",5.4
"Voluntown School District","=""1470011""","Voluntown Elementary School","=""1470111""","Female","*"
"Voluntown School District","=""1470011""","Voluntown Elementary School","=""1470111""","Male","*"
"Wallingford School District","=""1480011""","Highland School","=""1480211""","Female","*"
"Wallingford School District","=""1480011""","Highland School","=""1480211""","Male","*"
"Wallingford School District","=""1480011""","A.R.T.S. Academy","=""1489011""","Female","*"
"Wallingford School District","=""1480011""","A.R.T.S. Academy","=""1489011""","Male","*"
"Wallingford School District","=""1480011""","Cook Hill School","=""1481011""","Female","*"
"Wallingford School District","=""1480011""","Cook Hill School","=""1481011""","Male","*"
"Wallingford School District","=""1480011""","Dag  Hammarskjold Middle School","=""1485211""","Female",3.8
"Wallingford School District","=""1480011""","Dag  Hammarskjold Middle School","=""1485211""","Male",3.2
"Wallingford School District","=""1480011""","Education Enhancement Program","=""1480511""","Female","*"
"Wallingford School District","=""1480011""","Education Enhancement Program","=""1480511""","Male","*"
"Wallingford School District","=""1480011""","Evarts C. Stevens School","=""1480911""","Female",4.3
"Wallingford School District","=""1480011""","Evarts C. Stevens School","=""1480911""","Male",4.8
"Wallingford School District","=""1480011""","Harvest Park","=""1489211""","Female","*"
"Wallingford School District","=""1480011""","Harvest Park","=""1489211""","Male","*"
"Wallingford School District","=""1480011""","James H. Moran Middle School","=""1485311""","Female",3.7
"Wallingford School District","=""1480011""","James H. Moran Middle School","=""1485311""","Male",5.2
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""","Female",7.7
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""","Male",6.4
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""","Female",6.6
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""","Male",8.9
"Wallingford School District","=""1480011""","Moses Y. Beach School","=""1480111""","Female","*"
"Wallingford School District","=""1480011""","Moses Y. Beach School","=""1480111""","Male","*"
"Wallingford School District","=""1480011""","Multi-Vocational Life Skills Program","=""1489111""","Female","*"
"Wallingford School District","=""1480011""","Multi-Vocational Life Skills Program","=""1489111""","Male","*"
"Wallingford School District","=""1480011""","Parker Farms School","=""1480311""","Female",4.5
"Wallingford School District","=""1480011""","Parker Farms School","=""1480311""","Male",4.5
"Wallingford School District","=""1480011""","Pond Hill School","=""1481211""","Female","*"
"Wallingford School District","=""1480011""","Pond Hill School","=""1481211""","Male","*"
"Wallingford School District","=""1480011""","Rock Hill School","=""1480411""","Female",4.5
"Wallingford School District","=""1480011""","Rock Hill School","=""1480411""","Male",4.4
"Wallingford School District","=""1480011""","Yalesville School","=""1480811""","Female","*"
"Wallingford School District","=""1480011""","Yalesville School","=""1480811""","Male","*"
"Waterbury School District","=""1510011""","West Side Middle School","=""1515211""","Female",13.9
"Waterbury School District","=""1510011""","West Side Middle School","=""1515211""","Male",22.1
"Waterbury School District","=""1510011""","Washington School","=""1512311""","Female",8.9
"Waterbury School District","=""1510011""","Washington School","=""1512311""","Male",15.0
"Waterbury School District","=""1510011""","B. W. Tinker School","=""1512111""","Female",8.2
"Waterbury School District","=""1510011""","B. W. Tinker School","=""1512111""","Male",10.2
"Waterbury School District","=""1510011""","Bucks Hill School","=""1510511""","Female",17.2
"Waterbury School District","=""1510011""","Bucks Hill School","=""1510511""","Male",15.5
"Waterbury School District","=""1510011""","Bunker Hill School","=""1510611""","Female",18.2
"Waterbury School District","=""1510011""","Bunker Hill School","=""1510611""","Male",23.2
"Waterbury School District","=""1510011""","Carrington School","=""1512711""","Female",10.5
"Waterbury School District","=""1510011""","Carrington School","=""1512711""","Male",7.8
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""","Female",35.6
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""","Male",33.7
"Waterbury School District","=""1510011""","Driggs School","=""1510911""","Female",15.2
"Waterbury School District","=""1510011""","Driggs School","=""1510911""","Male",17.7
"Waterbury School District","=""1510011""","Duggan School","=""1511611""","Female",7.6
"Waterbury School District","=""1510011""","Duggan School","=""1511611""","Male",11.1
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""","Female",95.9
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""","Male",92.5
"Waterbury School District","=""1510011""","F. J. Kingsbury School","=""1511411""","Female",9.6
"Waterbury School District","=""1510011""","F. J. Kingsbury School","=""1511411""","Male",16.4
"Waterbury School District","=""1510011""","Gilmartin School","=""1512611""","Female",7.6
"Waterbury School District","=""1510011""","Gilmartin School","=""1512611""","Male",16.6
"Waterbury School District","=""1510011""","H. S. Chase School","=""1510711""","Female",7.3
"Waterbury School District","=""1510011""","H. S. Chase School","=""1510711""","Male",8.3
"Waterbury School District","=""1510011""","Hopeville School","=""1511311""","Female",16.9
"Waterbury School District","=""1510011""","Hopeville School","=""1511311""","Male",17.7
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""","Female",25.2
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""","Male",28.7
"Waterbury School District","=""1510011""","Maloney Interdistrict Magnet School","=""1513111""","Female","*"
"Waterbury School District","=""1510011""","Maloney Interdistrict Magnet School","=""1513111""","Male","*"
"Waterbury School District","=""1510011""","Margaret M. Generali Elementary School","=""1511111""","Female",12.2
"Waterbury School District","=""1510011""","Margaret M. Generali Elementary School","=""1511111""","Male",13.2
"Waterbury School District","=""1510011""","Michael F. Wallace Middle School","=""1515111""","Female",16.6
"Waterbury School District","=""1510011""","Michael F. Wallace Middle School","=""1515111""","Male",21.6
"Waterbury School District","=""1510011""","North End Middle School","=""1515311""","Female",15.0
"Waterbury School District","=""1510011""","North End Middle School","=""1515311""","Male",19.5
"Waterbury School District","=""1510011""","Reed School","=""1513411""","Female",13.1
"Waterbury School District","=""1510011""","Reed School","=""1513411""","Male",16.2
"Waterbury School District","=""1510011""","Regan School","=""1512811""","Female",7.4
"Waterbury School District","=""1510011""","Regan School","=""1512811""","Male",13.4
"Waterbury School District","=""1510011""","Rotella Interdistrict Magnet School","=""1513311""","Female","*"
"Waterbury School District","=""1510011""","Rotella Interdistrict Magnet School","=""1513311""","Male","*"
"Waterbury School District","=""1510011""","Sprague School","=""1512011""","Female",17.5
"Waterbury School District","=""1510011""","Sprague School","=""1512011""","Male",13.4
"Waterbury School District","=""1510011""","State Street School","=""1519011""","Female",87.0
"Waterbury School District","=""1510011""","State Street School","=""1519011""","Male",79.5
"Waterbury School District","=""1510011""","Walsh School","=""1512211""","Female",17.3
"Waterbury School District","=""1510011""","Walsh School","=""1512211""","Male",25.8
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""","Female",15.3
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""","Male",8.8
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (Middle)","=""1515011""","Female","*"
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (Middle)","=""1515011""","Male","*"
"Waterbury School District","=""1510011""","Waterbury Career Academy","=""1516711""","Female",5.1
"Waterbury School District","=""1510011""","Waterbury Career Academy","=""1516711""","Male",3.5
"Waterbury School District","=""1510011""","Wendell L. Cross School","=""1510811""","Female",7.9
"Waterbury School District","=""1510011""","Wendell L. Cross School","=""1510811""","Male",10.3
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""","Female",42.5
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""","Male",37.3
"Waterbury School District","=""1510011""","Woodrow Wilson School","=""1513211""","Female",19.8
"Waterbury School District","=""1510011""","Woodrow Wilson School","=""1513211""","Male",17.9
"Waterford School District","=""1520011""","Autism Class","=""1521111""","Male","*"
"Waterford School District","=""1520011""","Clark Lane Middle School","=""1525111""","Female",6.2
"Waterford School District","=""1520011""","Clark Lane Middle School","=""1525111""","Male",6.5
"Waterford School District","=""1520011""","Great Neck Elementary School","=""1520211""","Female","*"
"Waterford School District","=""1520011""","Great Neck Elementary School","=""1520211""","Male","*"
"Waterford School District","=""1520011""","Oswegatchie Elementary School","=""1520611""","Female",4.5
"Waterford School District","=""1520011""","Oswegatchie Elementary School","=""1520611""","Male",4.1
"Waterford School District","=""1520011""","Quaker Hill Elementary School","=""1520711""","Female",8.4
"Waterford School District","=""1520011""","Quaker Hill Elementary School","=""1520711""","Male",4.5
"Waterford School District","=""1520011""","Waterford High School","=""1526111""","Female",10.1
"Waterford School District","=""1520011""","Waterford High School","=""1526111""","Male",5.3
"Waterford School District","=""1520011""","Waterford High School Tutor Center","=""1521211""","Female","*"
"Watertown School District","=""1530011""","Fletcher W. Judson School","=""1530311""","Female","*"
"Watertown School District","=""1530011""","Fletcher W. Judson School","=""1530311""","Male","*"
"Watertown School District","=""1530011""","John Trumbull Primary School","=""1530211""","Female",6.4
"Watertown School District","=""1530011""","John Trumbull Primary School","=""1530211""","Male",6.0
"Watertown School District","=""1530011""","Polk School","=""1530411""","Female",4.8
"Watertown School District","=""1530011""","Polk School","=""1530411""","Male",4.3
"Watertown School District","=""1530011""","Swift Middle School","=""1535111""","Female",6.1
"Watertown School District","=""1530011""","Swift Middle School","=""1535111""","Male",3.5
"Watertown School District","=""1530011""","Watertown High School","=""1536111""","Female",22.0
"Watertown School District","=""1530011""","Watertown High School","=""1536111""","Male",16.0
"West Hartford School District","=""1550011""","Smith School","=""1551711""","Female",9.2
"West Hartford School District","=""1550011""","Smith School","=""1551711""","Male",4.7
"West Hartford School District","=""1550011""","Achieve","=""1559111""","Female","*"
"West Hartford School District","=""1550011""","Achieve","=""1559111""","Male","*"
"West Hartford School District","=""1550011""","REACH","=""1557311""","Female","*"
"West Hartford School District","=""1550011""","REACH","=""1557311""","Male","*"
"West Hartford School District","=""1550011""","Aiken School","=""1551611""","Female",3.6
"West Hartford School District","=""1550011""","Aiken School","=""1551611""","Male",3.9
"West Hartford School District","=""1550011""","Braeburn Learning Center","=""1559311""","Male","*"
"West Hartford School District","=""1550011""","Braeburn School","=""1550211""","Female",5.5
"West Hartford School District","=""1550011""","Braeburn School","=""1550211""","Male",4.8
"West Hartford School District","=""1550011""","Bristow Middle School","=""1555311""","Female","*"
"West Hartford School District","=""1550011""","Bristow Middle School","=""1555311""","Male","*"
"West Hartford School District","=""1550011""","Bugbee School","=""1550411""","Female",5.0
"West Hartford School District","=""1550011""","Bugbee School","=""1550411""","Male",0.0
"West Hartford School District","=""1550011""","Charter Oak International Academy","=""1550511""","Female",5.4
"West Hartford School District","=""1550011""","Charter Oak International Academy","=""1550511""","Male",4.4
"West Hartford School District","=""1550011""","Conard High School","=""1556111""","Female",6.8
"West Hartford School District","=""1550011""","Conard High School","=""1556111""","Male",5.4
"West Hartford School District","=""1550011""","Duffy School","=""1550611""","Female",2.8
"West Hartford School District","=""1550011""","Duffy School","=""1550611""","Male",2.4
"West Hartford School District","=""1550011""","Hall High School","=""1556211""","Female",5.2
"West Hartford School District","=""1550011""","Hall High School","=""1556211""","Male",5.6
"West Hartford School District","=""1550011""","King Philip Middle School","=""1555111""","Female",4.2
"West Hartford School District","=""1550011""","King Philip Middle School","=""1555111""","Male",4.2
"West Hartford School District","=""1550011""","Morley School","=""1550911""","Female","*"
"West Hartford School District","=""1550011""","Morley School","=""1550911""","Male","*"
"West Hartford School District","=""1550011""","Norfeldt Learning Center","=""1559411""","Female","*"
"West Hartford School District","=""1550011""","Norfeldt Learning Center","=""1559411""","Male","*"
"West Hartford School District","=""1550011""","Norfeldt School","=""1551011""","Female",4.4
"West Hartford School District","=""1550011""","Norfeldt School","=""1551011""","Male",3.4
"West Hartford School District","=""1550011""","STRIVE-West Hartford","=""1559211""","Female","*"
"West Hartford School District","=""1550011""","STRIVE-West Hartford","=""1559211""","Male","*"
"West Hartford School District","=""1550011""","Sedgwick Middle School","=""1555211""","Female",5.4
"West Hartford School District","=""1550011""","Sedgwick Middle School","=""1555211""","Male",8.0
"West Hartford School District","=""1550011""","WAAVE (W Hartford Applied Academic/Voc'l Experience)","=""1559011""","Female","*"
"West Hartford School District","=""1550011""","WAAVE (W Hartford Applied Academic/Voc'l Experience)","=""1559011""","Male","*"
"West Hartford School District","=""1550011""","Webster Hill School","=""1551211""","Female",5.0
"West Hartford School District","=""1550011""","Webster Hill School","=""1551211""","Male",7.2
"West Hartford School District","=""1550011""","Whiting Lane Learning Center","=""1559511""","Male","*"
"West Hartford School District","=""1550011""","Whiting Lane School","=""1551311""","Female",7.8
"West Hartford School District","=""1550011""","Whiting Lane School","=""1551311""","Male",4.1
"West Hartford School District","=""1550011""","Wolcott Learning Center","=""1559611""","Female","*"
"West Hartford School District","=""1550011""","Wolcott Learning Center","=""1559611""","Male","*"
"West Hartford School District","=""1550011""","Wolcott School","=""1551511""","Female",4.0
"West Hartford School District","=""1550011""","Wolcott School","=""1551511""","Male",5.5
"West Haven School District","=""1560011""","Washington School","=""1561211""","Female",16.1
"West Haven School District","=""1560011""","Washington School","=""1561211""","Male",17.3
"West Haven School District","=""1560011""","Alma E. Pagels School","=""1560811""","Female",10.9
"West Haven School District","=""1560011""","Alma E. Pagels School","=""1560811""","Male",12.3
"West Haven School District","=""1560011""","Carrigan 5/6 Intermediate School","=""1565311""","Female",15.3
"West Haven School District","=""1560011""","Carrigan 5/6 Intermediate School","=""1565311""","Male",13.9
"West Haven School District","=""1560011""","Edith E. Mackrille School","=""1560611""","Female","*"
"West Haven School District","=""1560011""","Edith E. Mackrille School","=""1560611""","Male","*"
"West Haven School District","=""1560011""","Forest School","=""1560311""","Female",13.7
"West Haven School District","=""1560011""","Forest School","=""1560311""","Male",12.9
"West Haven School District","=""1560011""","Harry M. Bailey Middle School","=""1565111""","Female",22.9
"West Haven School District","=""1560011""","Harry M. Bailey Middle School","=""1565111""","Male",21.8
"West Haven School District","=""1560011""","Life Skills","=""1560111""","Female","*"
"West Haven School District","=""1560011""","Life Skills","=""1560111""","Male","*"
"West Haven School District","=""1560011""","PACE","=""1560211""","Female","*"
"West Haven School District","=""1560011""","PACE","=""1560211""","Male","*"
"West Haven School District","=""1560011""","Savin Rock Community School","=""1561411""","Female",14.7
"West Haven School District","=""1560011""","Savin Rock Community School","=""1561411""","Male",11.6
"West Haven School District","=""1560011""","Seth G. Haley School","=""1560411""","Female",10.2
"West Haven School District","=""1560011""","Seth G. Haley School","=""1560411""","Male",10.8
"West Haven School District","=""1560011""","West Haven High School","=""1566111""","Female",18.7
"West Haven School District","=""1560011""","West Haven High School","=""1566111""","Male",17.0
"Westbrook School District","=""1540011""","Daisy Ingraham School","=""1540211""","Female","*"
"Westbrook School District","=""1540011""","Daisy Ingraham School","=""1540211""","Male","*"
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""","Female","*"
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""","Male","*"
"Westbrook School District","=""1540011""","Westbrook Middle School","=""1545111""","Female","*"
"Westbrook School District","=""1540011""","Westbrook Middle School","=""1545111""","Male",0.0
"Weston School District","=""1570011""","Hurlbutt Elementary School","=""1570111""","Female",5.8
"Weston School District","=""1570011""","Hurlbutt Elementary School","=""1570111""","Male",3.2
"Weston School District","=""1570011""","Weston High School","=""1576111""","Female",5.8
"Weston School District","=""1570011""","Weston High School","=""1576111""","Male",4.8
"Weston School District","=""1570011""","Weston Intermediate School","=""1570211""","Female",5.7
