"Chronic Absenteeism, 2015-16"
"State of Connecticut, All Schools, Grade"

"Organization","School","School Code","Grade","% Chronically Absent"
"Torrington School District","Forbes School","=""1430211""","Kindergarten","*"
"Torrington School District","Forbes School","=""1430211""","Grade   1","*"
"Torrington School District","Forbes School","=""1430211""","Grade   2","*"
"Torrington School District","Forbes School","=""1430211""","Grade   3","*"
"Torrington School District","Forbes School","=""1430211""","Grade   4","*"
"Torrington School District","Forbes School","=""1430211""","Grade   5",13.2
"Torrington School District","Southwest School","=""1430811""","Kindergarten","*"
"Torrington School District","Southwest School","=""1430811""","Grade   1","*"
"Torrington School District","Southwest School","=""1430811""","Grade   2","*"
"Torrington School District","Southwest School","=""1430811""","Grade   3","*"
"Torrington School District","Southwest School","=""1430811""","Grade   4","*"
"Torrington School District","Southwest School","=""1430811""","Grade   5","*"
"Torrington School District","Torringford / ABC","=""1432411""","Kindergarten","*"
"Torrington School District","Torringford / ABC","=""1432411""","Grade   1","*"
"Torrington School District","Torringford School","=""1430911""","Kindergarten","*"
"Torrington School District","Torringford School","=""1430911""","Grade   1","*"
"Torrington School District","Torringford School","=""1430911""","Grade   2",5.7
"Torrington School District","Torringford School","=""1430911""","Grade   3","*"
"Torrington School District","Torringford School","=""1430911""","Grade   4",5.0
"Torrington School District","Torringford School","=""1430911""","Grade   5",7.1
"Torrington School District","Vogel-Wetmore School","=""1431311""","Kindergarten",6.8
"Torrington School District","Vogel-Wetmore School","=""1431311""","Grade   1","*"
"Torrington School District","Vogel-Wetmore School","=""1431311""","Grade   2","*"
"Torrington School District","Vogel-Wetmore School","=""1431311""","Grade   3","*"
"Torrington School District","Vogel-Wetmore School","=""1431311""","Grade   4","*"
"Torrington School District","Vogel-Wetmore School","=""1431311""","Grade   5","*"
"Torrington School District","ABC / Forbes School","=""1431511""","Grade   2","*"
"Torrington School District","ABC / Forbes School","=""1431511""","Grade   3","*"
"Torrington School District","Torrington Middle School","=""1435111""","Grade   6",10.4
"Torrington School District","Torrington Middle School","=""1435111""","Grade   7",14.3
"Torrington School District","Torrington Middle School","=""1435111""","Grade   8",11.3
"Torrington School District","Torrington High School","=""1436111""","Grade   9",9.6
"Torrington School District","Torrington High School","=""1436111""","Grade 10",15.9
"Torrington School District","Torrington High School","=""1436111""","Grade 11",17.9
"Torrington School District","Torrington High School","=""1436111""","Grade 12",18.4
"Torrington School District","Migeon Academy","=""1431411""","Grade 10","*"
"Torrington School District","Migeon Academy","=""1431411""","Grade 11","*"
"Torrington School District","Migeon Academy","=""1431411""","Grade 12","*"
"Trailblazers Academy District","Trailblazers Academy","=""2785113""","Grade   6",11.8
"Trailblazers Academy District","Trailblazers Academy","=""2785113""","Grade   7",18.9
"Trailblazers Academy District","Trailblazers Academy","=""2785113""","Grade   8",26.8
"Trumbull School District","Booth Hill School","=""1440111""","Kindergarten","*"
"Trumbull School District","Booth Hill School","=""1440111""","Grade   1","*"
"Trumbull School District","Booth Hill School","=""1440111""","Grade   2","*"
"Trumbull School District","Booth Hill School","=""1440111""","Grade   3","*"
"Trumbull School District","Booth Hill School","=""1440111""","Grade   4",0.0
"Trumbull School District","Booth Hill School","=""1440111""","Grade   5","*"
"Trumbull School District","Daniels Farm School","=""1440811""","Kindergarten","*"
"Trumbull School District","Daniels Farm School","=""1440811""","Grade   1","*"
"Trumbull School District","Daniels Farm School","=""1440811""","Grade   2","*"
"Trumbull School District","Daniels Farm School","=""1440811""","Grade   3","*"
"Trumbull School District","Daniels Farm School","=""1440811""","Grade   4","*"
"Trumbull School District","Daniels Farm School","=""1440811""","Grade   5","*"
"Trumbull School District","Frenchtown Elementary School","=""1441011""","Kindergarten","*"
"Trumbull School District","Frenchtown Elementary School","=""1441011""","Grade   1","*"
"Trumbull School District","Frenchtown Elementary School","=""1441011""","Grade   2","*"
"Trumbull School District","Frenchtown Elementary School","=""1441011""","Grade   3","*"
"Trumbull School District","Frenchtown Elementary School","=""1441011""","Grade   4","*"
"Trumbull School District","Frenchtown Elementary School","=""1441011""","Grade   5","*"
"Trumbull School District","Jane Ryan School","=""1440411""","Kindergarten","*"
"Trumbull School District","Jane Ryan School","=""1440411""","Grade   1","*"
"Trumbull School District","Jane Ryan School","=""1440411""","Grade   2","*"
"Trumbull School District","Jane Ryan School","=""1440411""","Grade   3",0.0
"Trumbull School District","Jane Ryan School","=""1440411""","Grade   4","*"
"Trumbull School District","Jane Ryan School","=""1440411""","Grade   5","*"
"Trumbull School District","Middlebrook School","=""1440311""","Kindergarten",10.1
"Trumbull School District","Middlebrook School","=""1440311""","Grade   1",12.9
"Trumbull School District","Middlebrook School","=""1440311""","Grade   2",7.1
"Trumbull School District","Middlebrook School","=""1440311""","Grade   3","*"
"Trumbull School District","Middlebrook School","=""1440311""","Grade   4","*"
"Trumbull School District","Middlebrook School","=""1440311""","Grade   5","*"
"Trumbull School District","Tashua School","=""1440911""","Kindergarten","*"
"Trumbull School District","Tashua School","=""1440911""","Grade   1","*"
"Trumbull School District","Tashua School","=""1440911""","Grade   2","*"
"Trumbull School District","Tashua School","=""1440911""","Grade   3","*"
"Trumbull School District","Tashua School","=""1440911""","Grade   4",0.0
"Trumbull School District","Tashua School","=""1440911""","Grade   5","*"
"Trumbull School District","Hillcrest Middle School","=""1445211""","Grade   6",5.3
"Trumbull School District","Hillcrest Middle School","=""1445211""","Grade   7",8.6
"Trumbull School District","Hillcrest Middle School","=""1445211""","Grade   8",7.5
"Trumbull School District","Madison Middle School","=""1445111""","Grade   6",7.4
"Trumbull School District","Madison Middle School","=""1445111""","Grade   7",5.3
"Trumbull School District","Madison Middle School","=""1445111""","Grade   8",7.1
"Trumbull School District","REACH","=""1440511""","Grade   8","*"
"Trumbull School District","REACH","=""1440511""","Grade   9","*"
"Trumbull School District","REACH","=""1440511""","Grade 10","*"
"Trumbull School District","REACH","=""1440511""","Grade 11","*"
"Trumbull School District","REACH","=""1440511""","Grade 12","*"
"Trumbull School District","Trumbull High School","=""1446111""","Grade   9",2.2
"Trumbull School District","Trumbull High School","=""1446111""","Grade 10",4.1
"Trumbull School District","Trumbull High School","=""1446111""","Grade 11",6.1
"Trumbull School District","Trumbull High School","=""1446111""","Grade 12",8.3
"Trumbull School District","Trumbull Alternative School","=""1440211""","Grade 11","*"
"Trumbull School District","Trumbull Alternative School","=""1440211""","Grade 12","*"
"Unified School District #1","Manson Youth Institution","=""3361115""","Grade   8","*"
"Unified School District #1","Manson Youth Institution","=""3361115""","Grade   9",30.7
"Unified School District #1","Manson Youth Institution","=""3361115""","Grade 10",49.2
"Unified School District #1","Manson Youth Institution","=""3361115""","Grade 11",50.7
"Unified School District #1","Manson Youth Institution","=""3361115""","Grade 12","*"
"Unified School District #1","Corrigan/Radgowski Correctional Institution","=""3362415""","Grade   9","*"
"Unified School District #1","Corrigan/Radgowski Correctional Institution","=""3362415""","Grade 10","*"
"Unified School District #1","Corrigan/Radgowski Correctional Institution","=""3362415""","Grade 11","*"
"Unified School District #1","Corrigan/Radgowski Correctional Institution","=""3362415""","Grade 12","*"
"Unified School District #1","Garner Correctional Institution","=""3361915""","Grade   9","*"
"Unified School District #1","Garner Correctional Institution","=""3361915""","Grade 10","*"
"Unified School District #1","Garner Correctional Institution","=""3361915""","Grade 11","*"
"Unified School District #1","Garner Correctional Institution","=""3361915""","Grade 12","*"
"Unified School District #1","Hartford Correctional Center","=""3360615""","Grade   9","*"
"Unified School District #1","Hartford Correctional Center","=""3360615""","Grade 10","*"
"Unified School District #1","Hartford Correctional Center","=""3360615""","Grade 11","*"
"Unified School District #1","Hartford Correctional Center","=""3360615""","Grade 12","*"
"Unified School District #1","Northern Correctional Institution","=""3362615""","Grade   9","*"
"Unified School District #1","Northern Correctional Institution","=""3362615""","Grade 11","*"
"Unified School District #1","Northern Correctional Institution","=""3362615""","Grade 12","*"
"Unified School District #1","York Correctional Institution","=""3362515""","Grade   9","*"
"Unified School District #1","York Correctional Institution","=""3362515""","Grade 10","*"
"Unified School District #1","York Correctional Institution","=""3362515""","Grade 11","*"
"Unified School District #1","York Correctional Institution","=""3362515""","Grade 12","*"
"Unified School District #1","Bridgeport Correctional Center","=""3360115""","Grade 10","*"
"Unified School District #1","Bridgeport Correctional Center","=""3360115""","Grade 11","*"
"Unified School District #1","Bridgeport Correctional Center","=""3360115""","Grade 12","*"
"Unified School District #1","Cheshire Correctional Institution","=""3360315""","Grade 10","*"
"Unified School District #1","Cheshire Correctional Institution","=""3360315""","Grade 11","*"
"Unified School District #1","Cheshire Correctional Institution","=""3360315""","Grade 12","*"
"Unified School District #1","MacDougall/Walker Correctional Institution","=""3362215""","Grade 10","*"
"Unified School District #1","MacDougall/Walker Correctional Institution","=""3362215""","Grade 11","*"
"Unified School District #1","MacDougall/Walker Correctional Institution","=""3362215""","Grade 12","*"
"Unified School District #1","New Haven Correctional Center","=""3360915""","Grade 10","*"
"Unified School District #1","New Haven Correctional Center","=""3360915""","Grade 11","*"
"Unified School District #1","Osborn Correctional Institution","=""3361215""","Grade 10","*"
"Unified School District #1","Osborn Correctional Institution","=""3361215""","Grade 11","*"
"Unified School District #1","Osborn Correctional Institution","=""3361215""","Grade 12","*"
"Unified School District #1","Enfield Correctional Institution","=""3360415""","Grade 11","*"
"Unified School District #1","Enfield Correctional Institution","=""3360415""","Grade 12","*"
"Unified School District #1","Robinson Correctional Institution","=""3361315""","Grade 11","*"
"Unified School District #1","Robinson Correctional Institution","=""3361315""","Grade 12","*"
"Unified School District #1","Willard/Cybulski Correctional Institution","=""3361515""","Grade 11","*"
"Unified School District #1","Willard/Cybulski Correctional Institution","=""3361515""","Grade 12","*"
"Unified School District #2","Riverview School","=""3470315""","Grade   6","*"
"Unified School District #2","Riverview School","=""3470315""","Grade   8","*"
"Unified School District #2","Riverview School","=""3470315""","Grade   9","*"
"Unified School District #2","Riverview School","=""3470315""","Grade 10","*"
"Unified School District #2","Riverview School","=""3470315""","Grade 11","*"
"Unified School District #2","Riverview School","=""3470315""","Grade 12","*"
"Unified School District #2","Children's Place School","=""3470115""","Grade   8","*"
"Unified School District #2","Children's Place School","=""3470115""","Grade   9","*"
"Unified School District #2","Children's Place School","=""3470115""","Grade 10","*"
"Unified School District #2","Children's Place School","=""3470115""","Grade 11","*"
"Unified School District #2","Walter G. Cady School","=""3476715""","Grade   8","*"
"Unified School District #2","Walter G. Cady School","=""3476715""","Grade   9","*"
"Unified School District #2","Walter G. Cady School","=""3476715""","Grade 10","*"
"Unified School District #2","Walter G. Cady School","=""3476715""","Grade 11","*"
"Unified School District #2","Walter G. Cady School","=""3476715""","Grade 12","*"
"Unified School District #2","Virtual Academy","=""3470215""","Grade   9","*"
"Unified School District #2","Virtual Academy","=""3470215""","Grade 10","*"
"Unified School District #2","Virtual Academy","=""3470215""","Grade 11","*"
"Unified School District #2","Virtual Academy","=""3470215""","Grade 12","*"
"Union School District","Union Elementary School","=""1450111""","Kindergarten","*"
"Union School District","Union Elementary School","=""1450111""","Grade   1","*"
"Union School District","Union Elementary School","=""1450111""","Grade   2","*"
"Union School District","Union Elementary School","=""1450111""","Grade   3","*"
"Union School District","Union Elementary School","=""1450111""","Grade   4","*"
"Union School District","Union Elementary School","=""1450111""","Grade   5","*"
"Union School District","Union Elementary School","=""1450111""","Grade   6","*"
"Union School District","Union Elementary School","=""1450111""","Grade   7","*"
"Union School District","Union Elementary School","=""1450111""","Grade   8","*"
"Vernon School District","Northeast School","=""1460311""","Kindergarten","*"
"Vernon School District","Northeast School","=""1460311""","Grade   1","*"
"Vernon School District","Northeast School","=""1460311""","Grade   2","*"
"Vernon School District","Northeast School","=""1460311""","Grade   3","*"
"Vernon School District","Northeast School","=""1460311""","Grade   4","*"
"Vernon School District","Northeast School","=""1460311""","Grade   5","*"
"Vernon School District","Center Road School","=""1461411""","Kindergarten","*"
"Vernon School District","Center Road School","=""1461411""","Grade   1","*"
"Vernon School District","Center Road School","=""1461411""","Grade   2","*"
"Vernon School District","Center Road School","=""1461411""","Grade   3","*"
"Vernon School District","Center Road School","=""1461411""","Grade   4","*"
"Vernon School District","Center Road School","=""1461411""","Grade   5","*"
"Vernon School District","Lake Street School","=""1460111""","Kindergarten","*"
"Vernon School District","Lake Street School","=""1460111""","Grade   1",0.0
"Vernon School District","Lake Street School","=""1460111""","Grade   2","*"
"Vernon School District","Lake Street School","=""1460111""","Grade   3",0.0
"Vernon School District","Lake Street School","=""1460111""","Grade   4","*"
"Vernon School District","Lake Street School","=""1460111""","Grade   5","*"
"Vernon School District","Maple Street School","=""1460211""","Kindergarten",12.2
"Vernon School District","Maple Street School","=""1460211""","Grade   1","*"
"Vernon School District","Maple Street School","=""1460211""","Grade   2","*"
"Vernon School District","Maple Street School","=""1460211""","Grade   3","*"
"Vernon School District","Maple Street School","=""1460211""","Grade   4","*"
"Vernon School District","Maple Street School","=""1460211""","Grade   5","*"
"Vernon School District","Skinner Road School","=""1461011""","Kindergarten",15.2
"Vernon School District","Skinner Road School","=""1461011""","Grade   1","*"
"Vernon School District","Skinner Road School","=""1461011""","Grade   2","*"
"Vernon School District","Skinner Road School","=""1461011""","Grade   3","*"
"Vernon School District","Skinner Road School","=""1461011""","Grade   4","*"
"Vernon School District","Skinner Road School","=""1461011""","Grade   5","*"
"Vernon School District","Loveland Hill School","=""1460511""","Grade   2","*"
"Vernon School District","Loveland Hill School","=""1460511""","Grade   3","*"
"Vernon School District","Loveland Hill School","=""1460511""","Grade   4","*"
"Vernon School District","Loveland Hill School","=""1460511""","Grade   5","*"
"Vernon School District","Loveland Hill School","=""1460511""","Grade   6","*"
"Vernon School District","Loveland Hill School","=""1460511""","Grade   7","*"
"Vernon School District","Loveland Hill School","=""1460511""","Grade   8","*"
"Vernon School District","Vernon Center Middle School","=""1465111""","Grade   6",5.1
"Vernon School District","Vernon Center Middle School","=""1465111""","Grade   7",8.4
"Vernon School District","Vernon Center Middle School","=""1465111""","Grade   8",10.7
"Vernon School District","Rockville High School","=""1466111""","Grade   9",21.3
"Vernon School District","Rockville High School","=""1466111""","Grade 10",14.6
"Vernon School District","Rockville High School","=""1466111""","Grade 11",17.0
"Vernon School District","Rockville High School","=""1466111""","Grade 12",20.8
"Vernon School District","Next Step Program (AACBP)","=""1469011""","Grade 12","*"
"Voluntown School District","Voluntown Elementary School","=""1470111""","Kindergarten","*"
"Voluntown School District","Voluntown Elementary School","=""1470111""","Grade   1",0.0
"Voluntown School District","Voluntown Elementary School","=""1470111""","Grade   2",0.0
"Voluntown School District","Voluntown Elementary School","=""1470111""","Grade   3","*"
"Voluntown School District","Voluntown Elementary School","=""1470111""","Grade   4",0.0
"Voluntown School District","Voluntown Elementary School","=""1470111""","Grade   5","*"
"Voluntown School District","Voluntown Elementary School","=""1470111""","Grade   6",0.0
"Voluntown School District","Voluntown Elementary School","=""1470111""","Grade   7",0.0
"Voluntown School District","Voluntown Elementary School","=""1470111""","Grade   8",0.0
"Wallingford School District","Highland School","=""1480211""","Kindergarten",7.8
"Wallingford School District","Highland School","=""1480211""","Grade   1","*"
"Wallingford School District","Highland School","=""1480211""","Grade   2","*"
"Wallingford School District","Cook Hill School","=""1481011""","Kindergarten",6.8
"Wallingford School District","Cook Hill School","=""1481011""","Grade   1","*"
"Wallingford School District","Cook Hill School","=""1481011""","Grade   2","*"
"Wallingford School District","Evarts C. Stevens School","=""1480911""","Kindergarten","*"
"Wallingford School District","Evarts C. Stevens School","=""1480911""","Grade   1","*"
"Wallingford School District","Evarts C. Stevens School","=""1480911""","Grade   2","*"
"Wallingford School District","Moses Y. Beach School","=""1480111""","Kindergarten","*"
"Wallingford School District","Moses Y. Beach School","=""1480111""","Grade   1","*"
"Wallingford School District","Moses Y. Beach School","=""1480111""","Grade   2","*"
"Wallingford School District","Harvest Park","=""1489211""","Grade   2","*"
"Wallingford School District","Harvest Park","=""1489211""","Grade   3","*"
"Wallingford School District","Harvest Park","=""1489211""","Grade   4","*"
"Wallingford School District","Harvest Park","=""1489211""","Grade   5","*"
"Wallingford School District","Parker Farms School","=""1480311""","Grade   3","*"
"Wallingford School District","Parker Farms School","=""1480311""","Grade   4","*"
"Wallingford School District","Parker Farms School","=""1480311""","Grade   5","*"
"Wallingford School District","Pond Hill School","=""1481211""","Grade   3","*"
"Wallingford School District","Pond Hill School","=""1481211""","Grade   4","*"
"Wallingford School District","Pond Hill School","=""1481211""","Grade   5","*"
"Wallingford School District","Rock Hill School","=""1480411""","Grade   3",6.3
"Wallingford School District","Rock Hill School","=""1480411""","Grade   4","*"
"Wallingford School District","Rock Hill School","=""1480411""","Grade   5","*"
"Wallingford School District","Yalesville School","=""1480811""","Grade   3","*"
"Wallingford School District","Yalesville School","=""1480811""","Grade   4","*"
"Wallingford School District","Yalesville School","=""1480811""","Grade   5","*"
"Wallingford School District","A.R.T.S. Academy","=""1489011""","Grade   6","*"
"Wallingford School District","A.R.T.S. Academy","=""1489011""","Grade   7","*"
"Wallingford School District","A.R.T.S. Academy","=""1489011""","Grade   8","*"
"Wallingford School District","A.R.T.S. Academy","=""1489011""","Grade   9","*"
"Wallingford School District","A.R.T.S. Academy","=""1489011""","Grade 10","*"
"Wallingford School District","A.R.T.S. Academy","=""1489011""","Grade 11","*"
"Wallingford School District","Dag Hammarskjold Middle School","=""1485211""","Grade   6",4.0
"Wallingford School District","Dag Hammarskjold Middle School","=""1485211""","Grade   7",5.0
"Wallingford School District","Dag Hammarskjold Middle School","=""1485211""","Grade   8",8.0
"Wallingford School District","James H. Moran Middle School","=""1485311""","Grade   6",3.3
"Wallingford School District","James H. Moran Middle School","=""1485311""","Grade   7",2.8
"Wallingford School District","James H. Moran Middle School","=""1485311""","Grade   8",6.4
"Wallingford School District","Education Enhancement Program","=""1480511""","Grade   9","*"
"Wallingford School District","Education Enhancement Program","=""1480511""","Grade 10","*"
"Wallingford School District","Education Enhancement Program","=""1480511""","Grade 11","*"
"Wallingford School District","Education Enhancement Program","=""1480511""","Grade 12","*"
"Wallingford School District","Lyman Hall High School","=""1486111""","Grade   9",5.0
"Wallingford School District","Lyman Hall High School","=""1486111""","Grade 10",7.9
"Wallingford School District","Lyman Hall High School","=""1486111""","Grade 11",7.0
"Wallingford School District","Lyman Hall High School","=""1486111""","Grade 12",7.7
"Wallingford School District","Mark T. Sheehan High School","=""1486211""","Grade   9",4.9
"Wallingford School District","Mark T. Sheehan High School","=""1486211""","Grade 10",5.2
"Wallingford School District","Mark T. Sheehan High School","=""1486211""","Grade 11",8.0
"Wallingford School District","Mark T. Sheehan High School","=""1486211""","Grade 12",8.2
"Wallingford School District","Multi-Vocational Life Skills Program","=""1489111""","Grade 12","*"
"Waterbury School District","SAGE","=""3480415""","Grade 11","*"
"Waterbury School District","Bridgeport Detention Center","=""3480115""","Grade   6","*"
"Waterbury School District","Bridgeport Detention Center","=""3480115""","Grade   7","*"
"Waterbury School District","Bridgeport Detention Center","=""3480115""","Grade   8","*"
"Waterbury School District","Bridgeport Detention Center","=""3480115""","Grade 12","*"
"Waterbury School District","West Side Middle School","=""1515211""","Grade   6",16.9
"Waterbury School District","West Side Middle School","=""1515211""","Grade   7",19.6
"Waterbury School District","West Side Middle School","=""1515211""","Grade   8",23.0
"Waterbury School District","Washington School","=""1512311""","Kindergarten",12.1
"Waterbury School District","Washington School","=""1512311""","Grade   1",17.2
"Waterbury School District","Washington School","=""1512311""","Grade   2",21.6
"Waterbury School District","Washington School","=""1512311""","Grade   3","*"
"Waterbury School District","Washington School","=""1512311""","Grade   4","*"
"Waterbury School District","Washington School","=""1512311""","Grade   5","*"
"Waterbury School District","B. W. Tinker School","=""1512111""","Kindergarten",14.6
"Waterbury School District","B. W. Tinker School","=""1512111""","Grade   1",7.3
"Waterbury School District","B. W. Tinker School","=""1512111""","Grade   2","*"
"Waterbury School District","B. W. Tinker School","=""1512111""","Grade   3","*"
"Waterbury School District","B. W. Tinker School","=""1512111""","Grade   4",6.0
"Waterbury School District","B. W. Tinker School","=""1512111""","Grade   5",11.4
"Waterbury School District","B.W. Tinker BDLC","=""1510411""","Kindergarten","*"
"Waterbury School District","B.W. Tinker BDLC","=""1510411""","Grade   1","*"
"Waterbury School District","B.W. Tinker BDLC","=""1510411""","Grade   3","*"
"Waterbury School District","B.W. Tinker BDLC","=""1510411""","Grade   4","*"
"Waterbury School District","B.W. Tinker BDLC","=""1510411""","Grade   5","*"
"Waterbury School District","Bucks Hill Bilingual","=""1514311""","Kindergarten",20.9
"Waterbury School District","Bucks Hill Bilingual","=""1514311""","Grade   1","*"
"Waterbury School District","Bucks Hill Bilingual","=""1514311""","Grade   2","*"
"Waterbury School District","Bucks Hill Bilingual","=""1514311""","Grade   3","*"
"Waterbury School District","Bucks Hill Bilingual","=""1514311""","Grade   4","*"
"Waterbury School District","Bucks Hill Bilingual","=""1514311""","Grade   5","*"
"Waterbury School District","Bucks Hill School","=""1510511""","Kindergarten",13.6
"Waterbury School District","Bucks Hill School","=""1510511""","Grade   1",14.7
"Waterbury School District","Bucks Hill School","=""1510511""","Grade   2",9.4
"Waterbury School District","Bucks Hill School","=""1510511""","Grade   3",9.3
"Waterbury School District","Bucks Hill School","=""1510511""","Grade   4",11.5
"Waterbury School District","Bucks Hill School","=""1510511""","Grade   5",12.7
"Waterbury School District","Bunker Hill BDLC","=""1510111""","Kindergarten","*"
"Waterbury School District","Bunker Hill BDLC","=""1510111""","Grade   1","*"
"Waterbury School District","Bunker Hill BDLC","=""1510111""","Grade   2","*"
"Waterbury School District","Bunker Hill BDLC","=""1510111""","Grade   3","*"
"Waterbury School District","Bunker Hill BDLC","=""1510111""","Grade   4","*"
"Waterbury School District","Bunker Hill BDLC","=""1510111""","Grade   5","*"
"Waterbury School District","Bunker Hill School","=""1510611""","Kindergarten",15.4
"Waterbury School District","Bunker Hill School","=""1510611""","Grade   1",10.1
"Waterbury School District","Bunker Hill School","=""1510611""","Grade   2","*"
"Waterbury School District","Bunker Hill School","=""1510611""","Grade   3",10.3
"Waterbury School District","Bunker Hill School","=""1510611""","Grade   4","*"
"Waterbury School District","Bunker Hill School","=""1510611""","Grade   5",12.7
"Waterbury School District","Carrington ESC","=""1511911""","Kindergarten","*"
"Waterbury School District","Carrington ESC","=""1511911""","Grade   1","*"
"Waterbury School District","Carrington ESC","=""1511911""","Grade   2","*"
"Waterbury School District","Carrington ESC","=""1511911""","Grade   3","*"
"Waterbury School District","Carrington ESC","=""1511911""","Grade   4","*"
"Waterbury School District","Carrington ESC","=""1511911""","Grade   5","*"
"Waterbury School District","Carrington ESC","=""1511911""","Grade   6","*"
"Waterbury School District","Carrington School","=""1512711""","Kindergarten","*"
"Waterbury School District","Carrington School","=""1512711""","Grade   1","*"
"Waterbury School District","Carrington School","=""1512711""","Grade   2",13.3
"Waterbury School District","Carrington School","=""1512711""","Grade   3","*"
"Waterbury School District","Carrington School","=""1512711""","Grade   4","*"
"Waterbury School District","Carrington School","=""1512711""","Grade   5","*"
"Waterbury School District","Carrington School","=""1512711""","Grade   6","*"
"Waterbury School District","Carrington School","=""1512711""","Grade   7","*"
"Waterbury School District","Carrington School","=""1512711""","Grade   8","*"
"Waterbury School District","Chase Bilingual","=""1514111""","Kindergarten",20.7
"Waterbury School District","Chase Bilingual","=""1514111""","Grade   1","*"
"Waterbury School District","Chase Bilingual","=""1514111""","Grade   2","*"
"Waterbury School District","Chase Bilingual","=""1514111""","Grade   3","*"
"Waterbury School District","Chase Bilingual","=""1514111""","Grade   4","*"
"Waterbury School District","Chase Bilingual","=""1514111""","Grade   5","*"
"Waterbury School District","Driggs School","=""1510911""","Kindergarten",24.7
"Waterbury School District","Driggs School","=""1510911""","Grade   1",24.3
"Waterbury School District","Driggs School","=""1510911""","Grade   2",15.1
"Waterbury School District","Driggs School","=""1510911""","Grade   3",22.7
"Waterbury School District","Driggs School","=""1510911""","Grade   4",19.8
"Waterbury School District","Driggs School","=""1510911""","Grade   5",15.4
"Waterbury School District","Duggan CBL","=""1513611""","Kindergarten","*"
"Waterbury School District","Duggan CBL","=""1513611""","Grade   1","*"
"Waterbury School District","Duggan CBL","=""1513611""","Grade   2","*"
"Waterbury School District","Duggan CBL","=""1513611""","Grade   3","*"
"Waterbury School District","Duggan School","=""1511611""","Kindergarten",19.0
"Waterbury School District","Duggan School","=""1511611""","Grade   1","*"
"Waterbury School District","Duggan School","=""1511611""","Grade   2","*"
"Waterbury School District","Duggan School","=""1511611""","Grade   3","*"
"Waterbury School District","Duggan School","=""1511611""","Grade   4","*"
"Waterbury School District","Duggan School","=""1511611""","Grade   5","*"
"Waterbury School District","Duggan School","=""1511611""","Grade   6","*"
"Waterbury School District","Duggan School","=""1511611""","Grade   7",13.6
"Waterbury School District","Duggan School","=""1511611""","Grade   8","*"
"Waterbury School District","F. J. Kingsbury School","=""1511411""","Kindergarten","*"
"Waterbury School District","F. J. Kingsbury School","=""1511411""","Grade   1",7.4
"Waterbury School District","F. J. Kingsbury School","=""1511411""","Grade   2",10.3
"Waterbury School District","F. J. Kingsbury School","=""1511411""","Grade   3",9.0
"Waterbury School District","F. J. Kingsbury School","=""1511411""","Grade   4",7.3
"Waterbury School District","F. J. Kingsbury School","=""1511411""","Grade   5","*"
"Waterbury School District","Gilmartin School","=""1512611""","Kindergarten",10.5
"Waterbury School District","Gilmartin School","=""1512611""","Grade   1","*"
"Waterbury School District","Gilmartin School","=""1512611""","Grade   2","*"
"Waterbury School District","Gilmartin School","=""1512611""","Grade   3","*"
"Waterbury School District","Gilmartin School","=""1512611""","Grade   4","*"
"Waterbury School District","Gilmartin School","=""1512611""","Grade   5",16.3
"Waterbury School District","Gilmartin School","=""1512611""","Grade   6","*"
"Waterbury School District","Gilmartin School","=""1512611""","Grade   7","*"
"Waterbury School District","Gilmartin School","=""1512611""","Grade   8",15.4
"Waterbury School District","H. S. Chase School","=""1510711""","Kindergarten",11.8
"Waterbury School District","H. S. Chase School","=""1510711""","Grade   1","*"
"Waterbury School District","H. S. Chase School","=""1510711""","Grade   2",6.4
"Waterbury School District","H. S. Chase School","=""1510711""","Grade   3","*"
"Waterbury School District","H. S. Chase School","=""1510711""","Grade   4","*"
"Waterbury School District","H. S. Chase School","=""1510711""","Grade   5","*"
"Waterbury School District","Hopeville Bilingual","=""1514211""","Kindergarten","*"
"Waterbury School District","Hopeville Bilingual","=""1514211""","Grade   1","*"
"Waterbury School District","Hopeville Bilingual","=""1514211""","Grade   2","*"
"Waterbury School District","Hopeville Bilingual","=""1514211""","Grade   3","*"
"Waterbury School District","Hopeville Bilingual","=""1514211""","Grade   4","*"
"Waterbury School District","Hopeville School","=""1511311""","Kindergarten",19.2
"Waterbury School District","Hopeville School","=""1511311""","Grade   1",15.0
"Waterbury School District","Hopeville School","=""1511311""","Grade   2","*"
"Waterbury School District","Hopeville School","=""1511311""","Grade   3",13.0
"Waterbury School District","Hopeville School","=""1511311""","Grade   4","*"
"Waterbury School District","Hopeville School","=""1511311""","Grade   5",16.0
"Waterbury School District","Maloney Interdistrict Magnet School","=""1513111""","Kindergarten","*"
"Waterbury School District","Maloney Interdistrict Magnet School","=""1513111""","Grade   1","*"
"Waterbury School District","Maloney Interdistrict Magnet School","=""1513111""","Grade   2","*"
"Waterbury School District","Maloney Interdistrict Magnet School","=""1513111""","Grade   3","*"
"Waterbury School District","Maloney Interdistrict Magnet School","=""1513111""","Grade   4","*"
"Waterbury School District","Maloney Interdistrict Magnet School","=""1513111""","Grade   5","*"
"Waterbury School District","Margaret M. Generali Autism","=""1513511""","Kindergarten","*"
"Waterbury School District","Margaret M. Generali Autism","=""1513511""","Grade   1","*"
"Waterbury School District","Margaret M. Generali Autism","=""1513511""","Grade   2","*"
"Waterbury School District","Margaret M. Generali Autism","=""1513511""","Grade   3","*"
