"Chronic Absenteeism, 2013-14"
"State of Connecticut, All Schools, Race/Ethnicity"

"Organization","School","School Code","Race/Ethnicity","% Chronically Absent"
"Torrington School District","Southwest School","=""1430811""","Asian","*"
"Torrington School District","Southwest School","=""1430811""","Black or African American","*"
"Torrington School District","Southwest School","=""1430811""","Hispanic/Latino of any race",9.9
"Torrington School District","Southwest School","=""1430811""","Two or More Races","*"
"Torrington School District","Southwest School","=""1430811""","White",6.7
"Torrington School District","Vogel-Wetmore School","=""1431311""","Asian","*"
"Torrington School District","Vogel-Wetmore School","=""1431311""","Black or African American","*"
"Torrington School District","Vogel-Wetmore School","=""1431311""","Hispanic/Latino of any race",8.1
"Torrington School District","Vogel-Wetmore School","=""1431311""","Native Hawaiian or Other Pacific Islander","*"
"Torrington School District","Vogel-Wetmore School","=""1431311""","Two or More Races","*"
"Torrington School District","Vogel-Wetmore School","=""1431311""","White",6.5
"Trailblazers Academy District","Trailblazers Academy","=""2785113""","Asian","*"
"Trailblazers Academy District","Trailblazers Academy","=""2785113""","Black or African American",0.0
"Trailblazers Academy District","Trailblazers Academy","=""2785113""","Hispanic/Latino of any race",0.0
"Trailblazers Academy District","Trailblazers Academy","=""2785113""","Two or More Races","*"
"Trailblazers Academy District","Trailblazers Academy","=""2785113""","White","*"
"Trumbull School District","Booth Hill School","=""1440111""","American Indian or Alaska Native","*"
"Trumbull School District","Booth Hill School","=""1440111""","Asian",0.0
"Trumbull School District","Booth Hill School","=""1440111""","Black or African American","*"
"Trumbull School District","Booth Hill School","=""1440111""","Hispanic/Latino of any race",0.0
"Trumbull School District","Booth Hill School","=""1440111""","Two or More Races","*"
"Trumbull School District","Booth Hill School","=""1440111""","White",1.7
"Trumbull School District","Daniels Farm School","=""1440811""","American Indian or Alaska Native","*"
"Trumbull School District","Daniels Farm School","=""1440811""","Asian",0.0
"Trumbull School District","Daniels Farm School","=""1440811""","Black or African American","*"
"Trumbull School District","Daniels Farm School","=""1440811""","Hispanic/Latino of any race","*"
"Trumbull School District","Daniels Farm School","=""1440811""","Two or More Races","*"
"Trumbull School District","Daniels Farm School","=""1440811""","White",2.1
"Trumbull School District","Hillcrest Middle School","=""1445211""","American Indian or Alaska Native","*"
"Trumbull School District","Hillcrest Middle School","=""1445211""","Asian","*"
"Trumbull School District","Hillcrest Middle School","=""1445211""","Black or African American","*"
"Trumbull School District","Hillcrest Middle School","=""1445211""","Hispanic/Latino of any race","*"
"Trumbull School District","Hillcrest Middle School","=""1445211""","Two or More Races","*"
"Trumbull School District","Hillcrest Middle School","=""1445211""","White",3.1
"Trumbull School District","Madison Middle School","=""1445111""","American Indian or Alaska Native","*"
"Trumbull School District","Madison Middle School","=""1445111""","Asian","*"
"Trumbull School District","Madison Middle School","=""1445111""","Black or African American",0.0
"Trumbull School District","Madison Middle School","=""1445111""","Hispanic/Latino of any race","*"
"Trumbull School District","Madison Middle School","=""1445111""","Two or More Races","*"
"Trumbull School District","Madison Middle School","=""1445111""","White",3.7
"Trumbull School District","Trumbull High School","=""1446111""","American Indian or Alaska Native","*"
"Trumbull School District","Trumbull High School","=""1446111""","Asian","*"
"Trumbull School District","Trumbull High School","=""1446111""","Black or African American","*"
"Trumbull School District","Trumbull High School","=""1446111""","Hispanic/Latino of any race","*"
"Trumbull School District","Trumbull High School","=""1446111""","Two or More Races","*"
"Trumbull School District","Trumbull High School","=""1446111""","White",1.5
"Trumbull School District","Frenchtown Elementary School","=""1441011""","Asian",0.0
"Trumbull School District","Frenchtown Elementary School","=""1441011""","Black or African American","*"
"Trumbull School District","Frenchtown Elementary School","=""1441011""","Hispanic/Latino of any race","*"
"Trumbull School District","Frenchtown Elementary School","=""1441011""","Two or More Races","*"
"Trumbull School District","Frenchtown Elementary School","=""1441011""","White",1.3
"Trumbull School District","Jane Ryan School","=""1440411""","Asian","*"
"Trumbull School District","Jane Ryan School","=""1440411""","Black or African American","*"
"Trumbull School District","Jane Ryan School","=""1440411""","Hispanic/Latino of any race","*"
"Trumbull School District","Jane Ryan School","=""1440411""","Two or More Races","*"
"Trumbull School District","Jane Ryan School","=""1440411""","White","*"
"Trumbull School District","Middlebrook School","=""1440311""","Asian","*"
"Trumbull School District","Middlebrook School","=""1440311""","Black or African American","*"
"Trumbull School District","Middlebrook School","=""1440311""","Hispanic/Latino of any race","*"
"Trumbull School District","Middlebrook School","=""1440311""","Native Hawaiian or Other Pacific Islander","*"
"Trumbull School District","Middlebrook School","=""1440311""","Two or More Races","*"
"Trumbull School District","Middlebrook School","=""1440311""","White",2.0
"Trumbull School District","Tashua School","=""1440911""","Asian","*"
"Trumbull School District","Tashua School","=""1440911""","Black or African American","*"
"Trumbull School District","Tashua School","=""1440911""","Hispanic/Latino of any race",0.0
"Trumbull School District","Tashua School","=""1440911""","Two or More Races","*"
"Trumbull School District","Tashua School","=""1440911""","White","*"
"Unified School District #1","York Correctional Institution","=""3362515""","American Indian or Alaska Native","*"
"Unified School District #1","York Correctional Institution","=""3362515""","Black or African American","*"
"Unified School District #1","York Correctional Institution","=""3362515""","Hispanic/Latino of any race","*"
"Unified School District #1","York Correctional Institution","=""3362515""","White","*"
"Unified School District #1","Manson Youth Institution","=""3361115""","Asian","*"
"Unified School District #1","Manson Youth Institution","=""3361115""","Black or African American",19.0
"Unified School District #1","Manson Youth Institution","=""3361115""","Hispanic/Latino of any race",18.4
"Unified School District #1","Manson Youth Institution","=""3361115""","Two or More Races","*"
"Unified School District #1","Manson Youth Institution","=""3361115""","White","*"
"Unified School District #1","Bridgeport Correctional Center","=""3360115""","Black or African American","*"
"Unified School District #1","Bridgeport Correctional Center","=""3360115""","Hispanic/Latino of any race","*"
"Unified School District #1","Bridgeport Correctional Center","=""3360115""","White","*"
"Unified School District #1","Brooklyn Correctional Institution","=""3360215""","Black or African American","*"
"Unified School District #1","Cheshire Correctional Institution","=""3360315""","Black or African American","*"
"Unified School District #1","Cheshire Correctional Institution","=""3360315""","Hispanic/Latino of any race","*"
"Unified School District #1","Cheshire Correctional Institution","=""3360315""","White","*"
"Unified School District #1","Corrigan/Radgowski Correctional Institution","=""3362415""","Black or African American","*"
"Unified School District #1","Corrigan/Radgowski Correctional Institution","=""3362415""","Hispanic/Latino of any race","*"
"Unified School District #1","Corrigan/Radgowski Correctional Institution","=""3362415""","White","*"
"Unified School District #1","Enfield Correctional Institution","=""3360415""","Black or African American","*"
"Unified School District #1","Enfield Correctional Institution","=""3360415""","Hispanic/Latino of any race","*"
"Unified School District #1","Garner Correctional Institution","=""3361915""","Black or African American","*"
"Unified School District #1","Garner Correctional Institution","=""3361915""","Hispanic/Latino of any race","*"
"Unified School District #1","Garner Correctional Institution","=""3361915""","Two or More Races","*"
"Unified School District #1","Garner Correctional Institution","=""3361915""","White","*"
"Unified School District #1","Hartford Correctional Center","=""3360615""","Black or African American","*"
"Unified School District #1","Hartford Correctional Center","=""3360615""","Hispanic/Latino of any race","*"
"Unified School District #1","Hartford Correctional Center","=""3360615""","White","*"
"Unified School District #1","MacDougall/Walker Correctional Institution","=""3362215""","Black or African American","*"
"Unified School District #1","MacDougall/Walker Correctional Institution","=""3362215""","Hispanic/Latino of any race","*"
"Unified School District #1","MacDougall/Walker Correctional Institution","=""3362215""","Two or More Races","*"
"Unified School District #1","New Haven Correctional Center","=""3360915""","Black or African American","*"
"Unified School District #1","New Haven Correctional Center","=""3360915""","Hispanic/Latino of any race","*"
"Unified School District #1","New Haven Correctional Center","=""3360915""","Two or More Races","*"
"Unified School District #1","New Haven Correctional Center","=""3360915""","White","*"
"Unified School District #1","Northern Correctional Institution","=""3362615""","Black or African American","*"
"Unified School District #1","Northern Correctional Institution","=""3362615""","Two or More Races","*"
"Unified School District #1","Osborn Correctional Institution","=""3361215""","Black or African American","*"
"Unified School District #1","Osborn Correctional Institution","=""3361215""","Hispanic/Latino of any race","*"
"Unified School District #1","Osborn Correctional Institution","=""3361215""","White","*"
"Unified School District #1","Robinson Correctional Institution","=""3361315""","Black or African American","*"
"Unified School District #1","Robinson Correctional Institution","=""3361315""","Hispanic/Latino of any race","*"
"Unified School District #1","Robinson Correctional Institution","=""3361315""","Two or More Races","*"
"Unified School District #2","Children's Place School","=""3470115""","American Indian or Alaska Native","*"
"Unified School District #2","Children's Place School","=""3470115""","Asian","*"
"Unified School District #2","Children's Place School","=""3470115""","Black or African American","*"
"Unified School District #2","Children's Place School","=""3470115""","Hispanic/Latino of any race","*"
"Unified School District #2","Children's Place School","=""3470115""","Native Hawaiian or Other Pacific Islander","*"
"Unified School District #2","Children's Place School","=""3470115""","White","*"
"Unified School District #2","Walter G. Cady School","=""3476715""","Asian","*"
"Unified School District #2","Walter G. Cady School","=""3476715""","Black or African American",0.0
"Unified School District #2","Walter G. Cady School","=""3476715""","Hispanic/Latino of any race",0.0
"Unified School District #2","Walter G. Cady School","=""3476715""","Two or More Races","*"
"Unified School District #2","Walter G. Cady School","=""3476715""","White","*"
"Unified School District #2","Riverview School","=""3470315""","Black or African American","*"
"Unified School District #2","Riverview School","=""3470315""","Hispanic/Latino of any race","*"
"Unified School District #2","Riverview School","=""3470315""","Two or More Races","*"
"Unified School District #2","Riverview School","=""3470315""","White","*"
"Union School District","Union Elementary School","=""1450111""","Black or African American","*"
"Union School District","Union Elementary School","=""1450111""","Hispanic/Latino of any race","*"
"Union School District","Union Elementary School","=""1450111""","White","*"
"Vernon School District","Northeast School","=""1460311""","Asian","*"
"Vernon School District","Northeast School","=""1460311""","Black or African American",0.0
"Vernon School District","Northeast School","=""1460311""","Hispanic/Latino of any race",0.0
"Vernon School District","Northeast School","=""1460311""","Two or More Races","*"
"Vernon School District","Northeast School","=""1460311""","White","*"
"Vernon School District","Center Road School","=""1461411""","American Indian or Alaska Native","*"
"Vernon School District","Center Road School","=""1461411""","Asian","*"
"Vernon School District","Center Road School","=""1461411""","Black or African American","*"
"Vernon School District","Center Road School","=""1461411""","Hispanic/Latino of any race","*"
"Vernon School District","Center Road School","=""1461411""","Two or More Races","*"
"Vernon School District","Center Road School","=""1461411""","White",3.3
"Vernon School District","Lake Street School","=""1460111""","American Indian or Alaska Native","*"
"Vernon School District","Lake Street School","=""1460111""","Asian","*"
"Vernon School District","Lake Street School","=""1460111""","Black or African American","*"
"Vernon School District","Lake Street School","=""1460111""","Hispanic/Latino of any race","*"
"Vernon School District","Lake Street School","=""1460111""","Two or More Races","*"
"Vernon School District","Lake Street School","=""1460111""","White","*"
"Vernon School District","Rockville High School","=""1466111""","American Indian or Alaska Native","*"
"Vernon School District","Rockville High School","=""1466111""","Asian","*"
"Vernon School District","Rockville High School","=""1466111""","Black or African American",17.4
"Vernon School District","Rockville High School","=""1466111""","Hispanic/Latino of any race",20.0
"Vernon School District","Rockville High School","=""1466111""","Two or More Races","*"
"Vernon School District","Rockville High School","=""1466111""","White",12.0
"Vernon School District","Vernon Center Middle School","=""1465111""","American Indian or Alaska Native","*"
"Vernon School District","Vernon Center Middle School","=""1465111""","Asian","*"
"Vernon School District","Vernon Center Middle School","=""1465111""","Black or African American","*"
"Vernon School District","Vernon Center Middle School","=""1465111""","Hispanic/Latino of any race",11.5
"Vernon School District","Vernon Center Middle School","=""1465111""","Two or More Races","*"
"Vernon School District","Vernon Center Middle School","=""1465111""","White",2.8
"Vernon School District","Maple Street School","=""1460211""","Asian","*"
"Vernon School District","Maple Street School","=""1460211""","Black or African American",14.3
"Vernon School District","Maple Street School","=""1460211""","Hispanic/Latino of any race",18.5
"Vernon School District","Maple Street School","=""1460211""","Two or More Races","*"
"Vernon School District","Maple Street School","=""1460211""","White",6.5
"Vernon School District","Skinner Road School","=""1461011""","Asian","*"
"Vernon School District","Skinner Road School","=""1461011""","Black or African American","*"
"Vernon School District","Skinner Road School","=""1461011""","Hispanic/Latino of any race","*"
"Vernon School District","Skinner Road School","=""1461011""","Two or More Races","*"
"Vernon School District","Skinner Road School","=""1461011""","White",3.8
"Vernon School District","Loveland Hill School","=""1460511""","Black or African American","*"
"Vernon School District","Loveland Hill School","=""1460511""","Hispanic/Latino of any race","*"
"Vernon School District","Loveland Hill School","=""1460511""","Two or More Races","*"
"Vernon School District","Loveland Hill School","=""1460511""","White","*"
"Vernon School District","Next Step Program (AACBP)","=""1469011""","Black or African American","*"
"Vernon School District","Next Step Program (AACBP)","=""1469011""","Hispanic/Latino of any race","*"
"Vernon School District","Next Step Program (AACBP)","=""1469011""","White","*"
"Voluntown School District","Voluntown Elementary School","=""1470111""","American Indian or Alaska Native","*"
"Voluntown School District","Voluntown Elementary School","=""1470111""","Asian","*"
"Voluntown School District","Voluntown Elementary School","=""1470111""","Black or African American","*"
"Voluntown School District","Voluntown Elementary School","=""1470111""","Hispanic/Latino of any race","*"
"Voluntown School District","Voluntown Elementary School","=""1470111""","Two or More Races","*"
"Voluntown School District","Voluntown Elementary School","=""1470111""","White",9.5
"Wallingford School District","Highland School","=""1480211""","American Indian or Alaska Native","*"
"Wallingford School District","Highland School","=""1480211""","Asian","*"
"Wallingford School District","Highland School","=""1480211""","Black or African American","*"
"Wallingford School District","Highland School","=""1480211""","Hispanic/Latino of any race","*"
"Wallingford School District","Highland School","=""1480211""","Native Hawaiian or Other Pacific Islander","*"
"Wallingford School District","Highland School","=""1480211""","Two or More Races","*"
"Wallingford School District","Highland School","=""1480211""","White",2.7
"Wallingford School District","Cook Hill School","=""1481011""","American Indian or Alaska Native","*"
"Wallingford School District","Cook Hill School","=""1481011""","Asian","*"
"Wallingford School District","Cook Hill School","=""1481011""","Black or African American","*"
"Wallingford School District","Cook Hill School","=""1481011""","Hispanic/Latino of any race","*"
"Wallingford School District","Cook Hill School","=""1481011""","Two or More Races","*"
"Wallingford School District","Cook Hill School","=""1481011""","White","*"
"Wallingford School District","Dag  Hammarskjold Middle School","=""1485211""","American Indian or Alaska Native","*"
"Wallingford School District","Dag  Hammarskjold Middle School","=""1485211""","Asian",0.0
"Wallingford School District","Dag  Hammarskjold Middle School","=""1485211""","Black or African American","*"
"Wallingford School District","Dag  Hammarskjold Middle School","=""1485211""","Hispanic/Latino of any race",5.7
"Wallingford School District","Dag  Hammarskjold Middle School","=""1485211""","White",4.0
"Wallingford School District","Evarts C. Stevens School","=""1480911""","American Indian or Alaska Native","*"
"Wallingford School District","Evarts C. Stevens School","=""1480911""","Asian","*"
"Wallingford School District","Evarts C. Stevens School","=""1480911""","Black or African American","*"
"Wallingford School District","Evarts C. Stevens School","=""1480911""","Hispanic/Latino of any race","*"
"Wallingford School District","Evarts C. Stevens School","=""1480911""","Two or More Races","*"
"Wallingford School District","Evarts C. Stevens School","=""1480911""","White",3.9
"Wallingford School District","Lyman Hall High School","=""1486111""","American Indian or Alaska Native","*"
"Wallingford School District","Lyman Hall High School","=""1486111""","Asian","*"
"Wallingford School District","Lyman Hall High School","=""1486111""","Black or African American","*"
"Wallingford School District","Lyman Hall High School","=""1486111""","Hispanic/Latino of any race",12.2
"Wallingford School District","Lyman Hall High School","=""1486111""","Native Hawaiian or Other Pacific Islander","*"
"Wallingford School District","Lyman Hall High School","=""1486111""","Two or More Races","*"
"Wallingford School District","Lyman Hall High School","=""1486111""","White",6.9
"Wallingford School District","Mark T. Sheehan High School","=""1486211""","American Indian or Alaska Native","*"
"Wallingford School District","Mark T. Sheehan High School","=""1486211""","Asian",0.0
"Wallingford School District","Mark T. Sheehan High School","=""1486211""","Black or African American","*"
"Wallingford School District","Mark T. Sheehan High School","=""1486211""","Hispanic/Latino of any race",15.6
"Wallingford School District","Mark T. Sheehan High School","=""1486211""","White",7.3
"Wallingford School District","Rock Hill School","=""1480411""","American Indian or Alaska Native","*"
"Wallingford School District","Rock Hill School","=""1480411""","Asian","*"
"Wallingford School District","Rock Hill School","=""1480411""","Black or African American","*"
"Wallingford School District","Rock Hill School","=""1480411""","Hispanic/Latino of any race","*"
"Wallingford School District","Rock Hill School","=""1480411""","White",2.6
"Wallingford School District","Yalesville School","=""1480811""","American Indian or Alaska Native","*"
"Wallingford School District","Yalesville School","=""1480811""","Asian","*"
"Wallingford School District","Yalesville School","=""1480811""","Black or African American","*"
"Wallingford School District","Yalesville School","=""1480811""","Hispanic/Latino of any race","*"
"Wallingford School District","Yalesville School","=""1480811""","Two or More Races","*"
"Wallingford School District","Yalesville School","=""1480811""","White",2.3
"Wallingford School District","A.R.T.S. Academy","=""1489011""","Asian","*"
"Wallingford School District","A.R.T.S. Academy","=""1489011""","Hispanic/Latino of any race","*"
"Wallingford School District","A.R.T.S. Academy","=""1489011""","White","*"
"Wallingford School District","James H. Moran Middle School","=""1485311""","Asian","*"
"Wallingford School District","James H. Moran Middle School","=""1485311""","Black or African American","*"
"Wallingford School District","James H. Moran Middle School","=""1485311""","Hispanic/Latino of any race","*"
"Wallingford School District","James H. Moran Middle School","=""1485311""","Two or More Races","*"
"Wallingford School District","James H. Moran Middle School","=""1485311""","White",5.4
"Wallingford School District","Moses Y. Beach School","=""1480111""","Asian","*"
"Wallingford School District","Moses Y. Beach School","=""1480111""","Black or African American","*"
"Wallingford School District","Moses Y. Beach School","=""1480111""","Hispanic/Latino of any race","*"
"Wallingford School District","Moses Y. Beach School","=""1480111""","Two or More Races","*"
"Wallingford School District","Moses Y. Beach School","=""1480111""","White",2.8
"Wallingford School District","Parker Farms School","=""1480311""","Asian","*"
"Wallingford School District","Parker Farms School","=""1480311""","Black or African American","*"
"Wallingford School District","Parker Farms School","=""1480311""","Hispanic/Latino of any race","*"
"Wallingford School District","Parker Farms School","=""1480311""","Two or More Races","*"
"Wallingford School District","Parker Farms School","=""1480311""","White",3.6
"Wallingford School District","Pond Hill School","=""1481211""","Asian","*"
"Wallingford School District","Pond Hill School","=""1481211""","Black or African American","*"
"Wallingford School District","Pond Hill School","=""1481211""","Hispanic/Latino of any race","*"
"Wallingford School District","Pond Hill School","=""1481211""","Two or More Races","*"
"Wallingford School District","Pond Hill School","=""1481211""","White",4.0
"Wallingford School District","Multi-Vocational Life Skills Program","=""1489111""","Hispanic/Latino of any race","*"
"Wallingford School District","Multi-Vocational Life Skills Program","=""1489111""","White","*"
"Wallingford School District","Harvest Park","=""1489211""","White","*"
"Waterbury School District","West Side Middle School","=""1515211""","American Indian or Alaska Native","*"
"Waterbury School District","West Side Middle School","=""1515211""","Asian","*"
"Waterbury School District","West Side Middle School","=""1515211""","Black or African American",24.5
"Waterbury School District","West Side Middle School","=""1515211""","Hispanic/Latino of any race",22.2
"Waterbury School District","West Side Middle School","=""1515211""","Two or More Races","*"
"Waterbury School District","West Side Middle School","=""1515211""","White",18.9
"Waterbury School District","Washington School","=""1512311""","American Indian or Alaska Native","*"
"Waterbury School District","Washington School","=""1512311""","Asian","*"
"Waterbury School District","Washington School","=""1512311""","Black or African American",19.7
"Waterbury School District","Washington School","=""1512311""","Hispanic/Latino of any race",12.6
"Waterbury School District","Washington School","=""1512311""","Two or More Races","*"
"Waterbury School District","Washington School","=""1512311""","White","*"
"Waterbury School District","B. W. Tinker School","=""1512111""","American Indian or Alaska Native","*"
"Waterbury School District","B. W. Tinker School","=""1512111""","Asian","*"
"Waterbury School District","B. W. Tinker School","=""1512111""","Black or African American",11.5
"Waterbury School District","B. W. Tinker School","=""1512111""","Hispanic/Latino of any race",14.2
"Waterbury School District","B. W. Tinker School","=""1512111""","Two or More Races","*"
"Waterbury School District","B. W. Tinker School","=""1512111""","White",6.0
"Waterbury School District","Bunker Hill School","=""1510611""","American Indian or Alaska Native","*"
"Waterbury School District","Bunker Hill School","=""1510611""","Asian","*"
"Waterbury School District","Bunker Hill School","=""1510611""","Black or African American",18.9
"Waterbury School District","Bunker Hill School","=""1510611""","Hispanic/Latino of any race",25.0
"Waterbury School District","Bunker Hill School","=""1510611""","Two or More Races","*"
"Waterbury School District","Bunker Hill School","=""1510611""","White",14.4
"Waterbury School District","Carrington School","=""1512711""","American Indian or Alaska Native","*"
"Waterbury School District","Carrington School","=""1512711""","Asian","*"
"Waterbury School District","Carrington School","=""1512711""","Black or African American","*"
"Waterbury School District","Carrington School","=""1512711""","Hispanic/Latino of any race",13.6
"Waterbury School District","Carrington School","=""1512711""","Two or More Races","*"
"Waterbury School District","Carrington School","=""1512711""","White","*"
"Waterbury School District","Crosby High School","=""1516211""","American Indian or Alaska Native","*"
"Waterbury School District","Crosby High School","=""1516211""","Asian","*"
"Waterbury School District","Crosby High School","=""1516211""","Black or African American",27.4
"Waterbury School District","Crosby High School","=""1516211""","Hispanic/Latino of any race",34.9
"Waterbury School District","Crosby High School","=""1516211""","Native Hawaiian or Other Pacific Islander","*"
"Waterbury School District","Crosby High School","=""1516211""","Two or More Races",22.2
"Waterbury School District","Crosby High School","=""1516211""","White",30.1
"Waterbury School District","Driggs School","=""1510911""","American Indian or Alaska Native","*"
"Waterbury School District","Driggs School","=""1510911""","Asian","*"
"Waterbury School District","Driggs School","=""1510911""","Black or African American",24.2
"Waterbury School District","Driggs School","=""1510911""","Hispanic/Latino of any race",28.6
"Waterbury School District","Driggs School","=""1510911""","Two or More Races",34.8
"Waterbury School District","Driggs School","=""1510911""","White",23.2
"Waterbury School District","Duggan School","=""1511611""","American Indian or Alaska Native","*"
"Waterbury School District","Duggan School","=""1511611""","Asian","*"
"Waterbury School District","Duggan School","=""1511611""","Black or African American","*"
"Waterbury School District","Duggan School","=""1511611""","Hispanic/Latino of any race",18.6
"Waterbury School District","Duggan School","=""1511611""","Two or More Races","*"
"Waterbury School District","Duggan School","=""1511611""","White",20.0
"Waterbury School District","F. J. Kingsbury School","=""1511411""","American Indian or Alaska Native","*"
"Waterbury School District","F. J. Kingsbury School","=""1511411""","Asian","*"
"Waterbury School District","F. J. Kingsbury School","=""1511411""","Black or African American",11.2
"Waterbury School District","F. J. Kingsbury School","=""1511411""","Hispanic/Latino of any race",16.9
"Waterbury School District","F. J. Kingsbury School","=""1511411""","Two or More Races","*"
"Waterbury School District","F. J. Kingsbury School","=""1511411""","White",10.4
"Waterbury School District","Gilmartin School","=""1512611""","American Indian or Alaska Native","*"
"Waterbury School District","Gilmartin School","=""1512611""","Asian","*"
"Waterbury School District","Gilmartin School","=""1512611""","Black or African American","*"
"Waterbury School District","Gilmartin School","=""1512611""","Hispanic/Latino of any race",13.2
"Waterbury School District","Gilmartin School","=""1512611""","Two or More Races","*"
"Waterbury School District","Gilmartin School","=""1512611""","White",8.9
"Waterbury School District","H. S. Chase School","=""1510711""","American Indian or Alaska Native","*"
"Waterbury School District","H. S. Chase School","=""1510711""","Asian","*"
"Waterbury School District","H. S. Chase School","=""1510711""","Black or African American",4.4
"Waterbury School District","H. S. Chase School","=""1510711""","Hispanic/Latino of any race",10.0
"Waterbury School District","H. S. Chase School","=""1510711""","Two or More Races","*"
"Waterbury School District","H. S. Chase School","=""1510711""","White",5.8
"Waterbury School District","Hopeville School","=""1511311""","American Indian or Alaska Native","*"
"Waterbury School District","Hopeville School","=""1511311""","Asian","*"
"Waterbury School District","Hopeville School","=""1511311""","Black or African American",20.0
"Waterbury School District","Hopeville School","=""1511311""","Hispanic/Latino of any race",23.8
"Waterbury School District","Hopeville School","=""1511311""","Two or More Races","*"
"Waterbury School District","Hopeville School","=""1511311""","White","*"
"Waterbury School District","John F. Kennedy High School","=""1516411""","American Indian or Alaska Native","*"
"Waterbury School District","John F. Kennedy High School","=""1516411""","Asian","*"
"Waterbury School District","John F. Kennedy High School","=""1516411""","Black or African American",26.1
"Waterbury School District","John F. Kennedy High School","=""1516411""","Hispanic/Latino of any race",36.0
"Waterbury School District","John F. Kennedy High School","=""1516411""","Native Hawaiian or Other Pacific Islander","*"
"Waterbury School District","John F. Kennedy High School","=""1516411""","Two or More Races","*"
"Waterbury School District","John F. Kennedy High School","=""1516411""","White",24.1
"Waterbury School District","Maloney Interdistrict Magnet School","=""1513111""","American Indian or Alaska Native","*"
"Waterbury School District","Maloney Interdistrict Magnet School","=""1513111""","Asian","*"
"Waterbury School District","Maloney Interdistrict Magnet School","=""1513111""","Black or African American","*"
"Waterbury School District","Maloney Interdistrict Magnet School","=""1513111""","Hispanic/Latino of any race","*"
"Waterbury School District","Maloney Interdistrict Magnet School","=""1513111""","Two or More Races","*"
"Waterbury School District","Maloney Interdistrict Magnet School","=""1513111""","White","*"
"Waterbury School District","Margaret M. Generali Elementary School","=""1511111""","American Indian or Alaska Native","*"
"Waterbury School District","Margaret M. Generali Elementary School","=""1511111""","Asian","*"
"Waterbury School District","Margaret M. Generali Elementary School","=""1511111""","Black or African American",10.3
"Waterbury School District","Margaret M. Generali Elementary School","=""1511111""","Hispanic/Latino of any race",12.2
"Waterbury School District","Margaret M. Generali Elementary School","=""1511111""","Native Hawaiian or Other Pacific Islander","*"
"Waterbury School District","Margaret M. Generali Elementary School","=""1511111""","Two or More Races","*"
"Waterbury School District","Margaret M. Generali Elementary School","=""1511111""","White","*"
"Waterbury School District","Michael F. Wallace Middle School","=""1515111""","American Indian or Alaska Native","*"
"Waterbury School District","Michael F. Wallace Middle School","=""1515111""","Asian","*"
"Waterbury School District","Michael F. Wallace Middle School","=""1515111""","Black or African American",19.9
"Waterbury School District","Michael F. Wallace Middle School","=""1515111""","Hispanic/Latino of any race",28.4
"Waterbury School District","Michael F. Wallace Middle School","=""1515111""","Native Hawaiian or Other Pacific Islander","*"
"Waterbury School District","Michael F. Wallace Middle School","=""1515111""","Two or More Races","*"
"Waterbury School District","Michael F. Wallace Middle School","=""1515111""","White",15.4
"Waterbury School District","North End Middle School","=""1515311""","American Indian or Alaska Native","*"
"Waterbury School District","North End Middle School","=""1515311""","Asian","*"
"Waterbury School District","North End Middle School","=""1515311""","Black or African American",22.6
"Waterbury School District","North End Middle School","=""1515311""","Hispanic/Latino of any race",20.9
"Waterbury School District","North End Middle School","=""1515311""","Two or More Races","*"
"Waterbury School District","North End Middle School","=""1515311""","White",20.3
"Waterbury School District","Reed School","=""1513411""","American Indian or Alaska Native","*"
"Waterbury School District","Reed School","=""1513411""","Black or African American",8.3
"Waterbury School District","Reed School","=""1513411""","Hispanic/Latino of any race",13.5
"Waterbury School District","Reed School","=""1513411""","Two or More Races","*"
"Waterbury School District","Reed School","=""1513411""","White","*"
"Waterbury School District","Sprague School","=""1512011""","American Indian or Alaska Native","*"
"Waterbury School District","Sprague School","=""1512011""","Asian","*"
"Waterbury School District","Sprague School","=""1512011""","Black or African American",15.6
"Waterbury School District","Sprague School","=""1512011""","Hispanic/Latino of any race",23.9
"Waterbury School District","Sprague School","=""1512011""","Two or More Races","*"
"Waterbury School District","Sprague School","=""1512011""","White","*"
"Waterbury School District","Waterbury Arts Magnet School (Middle)","=""1515011""","American Indian or Alaska Native","*"
"Waterbury School District","Waterbury Arts Magnet School (Middle)","=""1515011""","Asian","*"
"Waterbury School District","Waterbury Arts Magnet School (Middle)","=""1515011""","Black or African American","*"
"Waterbury School District","Waterbury Arts Magnet School (Middle)","=""1515011""","Hispanic/Latino of any race",8.6
"Waterbury School District","Waterbury Arts Magnet School (Middle)","=""1515011""","Two or More Races","*"
"Waterbury School District","Waterbury Arts Magnet School (Middle)","=""1515011""","White",10.1
"Waterbury School District","Waterbury Career Academy","=""1516711""","American Indian or Alaska Native","*"
"Waterbury School District","Waterbury Career Academy","=""1516711""","Asian","*"
"Waterbury School District","Waterbury Career Academy","=""1516711""","Black or African American","*"
"Waterbury School District","Waterbury Career Academy","=""1516711""","Hispanic/Latino of any race",10.1
"Waterbury School District","Waterbury Career Academy","=""1516711""","Two or More Races","*"
"Waterbury School District","Waterbury Career Academy","=""1516711""","White","*"
"Waterbury School District","Wendell L. Cross School","=""1510811""","American Indian or Alaska Native","*"
"Waterbury School District","Wendell L. Cross School","=""1510811""","Asian","*"
"Waterbury School District","Wendell L. Cross School","=""1510811""","Black or African American","*"
