"Chronic Absenteeism, 2012-13"
", All Schools, Grade"

"District","District Code","School","School Code","Grade","% Chronically Absent"
"Stonington School District","=""1370011""","Deans Mill School","=""1370511""","Grade   3","*"
"Stonington School District","=""1370011""","Deans Mill School","=""1370511""","Grade   4",6.4
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""","Grade   5",8.1
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""","Grade   6",6.5
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""","Grade   7",6.1
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""","Grade   8",9.5
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""","Grade   5","*"
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""","Grade   6","*"
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""","Grade   7","*"
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""","Grade   8",7.2
"Stonington School District","=""1370011""","Stonington High School","=""1376111""","Grade   9",5.8
"Stonington School District","=""1370011""","Stonington High School","=""1376111""","Grade 10","*"
"Stonington School District","=""1370011""","Stonington High School","=""1376111""","Grade 11","*"
"Stonington School District","=""1370011""","Stonington High School","=""1376111""","Grade 12",8.2
"Stonington School District","=""1370011""","West Broad Street School","=""1370411""","Grade   3","*"
"Stonington School District","=""1370011""","West Broad Street School","=""1370411""","Grade   4","*"
"Stonington School District","=""1370011""","West Vine Street School","=""1370611""","Kindergarten","*"
"Stonington School District","=""1370011""","West Vine Street School","=""1370611""","Grade   1",8.2
"Stonington School District","=""1370011""","West Vine Street School","=""1370611""","Grade   2","*"
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""","Kindergarten",15.9
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""","Grade   1",9.1
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""","Grade   2",9.0
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""","Grade   3","*"
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""","Grade   4",7.1
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""","Grade   5","*"
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""","Grade   6","*"
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""","Grade   9",12.4
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""","Grade 10",14.6
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""","Grade 11",15.7
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""","Grade 12",22.8
"Stratford School District","=""1380011""","Chapel School","=""1380311""","Kindergarten",11.1
"Stratford School District","=""1380011""","Chapel School","=""1380311""","Grade   1",11.8
"Stratford School District","=""1380011""","Chapel School","=""1380311""","Grade   2",8.3
"Stratford School District","=""1380011""","Chapel School","=""1380311""","Grade   3","*"
"Stratford School District","=""1380011""","Chapel School","=""1380311""","Grade   4","*"
"Stratford School District","=""1380011""","Chapel School","=""1380311""","Grade   5",10.1
"Stratford School District","=""1380011""","Chapel School","=""1380311""","Grade   6","*"
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""","Grade   7",11.2
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""","Grade   8",16.5
"Stratford School District","=""1380011""","Franklin School","=""1380411""","Kindergarten",15.4
"Stratford School District","=""1380011""","Franklin School","=""1380411""","Grade   1",22.7
"Stratford School District","=""1380011""","Franklin School","=""1380411""","Grade   2","*"
"Stratford School District","=""1380011""","Franklin School","=""1380411""","Grade   3",18.8
"Stratford School District","=""1380011""","Franklin School","=""1380411""","Grade   4",0.0
"Stratford School District","=""1380011""","Franklin School","=""1380411""","Grade   5","*"
"Stratford School District","=""1380011""","Franklin School","=""1380411""","Grade   6",15.9
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""","Grade   7","*"
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""","Grade   8",17.0
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""","Grade   9","*"
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""","Grade 11","*"
"Stratford School District","=""1380011""","Honeyspot School","=""1381611""","Kindergarten","*"
"Stratford School District","=""1380011""","Honeyspot School","=""1381611""","Grade   1",9.0
"Stratford School District","=""1380011""","Honeyspot School","=""1381611""","Grade   2","*"
"Stratford School District","=""1380011""","Lordship School","=""1380811""","Kindergarten",18.9
"Stratford School District","=""1380011""","Lordship School","=""1380811""","Grade   1","*"
"Stratford School District","=""1380011""","Lordship School","=""1380811""","Grade   2","*"
"Stratford School District","=""1380011""","Lordship School","=""1380811""","Grade   3","*"
"Stratford School District","=""1380011""","Lordship School","=""1380811""","Grade   4","*"
"Stratford School District","=""1380011""","Lordship School","=""1380811""","Grade   5","*"
"Stratford School District","=""1380011""","Lordship School","=""1380811""","Grade   6","*"
"Stratford School District","=""1380011""","Nichols School","=""1380911""","Kindergarten",12.5
"Stratford School District","=""1380011""","Nichols School","=""1380911""","Grade   1",9.5
"Stratford School District","=""1380011""","Nichols School","=""1380911""","Grade   2","*"
"Stratford School District","=""1380011""","Nichols School","=""1380911""","Grade   3","*"
"Stratford School District","=""1380011""","Nichols School","=""1380911""","Grade   4",8.7
"Stratford School District","=""1380011""","Nichols School","=""1380911""","Grade   5","*"
"Stratford School District","=""1380011""","Nichols School","=""1380911""","Grade   6","*"
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""","Kindergarten",8.7
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""","Grade   1",8.9
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""","Grade   2","*"
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""","Grade   3",8.5
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""","Grade   4",12.0
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""","Grade   5",8.0
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""","Grade   6","*"
"Stratford School District","=""1380011""","Secondary STEPS Program","=""1389111""","Grade   7","*"
"Stratford School District","=""1380011""","Secondary STEPS Program","=""1389111""","Grade   8","*"
"Stratford School District","=""1380011""","Secondary STEPS Program","=""1389111""","Grade   9","*"
"Stratford School District","=""1380011""","Secondary STEPS Program","=""1389111""","Grade 10","*"
"Stratford School District","=""1380011""","Secondary STEPS Program","=""1389111""","Grade 12","*"
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""","Grade   3","*"
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""","Grade   4",8.4
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""","Grade   5","*"
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""","Grade   6",6.7
"Stratford School District","=""1380011""","Stratford High School","=""1386111""","Grade   9",20.4
"Stratford School District","=""1380011""","Stratford High School","=""1386111""","Grade 10",15.4
"Stratford School District","=""1380011""","Stratford High School","=""1386111""","Grade 11",14.1
"Stratford School District","=""1380011""","Stratford High School","=""1386111""","Grade 12",28.5
"Stratford School District","=""1380011""","Strive-Stratford","=""1389011""","Grade 12","*"
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""","Kindergarten","*"
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""","Grade   1","*"
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""","Grade   2","*"
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""","Grade   3","*"
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""","Grade   4","*"
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""","Grade   5",10.3
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""","Grade   6","*"
"Suffield School District","=""1390011""","A. Ward Spaulding School","=""1390411""","Kindergarten",7.5
"Suffield School District","=""1390011""","A. Ward Spaulding School","=""1390411""","Grade   1",8.1
"Suffield School District","=""1390011""","A. Ward Spaulding School","=""1390411""","Grade   2",9.6
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""","Grade   3","*"
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""","Grade   4","*"
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""","Grade   5",4.3
"Suffield School District","=""1390011""","Suffield High School","=""1396111""","Grade   9",5.0
"Suffield School District","=""1390011""","Suffield High School","=""1396111""","Grade 10",4.2
"Suffield School District","=""1390011""","Suffield High School","=""1396111""","Grade 11",5.7
"Suffield School District","=""1390011""","Suffield High School","=""1396111""","Grade 12",7.1
"Suffield School District","=""1390011""","Suffield Middle School","=""1395111""","Grade   6",5.3
"Suffield School District","=""1390011""","Suffield Middle School","=""1395111""","Grade   7",4.9
"Suffield School District","=""1390011""","Suffield Middle School","=""1395111""","Grade   8",8.6
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""","Grade   7",0.0
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""","Grade   8","*"
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""","Grade   9","*"
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""","Grade 10","*"
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""","Grade 11","*"
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""","Grade 12","*"
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""","Grade   7",11.1
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""","Grade   8",17.9
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""","Grade   9",17.6
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""","Grade 10",16.9
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""","Grade 11",13.8
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""","Grade 12",11.3
"Thomaston School District","=""1400011""","Black Rock School","=""1400111""","Kindergarten",12.7
"Thomaston School District","=""1400011""","Black Rock School","=""1400111""","Grade   1",15.7
"Thomaston School District","=""1400011""","Black Rock School","=""1400111""","Grade   2",7.7
"Thomaston School District","=""1400011""","Black Rock School","=""1400111""","Grade   3","*"
"Thomaston School District","=""1400011""","Thomaston Center School","=""1400211""","Grade   4","*"
"Thomaston School District","=""1400011""","Thomaston Center School","=""1400211""","Grade   5","*"
"Thomaston School District","=""1400011""","Thomaston Center School","=""1400211""","Grade   6","*"
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""","Grade   7",12.7
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""","Grade   8","*"
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""","Grade   9","*"
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""","Grade 10","*"
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""","Grade 11",0.0
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""","Grade 12","*"
"Thompson School District","=""1410011""","Mary R. Fisher Elementary School","=""1410111""","Kindergarten",12.2
"Thompson School District","=""1410011""","Mary R. Fisher Elementary School","=""1410111""","Grade   1",11.7
"Thompson School District","=""1410011""","Mary R. Fisher Elementary School","=""1410111""","Grade   2",9.7
"Thompson School District","=""1410011""","Mary R. Fisher Elementary School","=""1410111""","Grade   3",9.4
"Thompson School District","=""1410011""","Mary R. Fisher Elementary School","=""1410111""","Grade   4",7.8
"Thompson School District","=""1410011""","Thompson Middle School","=""1415111""","Grade   5","*"
"Thompson School District","=""1410011""","Thompson Middle School","=""1415111""","Grade   6",6.0
"Thompson School District","=""1410011""","Thompson Middle School","=""1415111""","Grade   7","*"
"Thompson School District","=""1410011""","Thompson Middle School","=""1415111""","Grade   8",5.3
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""","Grade   9","*"
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""","Grade 10",12.9
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""","Grade 11",12.3
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""","Grade 12","*"
"Tolland School District","=""1420011""","Birch Grove Primary School","=""1420111""","Kindergarten","*"
"Tolland School District","=""1420011""","Birch Grove Primary School","=""1420111""","Grade   1","*"
"Tolland School District","=""1420011""","Birch Grove Primary School","=""1420111""","Grade   2","*"
"Tolland School District","=""1420011""","Tolland High School","=""1426111""","Grade   9",5.6
"Tolland School District","=""1420011""","Tolland High School","=""1426111""","Grade 10",6.6
"Tolland School District","=""1420011""","Tolland High School","=""1426111""","Grade 11",7.6
"Tolland School District","=""1420011""","Tolland High School","=""1426111""","Grade 12",8.9
"Tolland School District","=""1420011""","Tolland Intermediate School","=""1420211""","Grade   3","*"
"Tolland School District","=""1420011""","Tolland Intermediate School","=""1420211""","Grade   4",3.1
"Tolland School District","=""1420011""","Tolland Intermediate School","=""1420211""","Grade   5","*"
"Tolland School District","=""1420011""","Tolland Middle School","=""1425111""","Grade   6",3.8
"Tolland School District","=""1420011""","Tolland Middle School","=""1425111""","Grade   7",4.6
"Tolland School District","=""1420011""","Tolland Middle School","=""1425111""","Grade   8",8.4
"Torrington School District","=""1430011""","East School","=""1430111""","Kindergarten",10.6
"Torrington School District","=""1430011""","East School","=""1430111""","Grade   1",10.2
"Torrington School District","=""1430011""","East School","=""1430111""","Grade   2","*"
"Torrington School District","=""1430011""","East School","=""1430111""","Grade   3",7.7
"Torrington School District","=""1430011""","East School","=""1430111""","Grade   4","*"
"Torrington School District","=""1430011""","East School","=""1430111""","Grade   5","*"
"Torrington School District","=""1430011""","Forbes School","=""1430211""","Kindergarten",14.3
"Torrington School District","=""1430011""","Forbes School","=""1430211""","Grade   1",12.7
"Torrington School District","=""1430011""","Forbes School","=""1430211""","Grade   2",10.3
"Torrington School District","=""1430011""","Forbes School","=""1430211""","Grade   3","*"
"Torrington School District","=""1430011""","Forbes School","=""1430211""","Grade   4","*"
"Torrington School District","=""1430011""","Forbes School","=""1430211""","Grade   5",10.5
"Torrington School District","=""1430011""","Southwest School","=""1430811""","Kindergarten",13.4
"Torrington School District","=""1430011""","Southwest School","=""1430811""","Grade   1","*"
"Torrington School District","=""1430011""","Southwest School","=""1430811""","Grade   2",20.8
"Torrington School District","=""1430011""","Southwest School","=""1430811""","Grade   3",9.7
"Torrington School District","=""1430011""","Southwest School","=""1430811""","Grade   4",14.0
"Torrington School District","=""1430011""","Southwest School","=""1430811""","Grade   5","*"
"Torrington School District","=""1430011""","Torringford School","=""1430911""","Kindergarten","*"
"Torrington School District","=""1430011""","Torringford School","=""1430911""","Grade   1","*"
"Torrington School District","=""1430011""","Torringford School","=""1430911""","Grade   2",6.2
"Torrington School District","=""1430011""","Torringford School","=""1430911""","Grade   3","*"
"Torrington School District","=""1430011""","Torringford School","=""1430911""","Grade   4",8.2
"Torrington School District","=""1430011""","Torringford School","=""1430911""","Grade   5","*"
"Torrington School District","=""1430011""","Torrington High School","=""1436111""","Grade   9",24.4
"Torrington School District","=""1430011""","Torrington High School","=""1436111""","Grade 10",16.3
"Torrington School District","=""1430011""","Torrington High School","=""1436111""","Grade 11",24.0
"Torrington School District","=""1430011""","Torrington High School","=""1436111""","Grade 12",29.0
"Torrington School District","=""1430011""","Torrington Middle School","=""1435111""","Grade   6",13.5
"Torrington School District","=""1430011""","Torrington Middle School","=""1435111""","Grade   7",15.4
"Torrington School District","=""1430011""","Torrington Middle School","=""1435111""","Grade   8",16.2
"Torrington School District","=""1430011""","Vogel-Wetmore School","=""1431311""","Kindergarten",14.8
"Torrington School District","=""1430011""","Vogel-Wetmore School","=""1431311""","Grade   1",10.3
"Torrington School District","=""1430011""","Vogel-Wetmore School","=""1431311""","Grade   2",8.6
"Torrington School District","=""1430011""","Vogel-Wetmore School","=""1431311""","Grade   3","*"
"Torrington School District","=""1430011""","Vogel-Wetmore School","=""1431311""","Grade   4",10.5
"Torrington School District","=""1430011""","Vogel-Wetmore School","=""1431311""","Grade   5","*"
"Trailblazers Academy District","=""2780013""","Trailblazers Academy","=""2785113""","Grade   6","*"
"Trailblazers Academy District","=""2780013""","Trailblazers Academy","=""2785113""","Grade   7","*"
"Trailblazers Academy District","=""2780013""","Trailblazers Academy","=""2785113""","Grade   8","*"
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""","Kindergarten","*"
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""","Grade   1","*"
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""","Grade   2","*"
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""","Grade   3","*"
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""","Grade   4","*"
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""","Grade   5","*"
"Trumbull School District","=""1440011""","Daniels Farm School","=""1440811""","Kindergarten","*"
"Trumbull School District","=""1440011""","Daniels Farm School","=""1440811""","Grade   1",10.5
"Trumbull School District","=""1440011""","Daniels Farm School","=""1440811""","Grade   2","*"
"Trumbull School District","=""1440011""","Daniels Farm School","=""1440811""","Grade   3","*"
"Trumbull School District","=""1440011""","Daniels Farm School","=""1440811""","Grade   4",0.0
"Trumbull School District","=""1440011""","Daniels Farm School","=""1440811""","Grade   5",0.0
"Trumbull School District","=""1440011""","Frenchtown Elementary School","=""1441011""","Kindergarten",9.4
"Trumbull School District","=""1440011""","Frenchtown Elementary School","=""1441011""","Grade   1",5.8
"Trumbull School District","=""1440011""","Frenchtown Elementary School","=""1441011""","Grade   2","*"
"Trumbull School District","=""1440011""","Frenchtown Elementary School","=""1441011""","Grade   3","*"
"Trumbull School District","=""1440011""","Frenchtown Elementary School","=""1441011""","Grade   4",5.7
"Trumbull School District","=""1440011""","Frenchtown Elementary School","=""1441011""","Grade   5",5.7
"Trumbull School District","=""1440011""","Hillcrest Middle School","=""1445211""","Grade   6",7.3
"Trumbull School District","=""1440011""","Hillcrest Middle School","=""1445211""","Grade   7",7.8
"Trumbull School District","=""1440011""","Hillcrest Middle School","=""1445211""","Grade   8",10.5
"Trumbull School District","=""1440011""","Jane Ryan School","=""1440411""","Kindergarten","*"
"Trumbull School District","=""1440011""","Jane Ryan School","=""1440411""","Grade   1","*"
"Trumbull School District","=""1440011""","Jane Ryan School","=""1440411""","Grade   2","*"
"Trumbull School District","=""1440011""","Jane Ryan School","=""1440411""","Grade   3","*"
"Trumbull School District","=""1440011""","Jane Ryan School","=""1440411""","Grade   4","*"
"Trumbull School District","=""1440011""","Jane Ryan School","=""1440411""","Grade   5","*"
"Trumbull School District","=""1440011""","Madison Middle School","=""1445111""","Grade   6",5.2
"Trumbull School District","=""1440011""","Madison Middle School","=""1445111""","Grade   7",6.4
"Trumbull School District","=""1440011""","Madison Middle School","=""1445111""","Grade   8",9.7
"Trumbull School District","=""1440011""","Middlebrook School","=""1440311""","Kindergarten","*"
"Trumbull School District","=""1440011""","Middlebrook School","=""1440311""","Grade   1","*"
"Trumbull School District","=""1440011""","Middlebrook School","=""1440311""","Grade   2","*"
"Trumbull School District","=""1440011""","Middlebrook School","=""1440311""","Grade   3","*"
"Trumbull School District","=""1440011""","Middlebrook School","=""1440311""","Grade   4","*"
"Trumbull School District","=""1440011""","Middlebrook School","=""1440311""","Grade   5","*"
"Trumbull School District","=""1440011""","Tashua School","=""1440911""","Kindergarten",0.0
"Trumbull School District","=""1440011""","Tashua School","=""1440911""","Grade   1",0.0
"Trumbull School District","=""1440011""","Tashua School","=""1440911""","Grade   2","*"
"Trumbull School District","=""1440011""","Tashua School","=""1440911""","Grade   3","*"
"Trumbull School District","=""1440011""","Tashua School","=""1440911""","Grade   4","*"
"Trumbull School District","=""1440011""","Tashua School","=""1440911""","Grade   5","*"
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""","Grade   9","*"
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""","Grade 10",2.4
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""","Grade 11",3.1
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""","Grade 12","*"
"Unified School District #1","=""3360015""","Bridgeport Correctional Center","=""3360115""","Grade 10","*"
"Unified School District #1","=""3360015""","Bridgeport Correctional Center","=""3360115""","Grade 11","*"
"Unified School District #1","=""3360015""","Bridgeport Correctional Center","=""3360115""","Grade 12","*"
"Unified School District #1","=""3360015""","Brooklyn Correctional Institution","=""3360215""","Grade 11","*"
"Unified School District #1","=""3360015""","Brooklyn Correctional Institution","=""3360215""","Grade 12","*"
"Unified School District #1","=""3360015""","Cheshire Correctional Institution","=""3360315""","Grade   9","*"
"Unified School District #1","=""3360015""","Cheshire Correctional Institution","=""3360315""","Grade 10","*"
"Unified School District #1","=""3360015""","Cheshire Correctional Institution","=""3360315""","Grade 11","*"
"Unified School District #1","=""3360015""","Cheshire Correctional Institution","=""3360315""","Grade 12","*"
"Unified School District #1","=""3360015""","Corrigan/Radgowski Correctional Institution","=""3362415""","Grade   9","*"
"Unified School District #1","=""3360015""","Corrigan/Radgowski Correctional Institution","=""3362415""","Grade 10","*"
"Unified School District #1","=""3360015""","Corrigan/Radgowski Correctional Institution","=""3362415""","Grade 11","*"
"Unified School District #1","=""3360015""","Corrigan/Radgowski Correctional Institution","=""3362415""","Grade 12","*"
"Unified School District #1","=""3360015""","Enfield Correctional Institution","=""3360415""","Grade   9","*"
"Unified School District #1","=""3360015""","Enfield Correctional Institution","=""3360415""","Grade 10","*"
"Unified School District #1","=""3360015""","Enfield Correctional Institution","=""3360415""","Grade 11","*"
"Unified School District #1","=""3360015""","Enfield Correctional Institution","=""3360415""","Grade 12","*"
"Unified School District #1","=""3360015""","Garner Correctional Institution","=""3361915""","Grade   9","*"
"Unified School District #1","=""3360015""","Garner Correctional Institution","=""3361915""","Grade 10","*"
"Unified School District #1","=""3360015""","Garner Correctional Institution","=""3361915""","Grade 11","*"
"Unified School District #1","=""3360015""","Garner Correctional Institution","=""3361915""","Grade 12","*"
"Unified School District #1","=""3360015""","Hartford Correctional Center","=""3360615""","Grade   9","*"
"Unified School District #1","=""3360015""","Hartford Correctional Center","=""3360615""","Grade 10","*"
"Unified School District #1","=""3360015""","Hartford Correctional Center","=""3360615""","Grade 11","*"
"Unified School District #1","=""3360015""","Hartford Correctional Center","=""3360615""","Grade 12","*"
"Unified School District #1","=""3360015""","MacDougall/Walker Correctional Institution","=""3362215""","Grade   9","*"
"Unified School District #1","=""3360015""","MacDougall/Walker Correctional Institution","=""3362215""","Grade 10","*"
"Unified School District #1","=""3360015""","MacDougall/Walker Correctional Institution","=""3362215""","Grade 11","*"
"Unified School District #1","=""3360015""","MacDougall/Walker Correctional Institution","=""3362215""","Grade 12","*"
"Unified School District #1","=""3360015""","Manson Youth Institution","=""3361115""","Grade   8",25.7
"Unified School District #1","=""3360015""","Manson Youth Institution","=""3361115""","Grade   9",53.7
"Unified School District #1","=""3360015""","Manson Youth Institution","=""3361115""","Grade 10",58.6
"Unified School District #1","=""3360015""","Manson Youth Institution","=""3361115""","Grade 11",60.5
"Unified School District #1","=""3360015""","New Haven Correctional Center","=""3360915""","Grade   9","*"
"Unified School District #1","=""3360015""","New Haven Correctional Center","=""3360915""","Grade 10","*"
"Unified School District #1","=""3360015""","New Haven Correctional Center","=""3360915""","Grade 12","*"
"Unified School District #1","=""3360015""","Northern Correctional Institution","=""3362615""","Grade   9","*"
"Unified School District #1","=""3360015""","Northern Correctional Institution","=""3362615""","Grade 10","*"
"Unified School District #1","=""3360015""","Northern Correctional Institution","=""3362615""","Grade 11","*"
"Unified School District #1","=""3360015""","Northern Correctional Institution","=""3362615""","Grade 12","*"
"Unified School District #1","=""3360015""","Osborn Correctional Institution","=""3361215""","Grade   9","*"
"Unified School District #1","=""3360015""","Osborn Correctional Institution","=""3361215""","Grade 10","*"
"Unified School District #1","=""3360015""","Osborn Correctional Institution","=""3361215""","Grade 11","*"
"Unified School District #1","=""3360015""","Osborn Correctional Institution","=""3361215""","Grade 12","*"
"Unified School District #1","=""3360015""","Robinson Correctional Institution","=""3361315""","Grade   9","*"
"Unified School District #1","=""3360015""","Robinson Correctional Institution","=""3361315""","Grade 10","*"
"Unified School District #1","=""3360015""","Robinson Correctional Institution","=""3361315""","Grade 11","*"
"Unified School District #1","=""3360015""","Robinson Correctional Institution","=""3361315""","Grade 12","*"
"Unified School District #1","=""3360015""","Willard/Cybulski Correctional Institution","=""3361515""","Grade   9","*"
"Unified School District #1","=""3360015""","Willard/Cybulski Correctional Institution","=""3361515""","Grade 10","*"
"Unified School District #1","=""3360015""","Willard/Cybulski Correctional Institution","=""3361515""","Grade 11","*"
"Unified School District #1","=""3360015""","Willard/Cybulski Correctional Institution","=""3361515""","Grade 12","*"
"Unified School District #1","=""3360015""","York Correctional Institution","=""3362515""","Grade   9","*"
"Unified School District #1","=""3360015""","York Correctional Institution","=""3362515""","Grade 10","*"
"Unified School District #1","=""3360015""","York Correctional Institution","=""3362515""","Grade 11","*"
"Unified School District #1","=""3360015""","York Correctional Institution","=""3362515""","Grade 12","*"
"Unified School District #2","=""3470015""","Children''s Place School","=""3470115""","Grade   8","*"
"Unified School District #2","=""3470015""","Children''s Place School","=""3470115""","Grade   9","*"
"Unified School District #2","=""3470015""","Children''s Place School","=""3470115""","Grade 10","*"
"Unified School District #2","=""3470015""","Children''s Place School","=""3470115""","Grade 11","*"
"Unified School District #2","=""3470015""","Riverview School","=""3470315""","Grade   5","*"
"Unified School District #2","=""3470015""","Riverview School","=""3470315""","Grade   6","*"
"Unified School District #2","=""3470015""","Riverview School","=""3470315""","Grade   7","*"
"Unified School District #2","=""3470015""","Riverview School","=""3470315""","Grade   8","*"
"Unified School District #2","=""3470015""","Riverview School","=""3470315""","Grade   9","*"
"Unified School District #2","=""3470015""","Riverview School","=""3470315""","Grade 10","*"
"Unified School District #2","=""3470015""","Riverview School","=""3470315""","Grade 11","*"
"Unified School District #2","=""3470015""","Riverview School","=""3470315""","Grade 12","*"
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""","Grade   7","*"
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""","Grade   8","*"
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""","Grade   9",0.0
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""","Grade 10","*"
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""","Grade 11","*"
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""","Grade 12","*"
"Union School District","=""1450011""","Union Elementary School","=""1450111""","Kindergarten","*"
"Union School District","=""1450011""","Union Elementary School","=""1450111""","Grade   1","*"
"Union School District","=""1450011""","Union Elementary School","=""1450111""","Grade   2","*"
"Union School District","=""1450011""","Union Elementary School","=""1450111""","Grade   3","*"
"Union School District","=""1450011""","Union Elementary School","=""1450111""","Grade   4","*"
"Union School District","=""1450011""","Union Elementary School","=""1450111""","Grade   5","*"
"Union School District","=""1450011""","Union Elementary School","=""1450111""","Grade   6","*"
"Union School District","=""1450011""","Union Elementary School","=""1450111""","Grade   7","*"
"Union School District","=""1450011""","Union Elementary School","=""1450111""","Grade   8","*"
"Vernon School District","=""1460011""","Northeast School","=""1460311""","Kindergarten",10.5
"Vernon School District","=""1460011""","Northeast School","=""1460311""","Grade   1","*"
"Vernon School District","=""1460011""","Northeast School","=""1460311""","Grade   2","*"
"Vernon School District","=""1460011""","Northeast School","=""1460311""","Grade   3",0.0
"Vernon School District","=""1460011""","Northeast School","=""1460311""","Grade   4","*"
"Vernon School District","=""1460011""","Northeast School","=""1460311""","Grade   5","*"
"Vernon School District","=""1460011""","Center Road School","=""1461411""","Kindergarten","*"
"Vernon School District","=""1460011""","Center Road School","=""1461411""","Grade   1","*"
"Vernon School District","=""1460011""","Center Road School","=""1461411""","Grade   2","*"
"Vernon School District","=""1460011""","Center Road School","=""1461411""","Grade   3",0.0
"Vernon School District","=""1460011""","Center Road School","=""1461411""","Grade   4","*"
