"Chronic Absenteeism, 2011-12"
", All Schools, Special Education Status"

"District","District Code","School","School Code","Special Education Status","% Chronically Absent"
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","Non-Special Education","*"
"Stafford School District","=""1340011""","Staffordville School","=""1340311""","Special Education","*"
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","Non-Special Education","*"
"Stafford School District","=""1340011""","West Stafford School","=""1340411""","Special Education","*"
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","Non-Special Education","*"
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","Special Education","*"
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","Non-Special Education",13.1
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","Special Education",20.2
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Non-Special Education",10.6
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Special Education",19.6
"Stamford School District","=""1350011""","Dolan School","=""1355311""","Non-Special Education",13.4
"Stamford School District","=""1350011""","Dolan School","=""1355311""","Special Education",19.0
"Stamford School District","=""1350011""","Hart School","=""1352211""","Non-Special Education",8.8
"Stamford School District","=""1350011""","Hart School","=""1352211""","Special Education",17.0
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Non-Special Education",4.7
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Special Education",10.3
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Non-Special Education",5.0
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Special Education",0.0
"Stamford School District","=""1350011""","Newfield School","=""1350611""","Non-Special Education",10.3
"Stamford School District","=""1350011""","Newfield School","=""1350611""","Special Education",18.0
"Stamford School District","=""1350011""","Northeast School","=""1351811""","Non-Special Education",5.3
"Stamford School District","=""1350011""","Northeast School","=""1351811""","Special Education",14.0
"Stamford School District","=""1350011""","Rippowam Middle School","=""1355811""","Non-Special Education",14.6
"Stamford School District","=""1350011""","Rippowam Middle School","=""1355811""","Special Education",25.3
"Stamford School District","=""1350011""","Rogers International School","=""1350811""","Non-Special Education","*"
"Stamford School District","=""1350011""","Rogers International School","=""1350811""","Special Education","*"
"Stamford School District","=""1350011""","Roxbury School","=""1350911""","Non-Special Education","*"
"Stamford School District","=""1350011""","Roxbury School","=""1350911""","Special Education","*"
"Stamford School District","=""1350011""","Scofield Middle School","=""1355711""","Non-Special Education","*"
"Stamford School District","=""1350011""","Scofield Middle School","=""1355711""","Special Education","*"
"Stamford School District","=""1350011""","Springdale School","=""1351111""","Non-Special Education","*"
"Stamford School District","=""1350011""","Springdale School","=""1351111""","Special Education","*"
"Stamford School District","=""1350011""","Stamford High School","=""1356111""","Non-Special Education",8.7
"Stamford School District","=""1350011""","Stamford High School","=""1356111""","Special Education",13.7
"Stamford School District","=""1350011""","Stillmeadow School","=""1352111""","Non-Special Education",8.6
"Stamford School District","=""1350011""","Stillmeadow School","=""1352111""","Special Education",20.3
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""","Non-Special Education","*"
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""","Special Education","*"
"Stamford School District","=""1350011""","Toquam Magnet School","=""1351911""","Non-Special Education",9.4
"Stamford School District","=""1350011""","Toquam Magnet School","=""1351911""","Special Education",25.0
"Stamford School District","=""1350011""","Turn of River School","=""1355511""","Non-Special Education",13.0
"Stamford School District","=""1350011""","Turn of River School","=""1355511""","Special Education",17.0
"Stamford School District","=""1350011""","Westhill High School","=""1356311""","Non-Special Education",13.4
"Stamford School District","=""1350011""","Westhill High School","=""1356311""","Special Education",23.3
"Stamford School District","=""1350011""","Westover School","=""1351411""","Non-Special Education","*"
"Stamford School District","=""1350011""","Westover School","=""1351411""","Special Education","*"
"State Level","=""0000000""","State Level","=""0000000""","Non-Special Education",10.0
"State Level","=""0000000""","State Level","=""0000000""","Special Education",18.6
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""","Non-Special Education",6.6
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""","Special Education",20.3
"Stonington School District","=""1370011""","Deans Mill School","=""1370511""","Non-Special Education","*"
"Stonington School District","=""1370011""","Deans Mill School","=""1370511""","Special Education","*"
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""","Non-Special Education","*"
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""","Special Education","*"
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""","Non-Special Education",96.9
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""","Special Education",95.7
"Stonington School District","=""1370011""","Stonington High School","=""1376111""","Non-Special Education","*"
"Stonington School District","=""1370011""","Stonington High School","=""1376111""","Special Education","*"
"Stonington School District","=""1370011""","West Broad Street School","=""1370411""","Non-Special Education","*"
"Stonington School District","=""1370011""","West Broad Street School","=""1370411""","Special Education","*"
"Stonington School District","=""1370011""","West Vine Street School","=""1370611""","Non-Special Education","*"
"Stonington School District","=""1370011""","West Vine Street School","=""1370611""","Special Education","*"
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""","Non-Special Education",5.8
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""","Special Education","*"
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""","Non-Special Education",13.5
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""","Special Education",18.1
"Stratford School District","=""1380011""","Chapel School","=""1380311""","Non-Special Education",6.8
"Stratford School District","=""1380011""","Chapel School","=""1380311""","Special Education",11.8
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""","Non-Special Education",7.0
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""","Special Education",25.4
"Stratford School District","=""1380011""","Franklin School","=""1380411""","Non-Special Education","*"
"Stratford School District","=""1380011""","Franklin School","=""1380411""","Special Education","*"
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""","Non-Special Education",10.5
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""","Special Education",21.2
"Stratford School District","=""1380011""","Honeyspot School","=""1381611""","Non-Special Education","*"
"Stratford School District","=""1380011""","Honeyspot School","=""1381611""","Special Education","*"
"Stratford School District","=""1380011""","Lordship School","=""1380811""","Non-Special Education","*"
"Stratford School District","=""1380011""","Lordship School","=""1380811""","Special Education","*"
"Stratford School District","=""1380011""","Nichols School","=""1380911""","Non-Special Education","*"
"Stratford School District","=""1380011""","Nichols School","=""1380911""","Special Education","*"
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""","Non-Special Education",6.6
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""","Special Education",16.1
"Stratford School District","=""1380011""","Secondary STEPS Program","=""1389111""","Special Education","*"
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""","Non-Special Education","*"
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""","Special Education","*"
"Stratford School District","=""1380011""","Stratford High School","=""1386111""","Non-Special Education",12.9
"Stratford School District","=""1380011""","Stratford High School","=""1386111""","Special Education",25.0
"Stratford School District","=""1380011""","Strive-Stratford","=""1389011""","Special Education","*"
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""","Non-Special Education","*"
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""","Special Education","*"
"Suffield School District","=""1390011""","A. Ward Spaulding School","=""1390411""","Non-Special Education","*"
"Suffield School District","=""1390011""","A. Ward Spaulding School","=""1390411""","Special Education","*"
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""","Non-Special Education",3.0
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""","Special Education",0.0
"Suffield School District","=""1390011""","Suffield High School","=""1396111""","Non-Special Education",10.9
"Suffield School District","=""1390011""","Suffield High School","=""1396111""","Special Education",17.3
"Suffield School District","=""1390011""","Suffield Middle School","=""1395111""","Non-Special Education",6.7
"Suffield School District","=""1390011""","Suffield Middle School","=""1395111""","Special Education",13.4
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""","Non-Special Education",5.0
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""","Special Education",0.0
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""","Non-Special Education",12.7
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""","Special Education",14.3
"Thomaston School District","=""1400011""","Black Rock School","=""1400111""","Non-Special Education",4.9
"Thomaston School District","=""1400011""","Black Rock School","=""1400111""","Special Education","*"
"Thomaston School District","=""1400011""","Thomaston Center School","=""1400211""","Non-Special Education","*"
"Thomaston School District","=""1400011""","Thomaston Center School","=""1400211""","Special Education","*"
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""","Non-Special Education",4.8
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""","Special Education",9.9
"Thompson School District","=""1410011""","Mary R. Fisher Elementary School","=""1410111""","Non-Special Education",7.1
"Thompson School District","=""1410011""","Mary R. Fisher Elementary School","=""1410111""","Special Education",15.0
"Thompson School District","=""1410011""","Thompson Middle School","=""1415111""","Non-Special Education","*"
"Thompson School District","=""1410011""","Thompson Middle School","=""1415111""","Special Education","*"
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""","Non-Special Education",19.6
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""","Special Education",22.2
"Tolland School District","=""1420011""","Birch Grove Primary School","=""1420111""","Non-Special Education","*"
"Tolland School District","=""1420011""","Birch Grove Primary School","=""1420111""","Special Education","*"
"Tolland School District","=""1420011""","Tolland High School","=""1426111""","Non-Special Education",8.8
"Tolland School District","=""1420011""","Tolland High School","=""1426111""","Special Education",17.3
"Tolland School District","=""1420011""","Tolland Intermediate School","=""1420211""","Non-Special Education","*"
"Tolland School District","=""1420011""","Tolland Intermediate School","=""1420211""","Special Education","*"
"Tolland School District","=""1420011""","Tolland Middle School","=""1425111""","Non-Special Education","*"
"Tolland School District","=""1420011""","Tolland Middle School","=""1425111""","Special Education","*"
"Torrington School District","=""1430011""","East School","=""1430111""","Non-Special Education",7.9
"Torrington School District","=""1430011""","East School","=""1430111""","Special Education","*"
"Torrington School District","=""1430011""","Forbes School","=""1430211""","Non-Special Education",8.9
"Torrington School District","=""1430011""","Forbes School","=""1430211""","Special Education",11.3
"Torrington School District","=""1430011""","Southwest School","=""1430811""","Non-Special Education","*"
"Torrington School District","=""1430011""","Southwest School","=""1430811""","Special Education","*"
"Torrington School District","=""1430011""","Torringford School","=""1430911""","Non-Special Education","*"
"Torrington School District","=""1430011""","Torringford School","=""1430911""","Special Education","*"
"Torrington School District","=""1430011""","Torrington High School","=""1436111""","Non-Special Education",22.2
"Torrington School District","=""1430011""","Torrington High School","=""1436111""","Special Education",33.3
"Torrington School District","=""1430011""","Torrington Middle School","=""1435111""","Non-Special Education",15.3
"Torrington School District","=""1430011""","Torrington Middle School","=""1435111""","Special Education",24.5
"Torrington School District","=""1430011""","Vogel-Wetmore School","=""1431311""","Non-Special Education",8.4
"Torrington School District","=""1430011""","Vogel-Wetmore School","=""1431311""","Special Education",15.9
"Trailblazers Academy District","=""2780013""","Trailblazers Academy","=""2785113""","Non-Special Education","*"
"Trailblazers Academy District","=""2780013""","Trailblazers Academy","=""2785113""","Special Education","*"
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""","Non-Special Education",2.6
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""","Special Education","*"
"Trumbull School District","=""1440011""","Daniels Farm School","=""1440811""","Non-Special Education","*"
"Trumbull School District","=""1440011""","Daniels Farm School","=""1440811""","Special Education","*"
"Trumbull School District","=""1440011""","Frenchtown Elementary School","=""1441011""","Non-Special Education","*"
"Trumbull School District","=""1440011""","Frenchtown Elementary School","=""1441011""","Special Education","*"
"Trumbull School District","=""1440011""","Hillcrest Middle School","=""1445211""","Non-Special Education",6.6
"Trumbull School District","=""1440011""","Hillcrest Middle School","=""1445211""","Special Education",13.6
"Trumbull School District","=""1440011""","Jane Ryan School","=""1440411""","Non-Special Education",3.3
"Trumbull School District","=""1440011""","Jane Ryan School","=""1440411""","Special Education",0.0
"Trumbull School District","=""1440011""","Madison Middle School","=""1445111""","Non-Special Education",5.8
"Trumbull School District","=""1440011""","Madison Middle School","=""1445111""","Special Education",12.3
"Trumbull School District","=""1440011""","Middlebrook School","=""1440311""","Non-Special Education",4.5
"Trumbull School District","=""1440011""","Middlebrook School","=""1440311""","Special Education","*"
"Trumbull School District","=""1440011""","Tashua School","=""1440911""","Non-Special Education","*"
"Trumbull School District","=""1440011""","Tashua School","=""1440911""","Special Education","*"
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""","Non-Special Education",8.9
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""","Special Education",13.2
"Unified School District #1","=""3360015""","Bridgeport Correctional Center","=""3360115""","Non-Special Education","*"
"Unified School District #1","=""3360015""","Bridgeport Correctional Center","=""3360115""","Special Education","*"
"Unified School District #1","=""3360015""","Brooklyn Correctional Institution","=""3360215""","Non-Special Education","*"
"Unified School District #1","=""3360015""","Brooklyn Correctional Institution","=""3360215""","Special Education","*"
"Unified School District #1","=""3360015""","Cheshire Correctional Institution","=""3360315""","Non-Special Education","*"
"Unified School District #1","=""3360015""","Cheshire Correctional Institution","=""3360315""","Special Education","*"
"Unified School District #1","=""3360015""","Corrigan/Radgowski Correctional Institution","=""3362415""","Non-Special Education","*"
"Unified School District #1","=""3360015""","Corrigan/Radgowski Correctional Institution","=""3362415""","Special Education","*"
"Unified School District #1","=""3360015""","Enfield Correctional Institution","=""3360415""","Non-Special Education","*"
"Unified School District #1","=""3360015""","Enfield Correctional Institution","=""3360415""","Special Education","*"
"Unified School District #1","=""3360015""","Garner Correctional Institution","=""3361915""","Non-Special Education","*"
"Unified School District #1","=""3360015""","Garner Correctional Institution","=""3361915""","Special Education","*"
"Unified School District #1","=""3360015""","Hartford Correctional Center","=""3360615""","Non-Special Education","*"
"Unified School District #1","=""3360015""","Hartford Correctional Center","=""3360615""","Special Education","*"
"Unified School District #1","=""3360015""","MacDougall/Walker Correctional Institution","=""3362215""","Non-Special Education",73.9
"Unified School District #1","=""3360015""","MacDougall/Walker Correctional Institution","=""3362215""","Special Education",92.6
"Unified School District #1","=""3360015""","Manson Youth Institution","=""3361115""","Non-Special Education",61.5
"Unified School District #1","=""3360015""","Manson Youth Institution","=""3361115""","Special Education",17.0
"Unified School District #1","=""3360015""","New Haven Correctional Center","=""3360915""","Non-Special Education","*"
"Unified School District #1","=""3360015""","New Haven Correctional Center","=""3360915""","Special Education","*"
"Unified School District #1","=""3360015""","Northern Correctional Institution","=""3362615""","Non-Special Education","*"
"Unified School District #1","=""3360015""","Northern Correctional Institution","=""3362615""","Special Education","*"
"Unified School District #1","=""3360015""","Osborn Correctional Institution","=""3361215""","Non-Special Education","*"
"Unified School District #1","=""3360015""","Osborn Correctional Institution","=""3361215""","Special Education","*"
"Unified School District #1","=""3360015""","Robinson Correctional Institution","=""3361315""","Non-Special Education","*"
"Unified School District #1","=""3360015""","Robinson Correctional Institution","=""3361315""","Special Education","*"
"Unified School District #1","=""3360015""","Willard/Cybulski Correctional Institution","=""3361515""","Non-Special Education","*"
"Unified School District #1","=""3360015""","Willard/Cybulski Correctional Institution","=""3361515""","Special Education","*"
"Unified School District #1","=""3360015""","York Correctional Institution","=""3362515""","Non-Special Education","*"
"Unified School District #1","=""3360015""","York Correctional Institution","=""3362515""","Special Education","*"
"Unified School District #2","=""3470015""","Children''s Place School","=""3470115""","Non-Special Education","*"
"Unified School District #2","=""3470015""","Children''s Place School","=""3470115""","Special Education","*"
"Unified School District #2","=""3470015""","Riverview School","=""3470315""","Non-Special Education","*"
"Unified School District #2","=""3470015""","Riverview School","=""3470315""","Special Education",69.6
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""","Non-Special Education",0.0
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""","Special Education","*"
"Union School District","=""1450011""","Union Elementary School","=""1450111""","Non-Special Education","*"
"Union School District","=""1450011""","Union Elementary School","=""1450111""","Special Education","*"
"Vernon School District","=""1460011""","Northeast School","=""1460311""","Non-Special Education",6.2
"Vernon School District","=""1460011""","Northeast School","=""1460311""","Special Education",13.6
"Vernon School District","=""1460011""","Center Road School","=""1461411""","Non-Special Education","*"
"Vernon School District","=""1460011""","Center Road School","=""1461411""","Special Education","*"
"Vernon School District","=""1460011""","Lake Street School","=""1460111""","Non-Special Education","*"
"Vernon School District","=""1460011""","Lake Street School","=""1460111""","Special Education","*"
"Vernon School District","=""1460011""","Maple Street School","=""1460211""","Non-Special Education",13.1
"Vernon School District","=""1460011""","Maple Street School","=""1460211""","Special Education",31.6
"Vernon School District","=""1460011""","Next Step Program (AACBP)","=""1469011""","Special Education","*"
"Vernon School District","=""1460011""","Rockville High School","=""1466111""","Non-Special Education",13.8
"Vernon School District","=""1460011""","Rockville High School","=""1466111""","Special Education",34.0
"Vernon School District","=""1460011""","Skinner Road School","=""1461011""","Non-Special Education","*"
"Vernon School District","=""1460011""","Skinner Road School","=""1461011""","Special Education","*"
"Vernon School District","=""1460011""","Vernon Center Middle School","=""1465111""","Non-Special Education",4.5
"Vernon School District","=""1460011""","Vernon Center Middle School","=""1465111""","Special Education",15.4
"Voluntown School District","=""1470011""","Voluntown Elementary School","=""1470111""","Non-Special Education","*"
"Voluntown School District","=""1470011""","Voluntown Elementary School","=""1470111""","Special Education","*"
"Wallingford School District","=""1480011""","Highland School","=""1480211""","Non-Special Education",9.8
"Wallingford School District","=""1480011""","Highland School","=""1480211""","Special Education","*"
"Wallingford School District","=""1480011""","A.R.T.S. Academy","=""1489011""","Special Education",78.3
"Wallingford School District","=""1480011""","Cook Hill School","=""1481011""","Non-Special Education","*"
"Wallingford School District","=""1480011""","Cook Hill School","=""1481011""","Special Education","*"
"Wallingford School District","=""1480011""","Dag  Hammarskjold Middle School","=""1485211""","Non-Special Education",8.0
"Wallingford School District","=""1480011""","Dag  Hammarskjold Middle School","=""1485211""","Special Education",14.7
"Wallingford School District","=""1480011""","Evarts C. Stevens School","=""1480911""","Non-Special Education","*"
"Wallingford School District","=""1480011""","Evarts C. Stevens School","=""1480911""","Special Education","*"
"Wallingford School District","=""1480011""","Harvest Park","=""1489211""","Special Education","*"
"Wallingford School District","=""1480011""","James H. Moran Middle School","=""1485311""","Non-Special Education",8.9
"Wallingford School District","=""1480011""","James H. Moran Middle School","=""1485311""","Special Education",13.6
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""","Non-Special Education",11.3
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""","Special Education",17.9
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""","Non-Special Education",7.7
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""","Special Education",16.3
"Wallingford School District","=""1480011""","Moses Y. Beach School","=""1480111""","Non-Special Education","*"
"Wallingford School District","=""1480011""","Moses Y. Beach School","=""1480111""","Special Education","*"
"Wallingford School District","=""1480011""","Multi-Vocational Life Skills Program","=""1489111""","Special Education","*"
"Wallingford School District","=""1480011""","Parker Farms School","=""1480311""","Non-Special Education",12.9
"Wallingford School District","=""1480011""","Parker Farms School","=""1480311""","Special Education",15.2
"Wallingford School District","=""1480011""","Pond Hill School","=""1481211""","Non-Special Education",12.3
"Wallingford School District","=""1480011""","Pond Hill School","=""1481211""","Special Education",21.4
"Wallingford School District","=""1480011""","Rock Hill School","=""1480411""","Non-Special Education",9.7
"Wallingford School District","=""1480011""","Rock Hill School","=""1480411""","Special Education",15.0
"Wallingford School District","=""1480011""","Yalesville School","=""1480811""","Non-Special Education","*"
"Wallingford School District","=""1480011""","Yalesville School","=""1480811""","Special Education","*"
"Waterbury School District","=""1510011""","West Side Middle School","=""1515211""","Non-Special Education",19.5
"Waterbury School District","=""1510011""","West Side Middle School","=""1515211""","Special Education",32.3
"Waterbury School District","=""1510011""","Washington School","=""1512311""","Non-Special Education",8.5
"Waterbury School District","=""1510011""","Washington School","=""1512311""","Special Education","*"
"Waterbury School District","=""1510011""","B. W. Tinker School","=""1512111""","Non-Special Education",3.6
"Waterbury School District","=""1510011""","B. W. Tinker School","=""1512111""","Special Education",14.7
"Waterbury School District","=""1510011""","Bucks Hill School","=""1510511""","Non-Special Education",12.9
"Waterbury School District","=""1510011""","Bucks Hill School","=""1510511""","Special Education",25.5
"Waterbury School District","=""1510011""","Bunker Hill School","=""1510611""","Non-Special Education",12.7
"Waterbury School District","=""1510011""","Bunker Hill School","=""1510611""","Special Education",28.7
"Waterbury School District","=""1510011""","Carrington School","=""1512711""","Non-Special Education",11.4
"Waterbury School District","=""1510011""","Carrington School","=""1512711""","Special Education",14.8
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""","Non-Special Education",27.4
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""","Special Education",38.7
"Waterbury School District","=""1510011""","Driggs School","=""1510911""","Non-Special Education",24.2
"Waterbury School District","=""1510011""","Driggs School","=""1510911""","Special Education",23.7
"Waterbury School District","=""1510011""","Duggan School","=""1511611""","Non-Special Education",12.1
"Waterbury School District","=""1510011""","Duggan School","=""1511611""","Special Education",20.3
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""","Non-Special Education",87.3
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""","Special Education",82.1
"Waterbury School District","=""1510011""","F. J. Kingsbury School","=""1511411""","Non-Special Education",11.3
"Waterbury School District","=""1510011""","F. J. Kingsbury School","=""1511411""","Special Education",14.1
"Waterbury School District","=""1510011""","Gilmartin School","=""1512611""","Non-Special Education",8.9
"Waterbury School District","=""1510011""","Gilmartin School","=""1512611""","Special Education",16.9
"Waterbury School District","=""1510011""","H. S. Chase School","=""1510711""","Non-Special Education",6.2
"Waterbury School District","=""1510011""","H. S. Chase School","=""1510711""","Special Education",18.6
"Waterbury School District","=""1510011""","Hopeville School","=""1511311""","Non-Special Education",15.5
"Waterbury School District","=""1510011""","Hopeville School","=""1511311""","Special Education",14.1
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""","Non-Special Education",21.6
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""","Special Education",39.1
"Waterbury School District","=""1510011""","Maloney Interdistrict Magnet School","=""1513111""","Non-Special Education","*"
"Waterbury School District","=""1510011""","Maloney Interdistrict Magnet School","=""1513111""","Special Education","*"
"Waterbury School District","=""1510011""","Margaret M. Generali Elementary School","=""1511111""","Non-Special Education",6.8
"Waterbury School District","=""1510011""","Margaret M. Generali Elementary School","=""1511111""","Special Education",7.3
"Waterbury School District","=""1510011""","Michael F. Wallace Middle School","=""1515111""","Non-Special Education",18.1
"Waterbury School District","=""1510011""","Michael F. Wallace Middle School","=""1515111""","Special Education",35.9
"Waterbury School District","=""1510011""","North End Middle School","=""1515311""","Non-Special Education",19.0
"Waterbury School District","=""1510011""","North End Middle School","=""1515311""","Special Education",27.2
"Waterbury School District","=""1510011""","Regan School","=""1512811""","Non-Special Education","*"
"Waterbury School District","=""1510011""","Regan School","=""1512811""","Special Education","*"
"Waterbury School District","=""1510011""","Rotella Interdistrict Magnet School","=""1513311""","Non-Special Education","*"
"Waterbury School District","=""1510011""","Rotella Interdistrict Magnet School","=""1513311""","Special Education","*"
"Waterbury School District","=""1510011""","Sprague School","=""1512011""","Non-Special Education",11.1
"Waterbury School District","=""1510011""","Sprague School","=""1512011""","Special Education",25.0
"Waterbury School District","=""1510011""","State Street School","=""1519011""","Non-Special Education","*"
"Waterbury School District","=""1510011""","State Street School","=""1519011""","Special Education","*"
"Waterbury School District","=""1510011""","Walsh School","=""1512211""","Non-Special Education",18.1
"Waterbury School District","=""1510011""","Walsh School","=""1512211""","Special Education",30.3
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""","Non-Special Education",15.5
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""","Special Education",17.6
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (Middle)","=""1515011""","Non-Special Education",7.7
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (Middle)","=""1515011""","Special Education",21.4
"Waterbury School District","=""1510011""","Wendell L. Cross School","=""1510811""","Non-Special Education","*"
"Waterbury School District","=""1510011""","Wendell L. Cross School","=""1510811""","Special Education","*"
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""","Non-Special Education",28.8
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""","Special Education",36.0
"Waterbury School District","=""1510011""","Woodrow Wilson School","=""1513211""","Non-Special Education",9.7
"Waterbury School District","=""1510011""","Woodrow Wilson School","=""1513211""","Special Education",19.7
"Waterford School District","=""1520011""","Clark Lane Middle School","=""1525111""","Non-Special Education",5.7
"Waterford School District","=""1520011""","Clark Lane Middle School","=""1525111""","Special Education",7.0
"Waterford School District","=""1520011""","Great Neck Elementary School","=""1520211""","Non-Special Education",3.7
"Waterford School District","=""1520011""","Great Neck Elementary School","=""1520211""","Special Education",0.0
"Waterford School District","=""1520011""","Oswegatchie Elementary School","=""1520611""","Non-Special Education","*"
"Waterford School District","=""1520011""","Oswegatchie Elementary School","=""1520611""","Special Education","*"
"Waterford School District","=""1520011""","Quaker Hill Elementary School","=""1520711""","Non-Special Education",3.8
"Waterford School District","=""1520011""","Quaker Hill Elementary School","=""1520711""","Special Education",14.3
"Waterford School District","=""1520011""","Waterford High School","=""1526111""","Non-Special Education",9.7
"Waterford School District","=""1520011""","Waterford High School","=""1526111""","Special Education",24.3
"Watertown School District","=""1530011""","Fletcher W. Judson School","=""1530311""","Non-Special Education","*"
"Watertown School District","=""1530011""","Fletcher W. Judson School","=""1530311""","Special Education","*"
"Watertown School District","=""1530011""","John Trumbull Primary School","=""1530211""","Non-Special Education",3.5
"Watertown School District","=""1530011""","John Trumbull Primary School","=""1530211""","Special Education",10.3
"Watertown School District","=""1530011""","Polk School","=""1530411""","Non-Special Education","*"
"Watertown School District","=""1530011""","Polk School","=""1530411""","Special Education","*"
"Watertown School District","=""1530011""","Swift Middle School","=""1535111""","Non-Special Education",4.2
"Watertown School District","=""1530011""","Swift Middle School","=""1535111""","Special Education",13.4
"Watertown School District","=""1530011""","Watertown High School","=""1536111""","Non-Special Education",25.1
"Watertown School District","=""1530011""","Watertown High School","=""1536111""","Special Education",39.4
"West Hartford School District","=""1550011""","Smith School","=""1551711""","Non-Special Education",6.7
"West Hartford School District","=""1550011""","Smith School","=""1551711""","Special Education","*"
"West Hartford School District","=""1550011""","Achieve","=""1559111""","Special Education","*"
"West Hartford School District","=""1550011""","Aiken School","=""1551611""","Non-Special Education","*"
"West Hartford School District","=""1550011""","Aiken School","=""1551611""","Special Education","*"
"West Hartford School District","=""1550011""","Braeburn School","=""1550211""","Non-Special Education",2.9
"West Hartford School District","=""1550011""","Braeburn School","=""1550211""","Special Education",0.0
"West Hartford School District","=""1550011""","Bristow Middle School","=""1555311""","Non-Special Education",4.0
"West Hartford School District","=""1550011""","Bristow Middle School","=""1555311""","Special Education",14.0
"West Hartford School District","=""1550011""","Bugbee School","=""1550411""","Non-Special Education","*"
"West Hartford School District","=""1550011""","Bugbee School","=""1550411""","Special Education","*"
"West Hartford School District","=""1550011""","Charter Oak International Academy","=""1550511""","Non-Special Education","*"
"West Hartford School District","=""1550011""","Charter Oak International Academy","=""1550511""","Special Education","*"
"West Hartford School District","=""1550011""","Conard High School","=""1556111""","Non-Special Education",7.0
"West Hartford School District","=""1550011""","Conard High School","=""1556111""","Special Education",10.2
"West Hartford School District","=""1550011""","Duffy School","=""1550611""","Non-Special Education","*"
"West Hartford School District","=""1550011""","Duffy School","=""1550611""","Special Education","*"
"West Hartford School District","=""1550011""","Hall High School","=""1556211""","Non-Special Education",5.6
